gene	A_1	A_2	A_3
AT1G01010	7.786498202	6.834163546	6.231292353
AT1G01020	17.46830047	15.16310086	18.46298161
AT1G01030	6.596256122	7.392646815	4.852210662
AT1G01040	14.83687607	14.53094618	13.7567371
AT1G01050	58.64195671	47.32482078	43.09146534
AT1G01060	1.055504702	0.875878783	0.745372804
AT1G01070	8.677159459	9.246070144	4.526073826
AT1G01080	38.91773161	37.66589816	47.61336639
AT1G01090	175.0591958	183.718	169.5407888
AT1G01100	473.1267272	441.4061728	475.5035488
AT1G01110	4.59566747	2.723983014	3.622045968
AT1G01120	120.0811692	160.4787069	159.2146912
AT1G01130	3.851607023	3.995175087	4.24986727
AT1G01140	70.81685865	76.8468484	85.60986667
AT1G01150	0	0.093461675	0.099419852
AT1G01160	56.91781956	55.25149505	55.02225715
AT1G01170	83.29567615	85.23686655	88.50451741
AT1G01180	8.828803873	6.688351151	7.005275719
AT1G01190	1.979695214	1.540116039	2.366430947
AT1G01200	1.555640782	1.241251581	0.528152519
AT1G01210	25.78723943	25.22393152	27.71652567
AT1G01220	11.22534976	12.059622	11.13941364
AT1G01225	5.230246305	8.485573828	6.806890473
AT1G01230	56.88375098	50.45276759	48.93896813
AT1G01240	18.0969289	18.84205867	17.04050642
AT1G01250	14.91362989	19.33691646	17.70778029
AT1G01260	18.82798095	16.80976446	15.9717234
AT1G01280	0	0	0
AT1G01290	12.29236284	12.45403417	12.77483605
AT1G01300	93.02135293	90.38550816	95.91571196
AT1G01305	0	0	0
AT1G01310	0	0	0
AT1G01320	89.43153994	87.83601751	108.1954406
AT1G01335	0	0	0
AT1G01340	3.280175378	3.681332219	1.424006159
AT1G01350	25.88553883	28.62651606	26.33939704
AT1G01355	0	0.341273498	0.181514832
AT1G01360	15.55833626	14.74046788	8.11043372
AT1G01370	2.273292509	2.442244467	3.493777899
AT1G01380	1.014767658	0.877160807	2.239391418
AT1G01390	0.629347553	0.48960479	0.868028446
AT1G01400	0	0	0
AT1G01410	0	0	0
AT1G01420	9.724670049	12.31955894	9.147065315
