"","gene","Control_1","Control_2","Control_3","A_1","A_2","A_3","wtavg","abaavg","log2FoldChange"
"1","AT1G01010",8.089986682,5.866539166,7.009979731,7.786498202,6.834163546,6.231292353,6.988835193,6.950651367,-0.00790384265010627
"2","AT1G01020",21.58134773,19.07622672,21.63049386,17.46830047,15.16310086,18.46298161,20.7626894366667,17.03146098,-0.285791134742836
"3","AT1G01030",6.344490355,9.165383527,9.795006607,6.596256122,7.392646815,4.852210662,8.434960163,6.28037119966667,-0.42553142316249
"4","AT1G01040",15.34895753,14.19405367,16.25994915,14.83687607,14.53094618,13.7567371,15.26765345,14.3748531166667,-0.0869311307263675
"5","AT1G01050",55.77960212,43.50753722,46.74800965,58.64195671,47.32482078,43.09146534,48.6783829966667,49.6860809433333,0.0295605065966668
"6","AT1G01060",0.734121435,0.837935193,0.576480843,1.055504702,0.875878783,0.745372804,0.716179157,0.892252096333333,0.317130853430225
"7","AT1G01070",5.057835073,7.685572711,7.125325503,8.677159459,9.246070144,4.526073826,6.62291109566667,7.483101143,0.176170783007928
"8","AT1G01080",55.91965188,61.10975397,57.80796513,38.91773161,37.66589816,47.61336639,58.27912366,41.39899872,-0.493383308847696
"9","AT1G01090",164.8291137,182.5971715,163.9450193,175.0591958,183.718,169.5407888,170.4571015,176.105994866667,0.047035315553284
"10","AT1G01100",713.8576786,768.2461005,731.5778128,473.1267272,441.4061728,475.5035488,737.893863966667,463.345482933333,-0.671325011879379
"11","AT1G01110",5.921836437,5.093503335,3.585710844,4.59566747,2.723983014,3.622045968,4.867016872,3.64723215066667,-0.416235744018651
"12","AT1G01120",92.32746469,91.18384637,91.67246948,120.0811692,160.4787069,159.2146912,91.7279268466667,146.591522433333,0.676368734360964
"13","AT1G01130",5.441430429,3.822101728,7.281751253,3.851607023,3.995175087,4.24986727,5.51509447,4.03221646,-0.451812509874539
"14","AT1G01140",42.79307957,46.96658361,50.18627952,70.81685865,76.8468484,85.60986667,46.6486475666667,77.7578579066667,0.737153220559223
"15","AT1G01150",0.097919114,0.162568837,0,0,0.093461675,0.099419852,0.086829317,0.0642938423333333,-0.433501663876028
"16","AT1G01160",56.92865314,51.46069042,54.62371526,56.91781956,55.25149505,55.02225715,54.3376862733333,55.73052392,0.0365145800172457
"17","AT1G01170",82.59676884,74.8902545,78.6499832,83.29567615,85.23686655,88.50451741,78.7123355133333,85.6790200366667,0.122352231782906
"18","AT1G01180",9.59466085,5.54844313,8.856296596,8.828803873,6.688351151,7.005275719,7.999800192,7.50747691433333,-0.0916358333303383
"19","AT1G01190",6.274987865,5.65546437,4.591814397,1.979695214,1.540116039,2.366430947,5.50742221066667,1.96208073333333,-1.4889928077346
"20","AT1G01200",2.600900403,1.943148803,1.75960573,1.555640782,1.241251581,0.528152519,2.101218312,1.108348294,-0.922814748908718
"21","AT1G01210",43.85127703,45.32136436,47.85455553,25.78723943,25.22393152,27.71652567,45.6757323066667,26.24256554,-0.799519090987821
"22","AT1G01220",11.5653765,10.81714497,13.28311719,11.22534976,12.059622,11.13941364,11.88854622,11.4747951333333,-0.051103910690248
"23","AT1G01225",4.080781337,5.565227889,5.916000322,5.230246305,8.485573828,6.806890473,5.187336516,6.84090353533333,0.399192922380149
"24","AT1G01230",46.76677233,40.16062681,42.94792406,56.88375098,50.45276759,48.93896813,43.2917744,52.0918289,0.266964156273802
"25","AT1G01240",6.284488385,2.945995422,3.858676477,18.0969289,18.84205867,17.04050642,4.363053428,17.9931646633333,2.04403890662421
"26","AT1G01250",2.113997836,1.754867644,1.021570041,14.91362989,19.33691646,17.70778029,1.63014517366667,17.3194422133333,3.40932011219009
"27","AT1G01260",21.65811508,18.30997931,18.94912272,18.82798095,16.80976446,15.9717234,19.63907237,17.20315627,-0.191053506095872
"28","AT1G01280",0,0,0,0,0,0,0,0,NA
"29","AT1G01290",12.65966715,14.2484225,13.28622353,12.29236284,12.45403417,12.77483605,13.3981043933333,12.5070776866667,-0.0992841588245882
"30","AT1G01300",114.4880535,135.7333102,130.7354508,93.02135293,90.38550816,95.91571196,126.985604833333,93.10752435,-0.447695294542424
"31","AT1G01305",0,0,0,0,0,0,0,0,NA
"32","AT1G01310",0,0.133366349,0.155274464,0,0,0,0.0962136043333333,0,-Inf
"33","AT1G01320",128.6131558,129.0128664,127.6961711,89.43153994,87.83601751,108.1954406,128.4407311,95.1543326833333,-0.43276152853159
"34","AT1G01335",0,0,0,0,0,0,0,0,NA
"35","AT1G01340",6.311298825,5.772737074,7.624693001,3.280175378,3.681332219,1.424006159,6.5695763,2.795171252,-1.2328636524918
"36","AT1G01350",31.30530059,31.89325091,30.89073928,25.88553883,28.62651606,26.33939704,31.3630969266667,26.9504839766667,-0.218756843259958
"37","AT1G01355",0,0.14840424,0.172782632,0,0.341273498,0.181514832,0.107062290666667,0.174262776666667,0.702814010567504
"38","AT1G01360",15.44348037,6.188922529,9.392985607,15.55833626,14.74046788,8.11043372,10.3417961686667,12.8030792866667,0.308004061121181
"39","AT1G01370",2.294026319,3.369168317,3.069878269,2.273292509,2.442244467,3.493777899,2.91102430166667,2.73643829166667,-0.0892275600759125
"40","AT1G01380",2.756984882,6.10299403,5.684427208,1.014767658,0.877160807,2.239391418,4.84813537333333,1.37710662766667,-1.81578971351021
"41","AT1G01390",1.367880953,1.632284977,1.156777841,0.629347553,0.48960479,0.868028446,1.38564792366667,0.662326929666667,-1.06494530939719
"42","AT1G01400",0,0,0,0,0,0,0,0,NA
"43","AT1G01410",0,0,0,0,0,0,0,0,NA
"44","AT1G01420",6.150368703,9.276247796,7.869810267,9.724670049,12.31955894,9.147065315,7.76547558866667,10.3970981013333,0.421034730022585
"45","AT1G01430",53.76800939,49.33529963,52.53450266,51.64203652,47.7399085,53.17312844,51.87927056,50.8516911533333,-0.0288624409709152
"46","AT1G01440",15.58550507,13.07593428,13.66936521,12.70826169,11.69965143,13.34653546,14.1102681866667,12.5848161933333,-0.165061263294518
"47","AT1G01450",9.886642744,5.901720483,8.696358981,7.155320902,5.513511267,6.316150931,8.16157406933333,6.3283277,-0.36702311330525
"48","AT1G01453",0.73250025,0.260597845,0.202270868,0.86661158,0.199758754,0,0.398456321,0.355456778,-0.164747438803459
"49","AT1G01460",0,0.141860558,0.578074065,0.157251239,0.570894644,0.173511184,0.239978207666667,0.300552355666667,0.324712926474075
"50","AT1G01470",42.96724125,37.60109856,42.2022861,308.0499868,321.6441961,240.4737581,40.92354197,290.055980333333,2.82532844273792
"51","AT1G01480",2.277045541,1.638187614,4.40144539,2.793718827,2.825407914,2.157814619,2.77222618166667,2.59231378666667,-0.0968046097062914
"52","AT1G01490",55.59299735,54.29606732,62.40223411,64.831371,64.03610806,51.67603234,57.4304329266667,60.1811704666667,0.067496728790181
"53","AT1G01500",29.74620305,34.61409617,35.33750784,32.25965273,33.29312573,36.94364314,33.2326023533333,34.1654738666667,0.039939865855681
"54","AT1G01510",39.04763238,36.76238087,34.86238512,35.65694215,35.84976508,34.26727449,36.8907994566667,35.2579939066667,-0.0653106626795701
"55","AT1G01520",0.296532127,0.164104436,0.191061903,4.820572392,6.98149299,6.724050072,0.217232822,6.175371818,4.82921200025218
"56","AT1G01530",0,0,0.200136083,0,0.395300965,0,0.0667120276666667,0.131766988333333,0.98197017949784
"57","AT1G01540",52.50939954,52.30679692,54.70032795,46.63177115,46.41901903,49.02041558,53.1721748033333,47.3570685866667,-0.167091694941186
"58","AT1G01550",172.0321763,163.9095987,180.4713576,176.1633866,197.0235417,185.4624056,172.137710866667,186.216444633333,0.113417293106694
"59","AT1G01560",2.123435326,1.480669574,2.298532593,1.797625031,3.242836922,0.517435138,1.967545831,1.85263236366667,-0.0868206201313004
"60","AT1G01570",1.748674337,1.935474711,0.643833002,3.907797576,4.053460135,2.959125088,1.44266068333333,3.64012759966667,1.33525700802069
"61","AT1G01580",0.660902481,1.051535164,0.904895989,1.266975994,1.103929958,1.006547511,0.872444544666667,1.125817821,0.367838053377949
"62","AT1G01590",0.059818727,0,0,0,0,0,0.0199395756666667,0,-Inf
"63","AT1G01600",6.689397155,7.628348456,8.163105419,10.13471714,9.738561745,9.193105049,7.49361701,9.68879464466667,0.370654950129575
"64","AT1G01610",82.74216216,88.2713995,85.11528572,107.1956913,122.4512824,114.6199849,85.37628246,114.755652866667,0.426657972800902
"65","AT1G01620",284.8461961,195.5745609,194.4033279,316.5640536,274.6844072,286.7425778,224.941361633333,292.663679533333,0.37969474941947
"66","AT1G01630",67.07333498,81.22759065,72.10771821,74.4149227,75.36537183,87.2817568,73.4695479466667,79.0206837766667,0.105083932363022
"67","AT1G01640",7.666997035,2.661523284,4.311279605,7.824645706,8.382416647,6.369139447,4.879933308,7.5254006,0.624906951753332
"68","AT1G01650",22.06167838,22.89224526,26.92472564,36.40659381,37.87107973,36.39967888,23.95954976,36.8924508066667,0.622724834327936
"69","AT1G01660",1.549499894,0.836074034,0.449268957,0.855490207,0.443689237,0.1573248,0.944947628333333,0.485501414666667,-0.960758873902197
"70","AT1G01670",1.019850994,0.692669996,1.075273369,1.109071721,1.415891939,1.976828396,0.929264786333333,1.500597352,0.691375273183952
"71","AT1G01680",0.264472349,0.329314884,0.894626839,0.243361859,0.126216568,0.134262867,0.496138024,0.167947098,-1.56273466246432
"72","AT1G01690",3.041289674,5.189515752,5.225512202,5.363849931,4.434902378,4.717627149,4.48543920933333,4.83879315266667,0.109398009429491
"73","AT1G01695",0.189341784,0.157176022,0.365990714,0.348456606,0.180722637,0,0.23750284,0.176393081,-0.429150792491446
"74","AT1G01700",0.9679964,0.80355123,0.719654417,1.096282834,1.563576588,1.663254505,0.830400682333333,1.44103797566667,0.795228821089496
"75","AT1G01710",22.33119936,20.37596319,25.15008149,30.5683097,32.94081752,26.04636466,22.6190813466667,29.8518306266667,0.4002790689196
"76","AT1G01715",5.326844094,6.19067279,7.379225676,5.555202437,3.898007368,3.966222282,6.29891418666667,4.473144029,-0.493813944924971
"77","AT1G01720",52.70127545,42.17176259,39.18768634,116.7365468,111.2087076,112.9955635,44.6869081266667,113.6469393,1.3466346968403
"78","AT1G01725",18.12251217,7.279269415,9.887542437,13.17938157,14.78661171,10.68402386,11.7631080073333,12.8833390466667,0.131237258828467
"79","AT1G01730",31.73380962,26.99593382,31.30382483,24.25354046,25.78339812,24.49798175,30.0111894233333,24.8449734433333,-0.272546498115131
"80","AT1G01740",6.971085835,7.75815937,8.810480713,5.780230159,5.191387833,4.511206106,7.846575306,5.160941366,-0.604428876687852
"81","AT1G01750",16.17571436,7.957186109,7.672010505,10.33649308,5.289413582,4.410048336,10.6016369913333,6.678651666,-0.666658271910118
"82","AT1G01760",4.065406135,3.292455402,3.929140364,2.007312567,3.123202256,4.731769465,3.762333967,3.287428096,-0.194668577162338
"83","AT1G01770",14.46158616,13.70413573,15.31710402,13.97564601,14.74870063,12.00136056,14.4942753033333,13.5752357333333,-0.0945059515733589
"84","AT1G01780",23.90404741,13.46005909,18.57919316,19.22727148,16.59337896,16.29342084,18.6477665533333,17.3713570933333,-0.102292383606748
"85","AT1G01790",22.49569436,21.3418065,22.50943926,26.41500676,25.91762997,29.32965679,22.1156467066667,27.2207645066667,0.299640155908222
"86","AT1G01800",51.89949928,52.32972856,60.80360169,69.3056304,61.13584458,64.13358168,55.0109431766667,64.85835222,0.237573732830249
"87","AT1G01810",4.567109413,4.389856502,4.181710138,1.548310633,3.212047352,2.440582276,4.37955868433333,2.40031342033333,-0.867562703193324
