gene	Control_1	Control_2	Control_3
AT1G01010	8.089986682	5.866539166	7.009979731
AT1G01020	21.58134773	19.07622672	21.63049386
AT1G01030	6.344490355	9.165383527	9.795006607
AT1G01040	15.34895753	14.19405367	16.25994915
AT1G01050	55.77960212	43.50753722	46.74800965
AT1G01060	0.734121435	0.837935193	0.576480843
AT1G01070	5.057835073	7.685572711	7.125325503
AT1G01080	55.91965188	61.10975397	57.80796513
AT1G01090	164.8291137	182.5971715	163.9450193
AT1G01100	713.8576786	768.2461005	731.5778128
AT1G01110	5.921836437	5.093503335	3.585710844
AT1G01120	92.32746469	91.18384637	91.67246948
AT1G01130	5.441430429	3.822101728	7.281751253
AT1G01140	42.79307957	46.96658361	50.18627952
AT1G01150	0.097919114	0.162568837	0
AT1G01160	56.92865314	51.46069042	54.62371526
AT1G01170	82.59676884	74.8902545	78.6499832
AT1G01180	9.59466085	5.54844313	8.856296596
AT1G01190	6.274987865	5.65546437	4.591814397
AT1G01200	2.600900403	1.943148803	1.75960573
AT1G01210	43.85127703	45.32136436	47.85455553
AT1G01220	11.5653765	10.81714497	13.28311719
AT1G01225	4.080781337	5.565227889	5.916000322
AT1G01230	46.76677233	40.16062681	42.94792406
AT1G01240	6.284488385	2.945995422	3.858676477
AT1G01250	2.113997836	1.754867644	1.021570041
AT1G01260	21.65811508	18.30997931	18.94912272
AT1G01280	0	0	0
AT1G01290	12.65966715	14.2484225	13.28622353
AT1G01300	114.4880535	135.7333102	130.7354508
AT1G01305	0	0	0
AT1G01310	0	0.133366349	0.155274464
AT1G01320	128.6131558	129.0128664	127.6961711
AT1G01335	0	0	0
AT1G01340	6.311298825	5.772737074	7.624693001
AT1G01350	31.30530059	31.89325091	30.89073928
AT1G01355	0	0.14840424	0.172782632
AT1G01360	15.44348037	6.188922529	9.392985607
AT1G01370	2.294026319	3.369168317	3.069878269
AT1G01380	2.756984882	6.10299403	5.684427208
AT1G01390	1.367880953	1.632284977	1.156777841
AT1G01400	0	0	0
AT1G01410	0	0	0
AT1G01420	6.150368703	9.276247796	7.869810267
AT1G01430	53.76800939	49.33529963	52.53450266
AT1G01440	15.58550507	13.07593428	13.66936521
AT1G01450	9.886642744	5.901720483	8.696358981
AT1G01453	0.73250025	0.260597845	0.202270868
AT1G01460	0	0.141860558	0.578074065
AT1G01470	42.96724125	37.60109856	42.2022861
AT1G01480	2.277045541	1.638187614	4.40144539
AT1G01490	55.59299735	54.29606732	62.40223411
AT1G01500	29.74620305	34.61409617	35.33750784
AT1G01510	39.04763238	36.76238087	34.86238512
AT1G01520	0.296532127	0.164104436	0.191061903
AT1G01530	0	0	0.200136083
AT1G01540	52.50939954	52.30679692	54.70032795
AT1G01550	172.0321763	163.9095987	180.4713576
AT1G01560	2.123435326	1.480669574	2.298532593
AT1G01570	1.748674337	1.935474711	0.643833002
AT1G01580	0.660902481	1.051535164	0.904895989
AT1G01590	0.059818727	0	0
AT1G01600	6.689397155	7.628348456	8.163105419
AT1G01610	82.74216216	88.2713995	85.11528572
AT1G01620	284.8461961	195.5745609	194.4033279
AT1G01630	67.07333498	81.22759065	72.10771821
AT1G01640	7.666997035	2.661523284	4.311279605
AT1G01650	22.06167838	22.89224526	26.92472564
AT1G01660	1.549499894	0.836074034	0.449268957
AT1G01670	1.019850994	0.692669996	1.075273369
AT1G01680	0.264472349	0.329314884	0.894626839
AT1G01690	3.041289674	5.189515752	5.225512202
AT1G01695	0.189341784	0.157176022	0.365990714
AT1G01700	0.9679964	0.80355123	0.719654417
AT1G01710	22.33119936	20.37596319	25.15008149
AT1G01715	5.326844094	6.19067279	7.379225676
AT1G01720	52.70127545	42.17176259	39.18768634
AT1G01725	18.12251217	7.279269415	9.887542437
AT1G01730	31.73380962	26.99593382	31.30382483
AT1G01740	6.971085835	7.75815937	8.810480713
AT1G01750	16.17571436	7.957186109	7.672010505
AT1G01760	4.065406135	3.292455402	3.929140364
AT1G01770	14.46158616	13.70413573	15.31710402
AT1G01780	23.90404741	13.46005909	18.57919316
AT1G01790	22.49569436	21.3418065	22.50943926
AT1G01800	51.89949928	52.32972856	60.80360169
AT1G01810	4.567109413	4.389856502	4.181710138
AT1G01820	100.3726005	83.94058955	92.32014267
AT1G01830	8.610349228	6.906132662	6.803588319
AT1G01840	3.055266945	3.011775582	4.982950219
AT1G01860	13.99871717	14.91720745	14.2011805
AT1G01880	2.150196429	2.130384504	2.14516166
AT1G01900	4.274824737	7.247159097	5.819069855
AT1G01910	62.85461749	65.97142375	71.56594073
AT1G01920	22.30998834	17.25595178	22.84184941
AT1G01930	17.78082473	17.30290309	16.82381447
AT1G01940	37.04859548	39.37196633	37.53658357
AT1G01950	15.04669048	13.38270913	14.87285795
AT1G01960	44.32726835	37.78109531	42.34666501
AT1G01970	32.67795602	32.99382073	29.71962317
AT1G01980	0	0.134815233	0.235442035
AT1G01990	44.45382502	46.2152618	47.26018598
AT1G02000	9.923032944	10.67103245	11.18883394
AT1G02010	4.188439903	2.586473893	3.554385578
AT1G02020	10.55589866	11.87363838	10.56428629
AT1G02030	1.029274356	1.403688627	0.710553401
AT1G02040	0.133814441	0.111081775	0
AT1G02050	12.02713769	10.99925969	11.03295644
AT1G02060	11.64005213	9.955423294	10.97717183
AT1G02065	1.093574124	1.39195319	1.69107089
AT1G02067	0	0	1.366695055
AT1G02070	0.397881722	0.660577554	1.15363613
AT1G02080	37.10178134	30.15153522	38.65465309
