ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
252178_at	0.0000109	4.80e-10	-2.13e+02	9.164914	-2.25	BEH1	BES1/BZR1 1
251374_at	0.0000897	7.87e-09	-1.13e+02	8.84366	-2.15	HAT3	homeobox-leucine zipper protein HAT3
250624_at	0.0000991	1.30e-08	1.01e+02	8.737545	6.65	AT5G07330	hypothetical protein
258347_at	0.0001163	2.67e-08	8.58e+01	8.548579	9.40	AT3G17520	late embryogenesis abundant protein (LEA) family protein
262347_at	0.0001163	3.24e-08	8.22e+01	8.490078	6.05	AT1G64110	transcription factor DUO1
254805_at	0.0001163	3.33e-08	-8.17e+01	8.481033	-5.19	pEARLI 1	putative lipid transfer protein
248545_at	0.0001163	4.03e-08	7.82e+01	8.417891	6.45	AT5G50260	KDEL-tailed cysteine endopeptidase CEP1
252515_at	0.0001163	4.08e-08	7.80e+01	8.413602	4.67	HSP17.4	heat shock protein 17.4
249771_at	0.0001512	5.97e-08	7.16e+01	8.275242	5.66	AT5G24080	G-type lectin S-receptor-like serine/threonine protein kinase
259952_at	0.0002026	8.88e-08	-6.54e+01	8.111699	-3.11	RLP12	CLAVATA2 -related protein
254393_at	0.0002144	1.25e-07	6.05e+01	7.954947	1.53	AT4G21580	oxidoreductase, zinc-binding dehydrogenase family protein
258498_at	0.0002144	1.28e-07	6.02e+01	7.944841	1.14e+01	AT3G02480	Late embryogenesis abundant protein (LEA) family protein
254276_at	0.0002144	1.44e-07	5.86e+01	7.886338	2.14	AT4G22820	A20/AN1-like zinc finger family protein
248352_at	0.0002144	1.46e-07	5.85e+01	7.879569	9.17	LTI65	protein LOW-TEMPERATURE-INDUCED 65
252487_at	0.0002144	1.46e-07	5.84e+01	7.877597	3.59	UGT76E12	UDP-glucosyl transferase 76E12
250770_at	0.0002144	1.50e-07	5.81e+01	7.864451	3.86	LAC12	laccase 12
246855_at	0.0002434	1.81e-07	-5.57e+01	7.767402	-3.70	AT5G26280	TRAF-like family protein
255795_at	0.0002524	1.99e-07	5.45e+01	7.717243	9.69	RD20	caleosin 3
260165_at	0.0003844	3.20e-07	-4.89e+01	7.444324	-1.51	RPS17	30S ribosomal protein S17
263497_at	0.0004378	4.04e-07	4.64e+01	7.298729	9.60	COR15A	cold-regulated protein 15a
247717_at	0.0004378	4.05e-07	4.64e+01	7.298391	1.02e+01	LTP3	non-specific lipid-transfer protein 3
258468_at	0.0004378	4.22e-07	-4.60e+01	7.270898	-4.07	AT3G06070	hypothetical protein
266462_at	0.000556	5.61e-07	4.31e+01	7.082226	8.53	TSPO	tryptophan-rich sensory protein-like protein
261077_at	0.0006592	7.20e-07	4.07e+01	6.906446	8.67	HAI2	protein phosphatase 2C 3
254269_at	0.0006592	7.22e-07	4.07e+01	6.904098	3.30	AT4G23050	PAS domain-containing protein tyrosine kinase family protein
260357_at	0.0007452	8.49e-07	3.92e+01	6.785956	7.44	AFP1	ABI five binding protein
245540_at	0.0009265	1.12e-06	3.69e+01	6.576663	3.33	PDR2	ABC transporter G family member 30
247437_at	0.0009265	1.14e-06	3.67e+01	6.564145	4.58	HVA22B	HVA22-like protein b
262128_at	0.0009561	1.22e-06	3.62e+01	6.512037	1.16e+01	AT1G52690	Late embryogenesis abundant protein (LEA) family protein
264612_at	0.0009929	1.33e-06	3.54e+01	6.439486	4.00	AT1G04560	AWPM-19-like family protein
245953_at	0.0009929	1.35e-06	3.53e+01	6.429101	6.24	AT5G28520	mannose-binding lectin-like protein
249619_at	0.0010218	1.43e-06	3.49e+01	6.38048	4.55	GORK	potassium channel GORK
263836_at	0.0010745	1.60e-06	-3.40e+01	6.291803	-6.29	PYL6	abscisic acid receptor PYL6
247723_at	0.0010745	1.60e-06	3.40e+01	6.290106	9.42	HAI1	putative protein phosphatase 2C 78
265195_at	0.0010918	1.68e-06	-3.36e+01	6.253013	-8.66e-01	AT2G36730	pentatricopeptide repeat-containing protein
