From	To	Species	Gene Name
257886_at	AT3G17060	Arabidopsis thaliana	Pectin lyase-like superfamily protein(AT3G17060)
257645_at	AT3G25790	Arabidopsis thaliana	myb-like transcription factor family protein(AT3G25790)
260815_at	AT1G06950	Arabidopsis thaliana	translocon at the inner envelope membrane of chloroplasts 110(TIC110)
257404_at	AT1G04050	Arabidopsis thaliana	histone-lysine N-methyltransferase SUVR2-like protein(SUVR1)
253042_at	AT4G37550	Arabidopsis thaliana	Acetamidase/Formamidase family protein(AT4G37550)
259826_at	AT1G29340	Arabidopsis thaliana	plant U-box 17(PUB17)
254379_at	AT4G21820	Arabidopsis thaliana	binding / calmodulin binding protein(AT4G21820)
261900_at	AT1G80940	Arabidopsis thaliana	Snf1 kinase interactor-like protein(AT1G80940)
258730_at	AT3G11730	Arabidopsis thaliana	Ras-related small GTP-binding family protein(ATFP8)
254138_at	AT4G24950	Arabidopsis thaliana	transmembrane protein(AT4G24950)
256319_at	AT1G35910	Arabidopsis thaliana	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(TPPD)
253283_at	AT4G34090	Arabidopsis thaliana	cyclin delta-3(AT4G34090)
258971_at	AT3G01990	Arabidopsis thaliana	ACT domain repeat 6(ACR6)
266122_at	AT2G02090	Arabidopsis thaliana	SNF2 domain-containing protein / helicase domain-containing protein(ETL1)
246746_at	AT5G27820	Arabidopsis thaliana	Ribosomal L18p/L5e family protein(AT5G27820)
246987_at	AT5G67300	Arabidopsis thaliana	myb domain protein r1(MYBR1)
263097_at	AT2G16070	Arabidopsis thaliana	plastid division2(PDV2)
266363_at	AT2G41250	Arabidopsis thaliana	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT2G41250)
246505_at	AT5G16250	Arabidopsis thaliana	transmembrane protein(AT5G16250)
264182_at	AT1G65360	Arabidopsis thaliana	AGAMOUS-like 23(AGL23)
248927_at	AT5G45900	Arabidopsis thaliana	ThiF family protein(APG7)
266351_at	AT2G01490	Arabidopsis thaliana	phytanoyl-CoA dioxygenase (PhyH) family protein(PAHX)
247843_at	AT5G58050	Arabidopsis thaliana	SHV3-like 4(SVL4)
246758_at	AT5G27850	Arabidopsis thaliana	Ribosomal protein L18e/L15 superfamily protein(AT5G27850)
267206_at	AT2G30830	Arabidopsis thaliana	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT2G30830)
245421_at	AT4G17430	Arabidopsis thaliana	O-fucosyltransferase family protein(AT4G17430)
257633_at	AT3G26125	Arabidopsis thaliana	cytochrome P450, family 86, subfamily C, polypeptide 2(CYP86C2)
258501_at	AT3G06780	Arabidopsis thaliana	glycine-rich protein(AT3G06780)
253054_at	AT4G37580	Arabidopsis thaliana	Acyl-CoA N-acyltransferases (NAT) superfamily protein(HLS1)
256790_at	AT3G16857	Arabidopsis thaliana	response regulator 1(RR1)
254126_at	AT4G24770	Arabidopsis thaliana	31-kDa RNA binding protein(RBP31)
265037_at	AT1G03860	Arabidopsis thaliana	prohibitin 2(PHB2)
256548_at	AT3G14770	Arabidopsis thaliana	Nodulin MtN3 family protein(SWEET2)
245650_at	AT1G24735	Arabidopsis thaliana	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G24735)
258983_at	AT3G08860	Arabidopsis thaliana	PYRIMIDINE 4(PYD4)
267459_at	AT2G33850	Arabidopsis thaliana	E6-like protein(AT2G33850)
265266_at	AT2G42890	Arabidopsis thaliana	MEI2-like 2(ML2)
