ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
251374_at	0.000186	8.15e-09	-1.12e+02	7.18697	-2.15	HAT3	homeobox-leucine zipper protein HAT3
250798_at	0.00041	3.60e-08	7.98e+01	7.00327	6.61	AT5G05340	peroxidase 52
257510_at	0.000778	1.02e-07	-6.30e+01	6.79231	-2.32	AT1G55360	hypothetical protein
254393_at	0.00185	3.30e-07	4.84e+01	6.44074	1.20	AT4G21580	oxidoreductase, zinc-binding dehydrogenase family protein
258799_at	0.00185	4.06e-07	-4.62e+01	6.36309	-1.03	RPSAb	40S ribosomal protein Sa-2
262260_at	0.002122	6.59e-07	-4.14e+01	6.16108	-3.48	MLP34	MLP-like protein 34
265400_at	0.002122	7.63e-07	-4.00e+01	6.09367	-7.71	AT2G10940	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
254073_at	0.002122	7.75e-07	-3.99e+01	6.08661	-4.27e-01	RSP35	arginine/serine-rich splicing factor 35
254204_at	0.002122	8.37e-07	3.92e+01	6.04997	2.76	AT4G24160	lysophosphatidic acid acyltransferase
253630_at	0.002789	1.22e-06	3.60e+01	5.85947	1.76	AT4G30490	AFG1-like ATPase family protein
258486_at	0.003001	1.45e-06	-3.46e+01	5.76846	-8.18e-01	AT3G02560	40S ribosomal protein S7-2
267202_s_at	0.003259	1.86e-06	3.27e+01	5.62617	2.60	ORP1B///ORP1A	oxysterol binding protein-related protein 1B///oxysterol binding protein-related protein 1A
262415_at	0.003259	1.87e-06	-3.27e+01	5.62242	-9.11e-01	emb1129	protein EMBRYO DEFECTIVE 1129
252862_at	0.003259	2.00e-06	3.22e+01	5.58273	3.20	AT4G39830	putative L-ascorbate oxidase
254390_at	0.003959	2.60e-06	3.03e+01	5.4208	3.96e-01	CPK15	calcium-dependent protein kinase 15
251334_at	0.005186	3.64e-06	2.81e+01	5.20154	4.98	AT3G61390	U-box domain-containing protein 36
249866_at	0.005458	4.24e-06	-2.72e+01	5.09648	-5.73	MAM1	methylthioalkylmalate synthase 1
262148_at	0.005458	4.45e-06	2.69e+01	5.06224	4.48e-01	AT1G52560	heat shock protein 26.5
259511_at	0.005458	4.55e-06	2.67e+01	5.04703	1.76	CCS	copper chaperone for SOD1
264851_at	0.006541	6.30e-06	2.48e+01	4.80902	1.18	CPK6	calcium dependent protein kinase 6
249815_at	0.006541	6.83e-06	-2.44e+01	4.7481	-7.51e-01	AT5G23900	60S ribosomal protein L13-3
257918_at	0.006541	7.11e-06	2.41e+01	4.71651	1.84	AT3G23230	ethylene-responsive transcription factor ERF098
248615_at	0.006541	7.12e-06	2.41e+01	4.71596	1.90	PNG1	peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase
251395_at	0.006541	7.37e-06	-2.39e+01	4.68909	-3.86	FLA8	FASCICLIN-like arabinogalactan protein 8
259734_at	0.006541	7.42e-06	2.39e+01	4.68416	2.09	AT1G77500	hypothetical protein
