gene,log2FoldChange
AT5G12020,-6.49
AT1G53540,-5.35
AT5G12030,-4.76
AT1G61800,-4.64
AT2G29500,-4.40
AT5G51440,-4.27
AT3G46230,-4.25
AT1G06000,-4.07
AT4G11190,-3.67
AT5G55450,-3.66
AT4G37160,-3.65
AT3G46940,-3.58
AT3G12580,-3.58
AT1G65060,-3.44
AT3G13650,-3.44
AT3G61820,-3.40
AT3G15460,-3.40
AT4G25630,-3.39
AT5G10130,-3.34
AT1G24020,-3.33
AT5G48570,-3.29
AT4G04940,-3.29
AT5G54970,-3.29
AT5G59720,-3.28
AT5G61030,-3.27
AT1G07370,-3.26
AT5G26220,-3.23
AT5G08640,-3.22
AT5G46280,-3.19
AT1G64390,-3.18
AT4G25250,-3.15
AT1G55210,-3.14
AT5G13930,-3.13
AT4G30650,-3.10
AT2G41810,-3.05
AT5G08020,-3.03
AT1G80130,-3.03
AT2G27550,-3.00
AT3G44990,-3.00
AT5G02760,-3.00
AT1G24280,-2.98
AT4G11460,-2.98
AT2G19670,-2.97
AT5G61000,-2.96
AT4G04610,-2.95
AT1G30530,-2.93
AT3G03060,-2.93
AT1G04020,-2.90
AT3G23810,-2.87
AT1G44900,-2.86
AT1G56110,-2.85
AT4G25340,-2.83
AT3G53650,-2.83
AT2G21790,-2.81
AT3G48490,-2.78
AT5G24330,-2.78
AT2G24490,-2.76
AT2G27840,-2.73
AT5G14580,-2.73
AT3G14740,-2.73
AT4G26600,-2.72
AT2G16660,-2.72
AT5G41880,-2.72
AT1G23100,-2.71
AT1G51380,-2.70
AT3G44750,-2.69
AT1G08090,-2.65
AT5G23420,-2.64
AT5G10390,-2.64
AT4G34950,-2.62
AT5G02890,-2.62
AT2G34260,-2.62
AT5G67100,-2.62
AT5G52220,-2.61
AT5G55730,-2.60
AT2G32220,-2.59
AT3G59670,-2.59
AT4G30800,-2.57
AT4G26780,-2.57
AT5G48880,-2.56
AT5G64770,-2.55
AT4G39800,-2.55
AT3G18130,-2.54
AT3G10530,-2.54
AT4G37400,-2.54
AT3G55510,-2.52
AT5G03760,-2.52
AT1G72970,-2.52
AT5G02490,-2.51
AT2G16440,-2.50
AT3G13470,-2.48
AT2G37560,-2.48
AT2G33790,-2.47
AT4G12510,-2.46
AT5G12110,-2.46
AT1G73620,-2.46
AT5G55920,-2.46
AT1G80270,-2.46
AT1G73600,-2.45
AT4G28310,-2.42
AT1G78570,-2.42
AT2G40550,-2.42
AT5G25610,-2.41
AT3G27060,-2.41
AT3G20440,-2.41
AT3G06530,-2.40
AT4G02060,-2.40
AT3G48460,-2.39
AT5G02050,-2.38
AT3G56870,-2.38
AT2G22470,-2.37
AT2G41090,-2.36
AT3G07770,-2.36
AT2G07690,-2.36
AT3G14210,-2.36
AT5G60730,-2.35
AT5G52640,-2.33
AT2G17630,-2.33
AT1G62180,-2.31
AT3G43960,-2.31
AT1G32900,-2.31
AT5G09590,-2.31
AT4G01630,-2.31
AT2G31270,-2.31
AT2G41230,-2.30
AT4G12620,-2.30
AT1G19450,-2.30
AT5G27120,-2.30
AT3G18600,-2.30
AT5G49560,-2.29
AT4G16660,-2.29
AT5G27330,-2.28
AT5G16930,-2.28
AT1G79110,-2.27
AT5G61420,-2.27
AT1G80720,-2.27
AT2G33210,-2.27
AT1G71850,-2.27
AT3G52170,-2.27
AT5G09840,-2.26
AT1G13420,-2.26
AT2G46650,-2.26
AT5G05270,-2.26
AT4G19030,-2.25
AT5G02590,-2.25
AT5G62440,-2.24
AT3G57940,-2.24
AT3G15680,-2.24
AT3G49320,-2.24
AT3G09440,-2.24
AT1G67320,-2.24
AT3G04770,-2.23
AT3G19440,-2.23
AT1G66940,-2.22
AT4G36360,-2.22
AT4G36580,-2.22
AT5G56030,-2.21
AT4G31320,-2.21
AT1G79470,-2.20
AT1G64220,-2.20
AT3G17998,-2.20
AT3G57490,-2.20
AT5G45670,-2.19
AT1G53035,-2.19
AT3G10520,-2.19
AT2G19490,-2.18
AT1G57590,-2.17
AT1G79150,-2.17
AT1G09200,-2.17
AT4G39330,-2.17
AT5G07030,-2.17
AT1G18320,-2.16
AT5G60520,-2.16
AT4G39210,-2.16
AT3G49240,-2.15
AT5G60760,-2.15
AT5G59240,-2.15
AT5G15490,-2.14
AT1G60850,-2.14
AT5G66750,-2.14
AT3G06035,-2.14
AT3G55010,-2.13
AT5G24660,-2.12
AT2G03090,-2.12
AT5G05990,-2.12
AT1G04520,-2.12
AT3G15357,-2.12
AT2G29570,-2.11
AT2G38750,-2.11
AT1G66620,-2.11
AT3G57150,-2.11
AT3G24090,-2.11
AT3G44320,-2.11
AT4G24780,-2.10
AT5G09420,-2.10
AT4G16630,-2.10
AT1G07400,-2.10
AT3G08770,-2.09
AT4G38100,-2.09
AT3G04290,-2.09
AT4G05410,-2.08
AT5G67280,-2.07
AT2G20710,-2.07
AT1G69770,-2.07
AT2G31060,-2.06
AT4G12400,-2.06
AT3G06680,-2.06
AT4G37910,-2.06
AT3G42660,-2.06
AT3G24495,-2.05
AT3G23000,-2.05
AT4G27670,-2.05
AT4G05390,-2.05
AT3G52370,-2.05
AT5G11240,-2.05
AT3G16870,-2.04
AT3G59550,-2.04
AT4G19120,-2.04
AT3G07390,-2.04
AT1G56580,-2.04
AT1G29980,-2.04
AT5G52860,-2.04
AT1G10270,-2.03
AT3G57660,-2.03
AT4G35150,-2.03
AT3G11964,-2.03
AT5G02220,-2.02
AT5G61790,-2.02
AT4G21200,-2.02
AT2G37400,-2.01
AT3G21560,-2.01
AT1G26840,-2.01
AT4G10250,-2.01
AT1G19050,-2.01
AT4G40000,-2.01
AT5G01790,-2.01
AT5G28540,-2.00
AT1G63250,-2.00
AT2G34357,-2.00
AT1G77030,-2.00
AT1G04945,-2.00
AT3G09480,-2.00
AT5G53420,-2.00
AT5G06550,-1.99
AT1G72440,-1.99
AT5G13490,-1.99
AT5G17700,-1.98
AT4G02400,-1.98
AT1G64170,-1.98
AT4G39950,-1.98
AT5G38890,-1.98
AT5G21100,-1.97
AT5G23020,-1.97
AT3G09540,-1.97
AT1G04980,-1.97
AT3G59820,-1.97
AT5G56000,-1.97
AT5G08260,-1.97
AT1G31660,-1.96
AT2G35860,-1.96
AT3G56070,-1.96
AT5G53250,-1.96
AT3G13940,-1.96
AT3G15650,-1.96
AT3G26960,-1.95
AT3G05060,-1.95
AT3G12860,-1.94
AT3G13860,-1.94
AT1G76790,-1.94
AT1G67630,-1.93
AT3G58660,-1.93
AT5G12080,-1.93
AT4G18970,-1.93
AT5G49330,-1.92
AT2G18520,-1.92
AT1G14980,-1.92
AT1G23410,-1.91
AT3G51660,-1.91
AT2G44510,-1.91
AT3G52040,-1.91
AT1G77510,-1.91
AT3G55605,-1.91
AT4G29690,-1.90
AT1G14060,-1.90
AT4G13750,-1.90
AT3G05740,-1.90
AT1G78090,-1.90
AT3G13672,-1.90
AT1G63810,-1.89
AT5G57760,-1.89
AT5G46740,-1.89
AT2G19385,-1.89
AT3G02820,-1.89
AT3G45930,-1.89
AT3G14900,-1.89
AT2G22500,-1.89
AT1G08580,-1.89
AT3G07050,-1.89
AT4G30020,-1.89
AT1G75780,-1.88
AT3G25230,-1.88
AT1G54050,-1.88
AT5G40480,-1.88
AT2G27775,-1.88
AT4G25730,-1.87
AT1G04680,-1.87
AT2G37040,-1.86
AT2G20570,-1.86
AT5G65860,-1.86
AT2G47990,-1.86
AT2G24970,-1.86
AT5G59320,-1.86
AT3G57010,-1.86
AT1G02370,-1.86
AT4G25790,-1.86
AT1G54000,-1.85
AT1G54010,-1.85
AT3G27360,-1.85
AT5G23300,-1.85
AT1G30070,-1.85
AT3G22310,-1.85
AT2G04050,-1.85
AT1G78210,-1.85
AT2G18220,-1.84
AT3G21540,-1.84
AT4G28450,-1.84
AT4G17760,-1.84
AT2G43650,-1.83
AT1G53645,-1.83
AT5G46690,-1.83
AT4G36640,-1.83
AT5G18820,-1.82
AT5G62210,-1.82
AT1G64600,-1.82
AT5G50335,-1.82
AT1G75150,-1.82
AT4G12880,-1.82
AT2G36880,-1.82
AT5G16690,-1.82
AT4G00600,-1.82
AT1G78060,-1.82
AT1G50110,-1.82
AT4G27510,-1.82
AT2G32990,-1.82
AT1G06720,-1.81
AT1G64640,-1.81
AT1G30690,-1.81
AT5G26860,-1.81
AT1G64670,-1.80
AT5G42860,-1.80
AT4G34588,-1.80
AT3G12340,-1.80
AT4G39940,-1.80
AT3G13610,-1.80
AT1G18250,-1.80
AT3G03110,-1.80
AT1G52930,-1.79
AT3G44450,-1.79
AT1G48630,-1.79
AT1G13160,-1.79
AT1G17745,-1.79
AT3G62600,-1.79
AT3G16810,-1.78
AT1G48570,-1.78
AT2G45310,-1.78
AT3G23990,-1.78
AT1G41830,-1.78
AT3G23740,-1.78
AT1G28395,-1.77
AT5G64080,-1.77
AT3G56990,-1.77
AT5G59870,-1.77
AT5G20160,-1.77
AT3G10610,-1.77
AT3G58990,-1.77
AT2G36010,-1.76
AT5G62220,-1.76
AT4G15640,-1.76
AT3G01800,-1.76
AT2G37990,-1.76
AT1G10640,-1.75
AT4G29700,-1.75
AT4G21990,-1.75
AT5G66310,-1.75
AT2G41800,-1.75
AT4G17770,-1.74
AT1G14960,-1.74
AT3G04710,-1.74
AT5G66540,-1.74
AT2G38360,-1.74
AT1G30960,-1.74
AT5G67060,-1.74
AT1G31320,-1.74
AT3G55120,-1.74
AT2G41950,-1.74
AT4G29030,-1.73
AT2G24390,-1.73
AT2G39230,-1.73
AT1G27050,-1.73
AT5G14700,-1.73
AT1G15440,-1.73
AT4G23750,-1.73
AT5G64710,-1.73
AT5G65360,-1.73
AT1G11545,-1.72
AT2G29680,-1.72
AT3G51240,-1.72
AT3G22660,-1.72
AT5G47630,-1.72
AT1G07790,-1.72
AT3G12610,-1.71
AT5G57280,-1.71
AT3G12700,-1.71
AT5G08600,-1.71
AT5G49910,-1.71
AT3G12270,-1.71
AT1G08130,-1.71
AT1G29510,-1.71
AT5G12940,-1.70
AT1G36280,-1.70
AT2G05140,-1.70
AT5G62360,-1.70
AT2G14860,-1.70
AT1G61640,-1.70
AT5G50740,-1.69
AT2G38090,-1.69
AT5G06000,-1.69
AT2G20750,-1.69
AT1G03110,-1.69
AT4G22380,-1.69
AT1G61570,-1.69
AT4G01560,-1.69
AT4G13890,-1.69
AT4G01950,-1.69
AT4G31790,-1.69
AT1G09210,-1.69
AT2G37510,-1.69
AT3G14890,-1.69
AT1G20950,-1.69
AT3G16780,-1.68
AT1G10490,-1.68
AT5G02190,-1.68
AT2G45280,-1.68
AT5G39850,-1.68
AT5G54910,-1.68
AT1G48920,-1.68
AT1G04040,-1.68
AT5G22580,-1.68
AT1G34245,-1.67
AT5G66590,-1.67
AT1G73780,-1.67
AT3G16360,-1.67
AT1G05650,-1.67
AT4G36680,-1.67
AT1G78650,-1.67
AT1G78370,-1.67
AT2G47000,-1.67
AT1G04770,-1.66
AT1G64880,-1.66
AT3G15720,-1.66
AT5G42650,-1.66
AT1G74310,-1.66
AT1G22410,-1.66
AT5G01500,-1.66
AT5G22650,-1.66
AT5G23220,-1.66
AT3G27640,-1.66
AT5G66690,-1.66
AT5G61770,-1.66
AT3G27400,-1.66
AT3G48250,-1.66
AT3G63110,-1.65
AT3G61100,-1.65
AT3G01160,-1.65
AT2G32920,-1.65
AT3G06740,-1.65
AT4G16265,-1.65
AT3G09720,-1.65
AT2G37860,-1.65
AT1G03530,-1.65
AT5G19730,-1.64
AT5G64850,-1.64
AT1G54690,-1.64
AT3G29375,-1.64
AT4G24830,-1.64
AT3G45230,-1.64
AT2G38940,-1.63
AT3G13150,-1.63
AT3G13560,-1.63
AT1G49560,-1.63
AT2G20560,-1.63
AT1G17560,-1.63
AT1G01300,-1.63
AT1G21880,-1.63
AT1G74030,-1.62
AT3G27200,-1.62
AT1G30240,-1.62
AT1G06350,-1.62
AT5G25580,-1.62
AT1G53500,-1.62
AT1G77670,-1.62
AT4G21830,-1.62
AT1G01940,-1.61
AT2G18900,-1.61
AT3G15080,-1.61
AT3G17830,-1.61
AT2G38810,-1.61
AT1G55900,-1.61
AT5G19750,-1.61
AT5G39840,-1.61
AT3G27550,-1.61
AT5G13610,-1.61
AT4G27380,-1.60
AT4G21140,-1.60
AT1G30510,-1.60
AT1G06080,-1.60
AT2G31725,-1.60
AT2G28600,-1.60
AT3G13230,-1.60
AT2G25620,-1.60
AT4G30610,-1.60
AT2G35605,-1.59
AT5G03160,-1.59
AT3G52900,-1.59
AT2G14460,-1.59
AT4G28250,-1.59
AT3G25760,-1.59
AT5G02540,-1.59
AT5G66420,-1.59
AT5G67510,-1.59
AT5G13520,-1.59
AT5G23070,-1.59
AT5G11790,-1.59
AT5G28300,-1.59
AT5G44780,-1.58
