gene,log2FoldChange
AT3G29633,-6.876071373
AT1G23720,-2.311261795
AT3G28550,-2.228827706
AT3G54590,-2.095448718
AT3G54580,-2.008760597
AT1G54970,-2.041795676
AT5G35190,-2.135679465
AT3G62680,-1.956296065
AT2G24980,-2.056620304
AT2G39430,-1.864232219
AT5G06640,-2.016896497
AT1G12040,-1.988560378
AT4G08400,-2.177062484
AT4G13390,-1.91794701
AT5G10430,-2.135574812
AT4G08410,-1.933926158
AT5G06630,-2.097501039
AT2G25810,-1.619968313
AT5G07990,-1.67959123
AT1G03870,-2.021548103
AT4G40090,-1.726975023
AT4G16563,-1.942170139
AT5G65390,-1.597252945
AT4G11290,-1.46870516
AT2G14890,-1.386977333
AT5G60390,-1.220031893
AT3G09630,-1.269601881
AT5G46890,-1.72559862
AT1G62440,-1.738459671
AT3G49960,-1.296014777
AT1G19900,-1.487622707
AT1G03230,-1.456255168
AT4G19680,-1.636945711
AT5G57625,-1.379343684
AT4G36180,-1.49429463
AT5G46900,-1.601863576
AT3G18000,-1.258761158
AT2G33790,-2.14290896
AT2G45470,-1.525516342
AT1G80070,-1.201303351
AT5G19800,-1.543546824
AT1G76500,-1.498731194
AT5G08670,-1.061921817
AT5G08640,-1.125641064
AT5G62210,-1.348168864
AT3G58120,-1.400613518
AT1G70460,-1.342375547
AT5G08690,-1.111965372
AT3G03250,-1.153602764
AT5G62690,-1.169757851
AT2G22125,-1.251161777
AT1G64640,-1.542876876
AT1G07930,-1.141758659
AT1G04820,-1.07772829
AT5G13930,-0.970543026
AT4G30980,-1.439942747
AT3G23940,-1.266432648
AT3G45700,-1.918573294
AT3G06390,-1.181041906
AT1G09620,-1.140017064
AT4G38510,-1.013723646
AT5G49360,-1.171599653
AT4G34200,-1.045935975
AT5G61350,-1.451696886
AT3G15000,-1.116430955
AT1G30870,-1.068975395
AT5G62700,-1.066607255
AT3G07030,-1.434974599
AT1G09780,-1.061968113
AT3G09200,-1.01537253
AT2G45000,-1.357593268
AT4G29840,-1.060491148
AT4G11610,-1.815697071
AT4G01850,-0.912288398
AT4G17520,-1.130213951
AT4G35090,-0.90973058
AT1G01090,-0.907698363
AT1G12090,-0.977320215
AT3G60900,-1.783533845
AT2G36910,-1.06307435
AT1G15930,-0.945021331
AT2G29580,-1.322227678
AT3G22400,-1.773766226
AT2G20585,-1.316587963
AT4G02290,-1.307778368
AT3G48870,-1.020362092
AT3G52140,-1.016940281
AT1G03790,-1.008373573
AT4G32920,-1.038282002
AT1G36160,-0.855777757
AT1G52680,-1.29359048
AT5G04970,-1.726121679
AT3G56590,-1.004992338
AT2G37130,-0.988043437
AT4G25820,-0.912689305
AT5G13480,-1.246583499
AT3G27325,-1.043889627
AT4G32410,-0.866919598
AT2G20750,-1.547740904
AT1G15440,-1.055553564
AT4G29140,-1.236460902
AT5G49160,-1.235823533
AT4G08290,-1.120836604
AT3G14310,-1.049642299
AT5G20280,-0.982600894
AT1G06220,-1.11800056
AT3G26520,-0.853002111
AT1G57820,-1.122846229
AT2G38280,-1.043428574
AT5G44260,-1.310115481
AT2G43970,-0.921399292
AT5G01160,-1.116819075
AT5G48360,-1.238518687
AT2G42560,-1.295661311
AT5G02500,-0.815806455
AT1G20960,-0.967153268
AT3G13460,-0.878204976
AT2G07360,-0.949685149
AT5G01890,-1.240023666
AT5G57530,-1.020739822
AT2G31670,-1.003501564
AT1G62510,-1.116843842
AT5G12860,-1.090801148
AT1G33680,-1.039648131
