GeneID	RF01	RF02	RF03	RF04	RF05	RF06	RF07	RF08	RF09	RF10	RF11	RF12
AT1G01010	173	131	201	170	148	198	286	305	327	415	290	300
AT1G01020	246	235	281	367	284	370	257	215	200	218	160	226
AT1G01030	108	146	144	111	111	112	64	74	49	71	92	78
AT1G01040	1569	1429	2053	1327	1236	1446	1434	1569	1392	1399	1251	1287
AT1G01046	5	2	19	10	2	9	8	11	8	10	2	9
AT1G01050	1185	1186	1228	1488	1530	1380	1068	1073	967	1761	1715	1818
AT1G01060	4600	5489	5219.001	2108	1868	1942	3834.999	4045	3637	2192	2143	2128
AT1G01070	64	42	94	256	239	290	41	54	34	218	157	184
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	971	1224	976	1088	1051	830	578	667	559	687	697	655
AT1G01090	5026	4983	4992	3849	4104	3338	4077	4517	4033	4517	4364	4127
AT1G01100	4521	4972.999	4300	5645	5738	5555.999	2757.999	2759	2312.001	6238	6334.001	6525
AT1G01110	171	111	144	178	170	166	100	111	101	231	216	239
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	961	1151	1375	652	800	719	1887	2095	1978	1983	1885	1721
AT1G01130	10	17	14	10	15	19	10	13	10	34	33	31
AT1G01140	1183	1342	1320	1427	1395	1485	1837	1840	1905	1117	960	762
AT1G01150	0	0	0	2	5	1	6	0	0	1	3	0
AT1G01160	695	692	732	848.48	788	969.2	664	572	582.354	855	786	971.534
AT1G01170	917	1207	927	1340.52	1282	1142.8	818	858	781.646	794	838	786.466
AT1G01180	480	483	476	327	357	305	666	650	526	246	259	177
AT1G01183	0	0	0	0	1	0	0	0	0	0	0	0
AT1G01190	65	62	60	83	119	101	20	33	49	56	74	75
AT1G01200	24	18	26	35	43	50	4	8	1	76	52	73
AT1G01210	231	280	308	267	267.471	255	243	230	203	308	332	286
AT1G01220	557	714	729	916	827	874	519	514	406	955	895	851
AT1G01225	42	24	50	59	58	70	30	40	13	72	61	83
AT1G01230	404	371	485	599	633	622	672	612	582	976	794	867
AT1G01240	687	675	749.001	1264	1014	1080.999	897	820	804	535	378	457.001
AT1G01250	3	21	5	69	76	71	2	2	0	31	40	26
AT1G01260	487	503.001	545	574.999	528.001	543	551.001	576	501.999	643	593	567
AT1G01270	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01290	263	280	303	322	367	380	210	204	204	335	329	303
AT1G01300	1518	1552	1720	1358	1576	1522	1198	1362	1134	3366	3618	2924
AT1G01305	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01310	0	1	0	1	2	3	1	1	1	4	0	2
AT1G01320	14431	15270	17620	7975	7129	6341	9299	10244	8467	4819	5170	4537
AT1G01340	250	248	205	120	73	165	262	250	205	52	39	56
