From	Entrez	Species	Description
AT4G02541	6240935	Arabidopsis thaliana	hypothetical protein(AT4G02541)
AT4G26510	828757	Arabidopsis thaliana	uridine kinase-like 4(UKL4)
AT4G02540	827919	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT4G02540)
AT2G36250	818197	Arabidopsis thaliana	Tubulin/FtsZ family protein(FTSZ2-1)
AT5G63350	836455	Arabidopsis thaliana	von willebrand factor A domain protein(AT5G63350)
AT2G12280	815699	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT2G12280)
AT2G36255	3768718	Arabidopsis thaliana	Defensin-like (DEFL) family protein(AT2G36255)
AT4G14520	827099	Arabidopsis thaliana	DNA-directed RNA polymerase II-like protein(AT4G14520)
AT2G24260	816961	Arabidopsis thaliana	LJRHL1-like 1(LRL1)
AT5G38386	833823	Arabidopsis thaliana	F-box/RNI-like superfamily protein(AT5G38386)
AT5G38383	3771361	Arabidopsis thaliana	hypothetical protein(AT5G38383)
AT5G51360	835210	Arabidopsis thaliana	Transcription elongation factor (TFIIS) family protein(AT5G51360)
AT5G38380	833821	Arabidopsis thaliana	zinc transporter(AT5G38380)
AT4G02530	827927	Arabidopsis thaliana	chloroplast thylakoid lumen protein(AT4G02530)
AT4G26520	828758	Arabidopsis thaliana	Aldolase superfamily protein(FBA7)
AT2G36260	818198	Arabidopsis thaliana	Iron-sulfur cluster biosynthesis family protein(AT2G36260)
AT5G63340	836454	Arabidopsis thaliana	hypothetical protein(AT5G63340)
AT1G12400	837795	Arabidopsis thaliana	Nucleotide excision repair, TFIIH, subunit TTDA(AT1G12400)
AT2G12270	3768295	Arabidopsis thaliana	hypothetical protein(AT2G12270)
AT4G14510	827098	Arabidopsis thaliana	CRM family member 3B(CFM3B)
AT2G24255	816960	Arabidopsis thaliana	LOW protein: F-box/kelch-repeat protein(AT2G24255)
AT5G38378	5008284	Arabidopsis thaliana	Plant thionin family protein(AT5G38378)
AT2G24250	816959	Arabidopsis thaliana	LOW protein: F-box/kelch-repeat protein (DUF295)(AT2G24250)
AT5G51370	835211	Arabidopsis thaliana	RNI-like superfamily protein(AT5G51370)
AT4G38500	830007	Arabidopsis thaliana	Sept9 (DUF616)(AT4G38500)
AT4G26530	828759	Arabidopsis thaliana	Aldolase superfamily protein(FBA5)
AT4G02520	827931	Arabidopsis thaliana	glutathione S-transferase PHI 2(GSTF2)
AT2G24290	816965	Arabidopsis thaliana	ubiquitin-associated protein (DUF1068)(AT2G24290)
AT4G14504	6241084	Arabidopsis thaliana	miscRNA(MIR852)
AT2G38890	818473	Arabidopsis thaliana	hypothetical protein(AT2G38890)
AT5G63370	836456	Arabidopsis thaliana	Protein kinase superfamily protein(AT5G63370)
AT2G36230	818195	Arabidopsis thaliana	Aldolase-type TIM barrel family protein(APG10)
AT4G14500	827097	Arabidopsis thaliana	Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT4G14500)
AT5G38365	3771360	Arabidopsis thaliana	hypothetical protein(AT5G38365)
AT2G24280	816963	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT2G24280)
AT5G38360	833818	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT5G38360)
AT5G51380	835212	Arabidopsis thaliana	RNI-like superfamily protein(AT5G51380)
AT2G24285	816964	Arabidopsis thaliana	zinc finger, C3HC4 type (RING finger) family protein(AT2G24285)
AT3G61080	825280	Arabidopsis thaliana	Protein kinase superfamily protein(AT3G61080)
AT4G38510	830008	Arabidopsis thaliana	ATPase, V1 complex, subunit B protein(VAB2)
AT4G26542	10723129	Arabidopsis thaliana	ncRNA(AT4G26542)
AT5G14390	831290	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT5G14390)
AT4G02510	827934	Arabidopsis thaliana	translocon at the outer envelope membrane of chloroplasts 159(TOC159)
AT2G36240	818196	Arabidopsis thaliana	pentatricopeptide (PPR) repeat-containing protein(AT2G36240)
AT2G12290	815700	Arabidopsis thaliana	hypothetical protein(AT2G12290)
AT4G26540	828760	Arabidopsis thaliana	Leucine-rich repeat receptor-like protein kinase family protein(AT4G26540)
AT2G24270	816962	Arabidopsis thaliana	aldehyde dehydrogenase 11A3(ALDH11A3)
AT5G38350	833817	Arabidopsis thaliana	Disease resistance protein (NBS-LRR class) family(AT5G38350)
AT3G61090	825281	Arabidopsis thaliana	Putative endonuclease or glycosyl hydrolase(AT3G61090)
AT5G51390	835213	Arabidopsis thaliana	hypothetical protein(AT5G51390)
AT4G38520	830009	Arabidopsis thaliana	Protein phosphatase 2C family protein(AT4G38520)
AT1G12430	837799	Arabidopsis thaliana	armadillo repeat kinesin 3(ARK3)
AT4G26555	828762	Arabidopsis thaliana	FKBP-like peptidyl-prolyl cis-trans isomerase family protein(AT4G26555)
AT5G14380	831289	Arabidopsis thaliana	arabinogalactan protein 6(AGP6)
AT4G02500	827940	Arabidopsis thaliana	UDP-xylosyltransferase 2(XT2)
AT2G36295	818201	Arabidopsis thaliana	hypothetical protein(AT2G36295)
AT1G36406	3766997	Arabidopsis thaliana	hypothetical protein(AT1G36406)
AT5G26360	832705	Arabidopsis thaliana	TCP-1/cpn60 chaperonin family protein(AT5G26360)
AT1G36400	3766995	Arabidopsis thaliana	hypothetical protein(AT1G36400)
AT4G26550	828761	Arabidopsis thaliana	Got1/Sft2-like vescicle transport protein family(AT4G26550)
AT5G63390	836458	Arabidopsis thaliana	O-fucosyltransferase family protein(AT5G63390)
AT1G36403	3766996	Arabidopsis thaliana	hypothetical protein(AT1G36403)
AT4G38530	830010	Arabidopsis thaliana	phospholipase C1(PLC1)
AT5G02390	830266	Arabidopsis thaliana	TRM32-like protein (DUF3741)(DAU1)
AT5G38344	3771359	Arabidopsis thaliana	Toll-Interleukin-Resistance (TIR) domain family protein(AT5G38344)
AT5G38340	833816	Arabidopsis thaliana	Disease resistance protein (TIR-NBS-LRR class) family(AT5G38340)
AT1G12440	837801	Arabidopsis thaliana	A20/AN1-like zinc finger family protein(AT1G12440)
AT5G14370	831288	Arabidopsis thaliana	CCT motif family protein(AT5G14370)
AT3G02700	820843	Arabidopsis thaliana	NC domain-containing protein-like protein(AT3G02700)
AT5G26350	832704	Arabidopsis thaliana	hypothetical protein(AT5G26350)
AT4G26560	828763	Arabidopsis thaliana	calcineurin B-like protein 7(CBL7)
AT5G63380	836457	Arabidopsis thaliana	AMP-dependent synthetase and ligase family protein(AT5G63380)
AT4G38540	830011	Arabidopsis thaliana	FAD/NAD(P)-binding oxidoreductase family protein(AT4G38540)
AT1G24420	839058	Arabidopsis thaliana	HXXXD-type acyl-transferase family protein(AT1G24420)
