gene log2FoldChange
AT2G35070 12.502231263093428
AT4G32212 12.24568639680245
AT4G32208 11.690558465687491
AT4G32220 11.413954444991678
AT1G70270 10.764887119195087
AT3G45860 10.581892628223919
AT5G49130 10.490457049588763
AT2G29470 9.84435131836383
AT2G46770 9.46061824829243
AT3G48640 8.972137783490892
AT2G18970 8.777015126638368
AT4G13790 8.758682991731572
AT3G20160 8.746040981273135
AT1G22340 8.728862555589544
AT1G47510 8.441434612056597
AT1G20180 8.359749120222762
AT4G04930 8.03610366512726
AT3G48290 7.992566987761658
AT3G32026 7.871295365236375
AT1G26762 7.840496561349814
AT1G09260 7.645007347600374
AT2G41380 7.616714363456309
AT1G29860 7.572671536730958
AT2G25440 7.351624992698042
AT4G23560 7.347503938204845
AT4G32215 7.283352715223749
AT1G17310 7.269632121689236
AT4G29570 7.24909221974195
AT2G23190 7.246291608340354
AT1G66600 7.103556594949581
AT4G15300 7.101690281058696
AT2G18969 7.051451159062726
AT5G15500 7.050877782133624
AT5G22570 7.047936913287788
AT1G05450 7.026172056417244
AT3G60120 6.930411810645651
AT3G22250 6.910032072895798
AT3G21660 6.901910594936224
AT3G19615 6.788897541994065
AT2G38240 6.7692517824937
AT2G16190 6.767739537141152
AT1G21550 6.739843152323901
AT1G72460 6.725429631101044
AT2G42300 6.720609694172019
AT3G29190 6.715951517572701
AT5G66260 6.640174070504034
AT1G31772 6.6185725294359425
AT5G05290 6.613505756124056
AT4G12490 6.5093348536860605
AT2G11851 6.4170810479698135
AT1G13310 6.389284238151298
AT1G18830 6.363658983052016
AT2G33380 6.357906186864189
AT1G63210 6.329541541023909
AT1G51915 6.269774089739636
AT5G19720 6.252953502008511
AT2G28420 6.231122312946525
AT4G11480 6.186513654360271
AT3G49620 6.133394578865237
AT4G11170 6.129889304424536
AT1G73165 6.12898396182053
AT5G65690 6.1239166256032345
AT4G37780 6.1092718429838575
AT4G30180 6.039721428749466
AT5G27845 6.035663692700072
AT5G40382 6.024371963993559
AT1G04670 6.007905479755978
AT2G44460 5.953395906746309
AT4G25380 5.925500732838593
AT3G46080 5.915294490790042
AT5G24200 5.895519522679748
AT1G56060 5.886313225027467
AT4G39130 5.886126291274539
AT5G06720 5.8542936227673525
AT2G02310 5.853973494826475
AT3G28740 5.825544724283497
AT1G26390 5.799644247471929
AT2G29350 5.778655526857014
AT4G10860 5.694268122572338
AT2G47270 5.693920599096493
AT2G04515 5.693067446827796
AT1G75600 5.653028597211371
AT4G32500 5.6368812071458345
AT2G31083 5.628428230590707
AT1G78720 5.600601073904261
AT3G20155 5.598075816067091
AT2G30750 5.592761478246748
AT4G02300 5.566092335255641
AT1G19160 5.5600999936341315
AT5G38900 5.554214711583848
AT4G22470 5.55090102417678
AT5G25260 5.546263719349646
AT2G34655 5.537266671523086
AT1G15040 5.529662947614109
AT5G13320 5.529059189467082
AT1G18280 5.481039196841038
AT1G17300 5.468914246674438
AT5G39580 5.438349069772109
AT5G38940 5.40730182418563
AT3G45540 5.379308827236293
AT4G04500 5.371140908606448
AT1G65240 5.3580781693017485
AT3G07250 5.354686009100512
AT3G19390 5.3375742400281645
AT2G32680 5.27499822801958
AT1G36610 5.2742878586265745
AT3G13950 5.2530681211217205
AT3G15536 5.242596327504069
AT1G53830 5.227139605157943
AT4G37430 5.210707962023903
AT1G20190 5.194632114906439
AT1G01680 5.181406555833194
AT4G26260 5.1780719316388275
AT5G66890 5.175215929374049
AT3G45120 5.16030420106882
AT5G40990 5.158499047446305
AT1G33030 5.149323679858203
AT4G15210 5.132189179332057
AT3G13433 5.123359255766932
AT3G28210 5.112769540312699
AT4G12530 5.102142991177443
AT1G33960 5.096399609673986
AT5G04200 5.0939598723501165
AT2G02610 5.081621149116769
AT4G18980 5.064887417856938
AT2G13810 5.037022256893927
AT4G12480 5.018354670287449
AT5G45090 4.988666751197589
AT2G41190 4.969402179214739
AT5G06860 4.96121716882268
AT1G09080 4.958283690822883
AT4G23600 4.945996109869474
AT5G40000 4.909420093369454
AT5G01380 4.907914748143426
AT2G42340 4.902251193080846
AT3G14380 4.890125028284015
AT2G04495 4.854324729783273
AT1G16850 4.7958878389694135
AT5G55360 4.7952483930027325
AT4G36430 4.789532314529126
AT3G45130 4.785758978756783
AT3G46280 4.783921485192053
AT4G12500 4.779849729957167
AT1G47590 4.767320065569184
AT3G05780 4.764598299941622
AT5G14810 4.749940592250405
AT2G18150 4.744796393593545
AT1G64160 4.739403409810434
AT5G38710 4.728766352781384
AT1G64660 4.7168051778309765
AT3G49570 4.71252654525313
AT3G56891 4.691178096600309
AT1G64940 4.684722572112669
AT2G47190 4.683320442761361
AT3G61390 4.670560428288836
AT2G19190 4.659270642336357
AT5G49138 4.6545717462101655
AT2G45760 4.640068256579276
AT4G13440 4.599694979128556
AT5G50175 4.59135130241716
AT3G60140 4.590324774036899
AT1G52890 4.58975648588604
AT1G60740 4.587436020185817
AT1G66360 4.582362354805389
AT4G04510 4.574594536774005
AT3G29370 4.567513721155629
AT1G44130 4.548422976697964
AT1G57943 4.534882119951941
AT1G22210 4.534383013847039
AT3G23250 4.531237895087524
AT5G02260 4.5308640188945954
AT2G30362 4.527272943739765
AT1G21240 4.523130047187818
AT2G02630 4.496252077386476
AT1G01560 4.468505003041068
AT5G51060 4.464874589583974
AT1G68765 4.460093335268116
AT2G46740 4.454927079408949
AT4G21926 4.452828861577457
AT5G07310 4.433885094869883
AT1G23060 4.427782299278498
AT1G09500 4.426708227852731
AT2G18490 4.424947500679762
AT3G46230 4.4208967153409455
