gene log2FoldChange
AT4G28520 10.707073946917264
AT5G03820 10.532768417635795
AT3G14520 8.114379083982362
AT5G50700 8.108246077249373
AT1G03106 7.686041222826855
AT1G63210 7.546762200239744
AT4G22050 7.51825703786479
AT5G45860 7.512965018345625
AT1G22210 7.470177478453856
AT4G18690 7.231265050193664
AT3G28740 7.00948180699753
AT5G25180 6.939842785138484
AT4G08867 6.8943172192009
AT5G44120 6.873768572695587
AT1G25310 6.860632470912241
AT4G10250 6.741403883850409
AT5G10000 6.633545257790497
AT3G31023 6.6028854491801905
AT3G05260 6.57944446320904
AT3G22640 6.554627739002305
AT5G35660 6.545361712675775
AT3G22500 6.462219330730035
AT1G68250 6.450193228330675
AT3G32026 6.4255762844426005
AT4G04077 6.412907980014424
AT5G05290 6.147341957791313
AT3G55100 6.119470227106283
AT5G12030 6.110089687428519
AT4G12530 6.105712933999376
AT1G47405 6.042471065748719
AT2G25340 5.975460201678774
AT2G05580 5.965079409375545
AT4G18660 5.93457034146392
AT2G23190 5.924659414021382
AT2G27940 5.902399029135577
AT4G18680 5.873981829546117
AT2G23240 5.865082727075986
AT4G39130 5.86269946635702
AT1G54870 5.85083620002281
AT5G40382 5.832464301203046
AT2G42000 5.781834075939969
AT3G63350 5.781065394612252
AT3G56350 5.727330490990382
AT3G04430 5.70100730652586
AT1G77950 5.6493645302643545
AT2G28420 5.649056881636992
AT5G55135 5.647477474130602
AT4G18620 5.620459320046267
AT5G42235 5.560609883067317
AT4G22100 5.560093013098691
AT2G42300 5.557874102655289
AT5G45690 5.505278634121261
AT4G32500 5.49134580571429
AT1G62420 5.475797974267921
AT1G14930 5.45960795359578
AT3G21370 5.436471920237359
AT3G12960 5.365587174046393
AT5G18450 5.365248022623193
AT1G17810 5.323636055853997
AT4G00130 5.268391155897623
AT3G23140 5.268356397278901
AT4G11040 5.2058996549746315
AT4G15210 5.195681928412977
AT1G05510 5.191883339414021
AT2G07731 5.178925407631673
AT1G47590 5.174711526864592
AT1G68240 5.171620472284137
AT1G54860 5.165798196864038
AT2G31083 5.127057877118541
AT5G07200 5.115002789952445
AT4G25140 5.096410795381637
AT1G12030 5.082924662486813
AT1G04560 5.081036738094854
AT3G30580 5.069394252308108
AT3G21380 5.043496657190616
AT1G27990 5.03506247893506
AT1G65340 5.0276336845890714
AT1G73190 5.025430157752942
AT4G28040 5.015543939780319
AT3G21720 5.010896427094969
AT5G62160 4.97969375013173
AT3G18570 4.978084198082725
AT1G29680 4.975534964871927
AT4G22470 4.972471603401639
AT4G24204 4.951527698203348
AT2G31085 4.9321850524289035
AT3G46660 4.899051726405985
AT3G54940 4.885373235384772
AT3G19920 4.882470368416107
AT2G21490 4.8814811445546
AT1G09260 4.8729431104087615
AT5G22470 4.866009299724219
AT4G33020 4.862175979883872
AT5G65165 4.852338080348639
AT1G07645 4.830786116956783
AT1G47610 4.824735550001497
AT4G10020 4.793793355160687
AT2G43580 4.7755601442266515
AT3G22490 4.764912969217233
AT4G26740 4.718551393178979
AT1G70270 4.698049920475367
AT1G53830 4.694396559948208
AT5G41830 4.687875166776502
AT5G40420 4.686204685173516
AT4G27140 4.684118772098603
AT5G24915 4.674429510787651
AT3G53040 4.646120932008749
AT3G28320 4.609708275869523
AT1G72100 4.606840686372755
AT3G48270 4.59259402391588
AT5G54000 4.592170705550479
AT5G54740 4.586113422257851
AT5G59170 4.560481189157065
AT5G27905 4.550447956615414
AT2G19970 4.4873468758787265
AT4G27150 4.484967209538738
AT2G35070 4.474557006315478
AT2G14230 4.471128740190218
AT4G02690 4.450472384234342
AT1G80240 4.427026858664823
AT5G44310 4.411000797893772
AT4G09595 4.40029741235136
AT2G41240 4.399985694479929
AT5G55750 4.384357861135487
AT1G14940 4.372355834024193
AT5G60350 4.368178190549739
AT5G14360 4.364865181228524
AT5G55240 4.36128347467715
AT4G01970 4.354876384517239
AT5G06380 4.3325106291630835
AT5G04010 4.301578888522727
AT2G46770 4.298428009025572
AT4G18650 4.288459881274214
AT2G18969 4.285612811318669
AT1G65090 4.285349206751437
AT4G04930 4.2705963509958424
AT5G57550 4.252201265607418
AT1G32560 4.233993812718129
AT3G51810 4.230561811836514
AT5G49130 4.219719316717668
AT5G04500 4.217180126463943
AT5G16920 4.213876019907
AT3G48290 4.208406426437615
AT2G42560 4.2046044947428625
AT3G61040 4.197872251748901
AT3G21800 4.192676235967985
AT3G61920 4.173421383148051
AT4G16160 4.170058138423913
AT5G49138 4.163641281209334
AT2G36640 4.147358947109726
AT2G28490 4.124699341414575
AT5G24950 4.120882614250502
AT3G17520 4.117233429109242
AT1G14950 4.112269649589802
AT1G32710 4.0917848338506255
AT4G25580 4.0884854642725585
AT3G58450 4.088273193777404
AT4G29570 4.072850430113534
AT5G64210 4.065928987300133
AT5G05260 4.065689284394492
AT2G40250 4.060001285227496
AT3G28390 4.036707719986848
AT5G02260 4.0361644570222195
AT3G56970 4.026910441286354
AT5G66400 4.00638446508954
AT3G50980 4.003826226600563
AT1G03880 4.001974581065196
AT1G26762 3.998617565358998
AT1G27461 3.9918295567174473
AT2G15490 3.990112177215842
AT5G06860 3.9894448348526033
