gene log2FoldChange
AT1G16410 12.733152568908176
AT5G54060 12.138253024930464
AT4G13420 12.062660654603487
AT1G73190 11.657348891693564
AT5G50600 11.597051005532277
AT1G62560 11.433234735453206
AT4G09600 11.269162280382572
AT5G07690 11.020093773510181
AT3G22500 10.898658682552638
AT4G28520 10.710594875655705
AT5G55410 10.634598363706875
AT3G48270 10.617970815517388
AT5G04500 10.59393078320979
AT2G42000 10.483362026774413
AT5G40420 10.480066168077224
AT1G68250 10.457858845105111
AT4G18680 10.32027716302852
AT5G57260 10.298702972300065
AT1G47405 10.232908867738596
AT1G25422 10.216457576970528
AT1G65340 10.162908704114711
AT2G15010 10.140018682046783
AT5G45690 10.086006431570764
AT3G56970 10.070832721083343
AT4G21650 10.060371520082393
AT1G80090 9.989964260129508
AT5G44120 9.919063441433595
AT3G14520 9.904910884405442
AT2G28490 9.885275686088958
AT1G29680 9.855188280436439
AT3G18570 9.850843398317798
AT2G23640 9.839758358835333
AT4G18660 9.838426497810886
AT3G51810 9.822592147837511
AT3G54940 9.809165614517948
AT1G14930 9.772341345535038
AT1G13609 9.768360698635835
AT1G65090 9.76307909312748
AT3G12960 9.715320552468384
AT1G05510 9.66801507069026
AT2G18340 9.654572822772861
AT1G61930 9.636317213371726
AT3G25260 9.636232716859134
AT1G77100 9.620113044416403
AT3G21370 9.565541122448078
AT1G75830 9.534015942428477
AT5G35660 9.532489134242358
AT1G47400 9.469022759401001
AT5G55750 9.465580264599042
AT2G05580 9.455585639170097
AT2G41240 9.411943290286457
AT1G06100 9.37067610841401
AT2G33520 9.326693269828452
AT4G25200 9.259118594497073
AT1G14950 9.257562073896528
AT1G17010 9.245475007731578
AT5G59170 9.219908501619456
AT3G22640 9.218462133429055
AT1G48990 9.215609953216001
AT1G67760 9.210832370059315
AT5G22470 9.201723930299668
AT3G58990 9.18893146468411
AT5G62420 9.14919052260748
AT1G16400 9.114547917437998
AT3G02020 9.10163931507751
AT4G18690 9.054035935913351
AT5G54070 9.025658852473565
AT1G47395 8.965464586661799
AT3G22490 8.961316475475924
AT3G45680 8.918811795073612
AT5G55240 8.816453527316584
AT4G25140 8.787713711978784
AT4G01970 8.779687541584185
AT4G26740 8.759530996330065
AT1G70260 8.720525264561125
AT3G19710 8.715574636353615
AT5G23010 8.712765918374357
AT2G27380 8.626330264587239
AT1G08440 8.608130148522875
AT1G67100 8.55041333935315
AT1G70840 8.525565056152907
AT5G51210 8.520936795068899
AT1G72100 8.514650935275446
AT5G62800 8.477101127480669
AT5G54740 8.47222349023241
AT5G62160 8.448911414656521
AT4G22880 8.429116527960291
AT5G10000 8.399351689857978
AT4G27160 8.39801229912598
AT5G46610 8.377332238059003
AT1G63710 8.373001375923572
AT1G31690 8.35014508188345
AT3G21380 8.285363911149133
AT1G65450 8.269886886056069
AT5G22460 8.259153124965811
AT1G25310 8.25645781517949
AT3G63040 8.244104767172066
AT4G11393 8.232239670397588
AT4G14060 8.20728409049777
AT4G18620 8.182432084735423
AT1G60470 8.171695058293382
AT3G05260 8.15250153255689
AT5G24950 8.145849536640263
AT4G18650 8.124001138982994
AT4G09595 8.122604581587652
AT4G36700 8.113077596644246
AT1G77950 8.031290954183746
AT1G03106 8.00390212700159
AT1G04560 8.001237375740951
AT2G43100 7.991185187870422
AT1G07645 7.968523937616005
AT1G65890 7.964659881295277
AT1G34330 7.954564229513808
AT2G14247 7.936296481274264
AT1G34047 7.935353414744205
AT4G11040 7.932072899331526
AT4G27150 7.884578781523845
AT2G47780 7.8681085372373865
AT4G11310 7.865245078375762
AT1G19630 7.855918797051899
AT5G19470 7.83785439678233
AT5G10120 7.807645652499041
AT3G29590 7.770177948066409
AT5G37980 7.721117856235345
AT5G38020 7.714756272693312
AT1G28640 7.710471592591316
AT4G27170 7.704642080887097
AT4G13770 7.6965924316797825
AT5G59320 7.677480701669837
AT1G43780 7.675200061714904
AT2G37870 7.67354989450542
AT5G17220 7.652820021803911
AT3G61040 7.642993132419545
AT1G65860 7.63868110698399
AT5G42800 7.635932592070975
AT3G13130 7.622169869978272
AT1G48660 7.592492716728032
AT1G48470 7.571044192336877
AT5G35870 7.5710105045946605
AT2G33070 7.568157518381357
AT3G56350 7.517961369039536
AT1G48130 7.515120674136502
AT2G14230 7.4772730868829935
AT2G02840 7.450959369723845
AT5G18450 7.425345201606542
AT3G14880 7.425159170308449
AT5G51760 7.412861825641347
AT1G78370 7.404926527046035
AT4G21760 7.389202257041012
