"","gene","symbol","Description","Entrez"
"1","AT5G52760","AT5G52760","Copper transport protein family(AT5G52760)",835353
"2","AT3G13100","ABCC7","multidrug resistance-associated protein 7(ABCC7)",820498
"3","AT3G25882","NIMIN-2","NIM1-interacting 2(NIMIN-2)",822184
"4","AT1G60590","AT1G60590","Pectin lyase-like superfamily protein(AT1G60590)",842353
"5","AT4G00390","AT4G00390","DNA-binding storekeeper protein-related transcriptional regulator(AT4G00390)",828200
"6","AT3G07970","QRT2","Pectin lyase-like superfamily protein(QRT2)",819988
"7","AT3G06760","DI19-4","Drought-responsive family protein(AT3G06760)",819861
"8","AT5G43430","ETFB","electron transfer flavoprotein beta(ETFBETA)",834363
"9","AT3G28007","SWEET4","Nodulin MtN3 family protein(SWEET4)",822424
"10","AT1G69510","AT1G69510","cAMP-regulated phosphoprotein 19-related protein(AT1G69510)",843284
"11","AT4G18930","AT4G18930","RNA ligase/cyclic nucleotide phosphodiesterase family protein(AT4G18930)",827628
"12","AT2G39780","RNS2","ribonuclease 2(RNS2)",818563
"13","AT2G36460","AT2G36460","Aldolase superfamily protein(FBA6)",818220
"14","AT1G23490","ARF2-A","ADP-ribosylation factor 1(ARF1)",838957
"15","AT3G53340","NFYB10","nuclear factor Y, subunit B10(NF-YB10)",824502
"16","AT3G27270","AT3G27270","TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein(AT3G27270)",822346
"17","AT2G17660","AT2G17660","RPM1-interacting protein 4 (RIN4) family protein(AT2G17660)",816273
"18","AT5G50720","HVA22E","HVA22 homologue E(HVA22E)",835144
"19","AT1G09815","POLD4","polymerase delta 4(POLD4)",837513
"20","AT5G64905","PEP3","elicitor peptide 3 precursor(PROPEP3)",836614
"21","AT5G20700","AT5G20700","senescence-associated family protein, putative (DUF581)(AT5G20700)",832193
"22","AT5G55180","AT5G55180","O-Glycosyl hydrolases family 17 protein(AT5G55180)",835611
"23","AT2G20110","TCX6","Tesmin/TSO1-like CXC domain-containing protein(AT2G20110)",816530
"24","AT1G08830","CSD1","copper/zinc superoxide dismutase 1(CSD1)",837405
"25","AT1G50670","AT1G50670","OTU-like cysteine protease family protein(AT1G50670)",841489
"26","AT1G29000","AT1G29000","Heavy metal transport/detoxification superfamily protein(AT1G29000)",839774
"27","AT5G41860","AT5G41860","transmembrane protein(AT5G41860)",834191
"28","AT5G51740","AT5G51740","Peptidase family M48 family protein(AT5G51740)",835248
"29","AT1G52565","AT1G52565","cytochrome P450 family protein(AT1G52565)",841688
"30","AT1G77510","PDIL1-2","PDI-like 1-2(PDIL1-2)",844087
"31","AT2G34650","PID","Protein kinase superfamily protein(PID)",818030
"32","AT1G11210","AT1G11210","cotton fiber protein, putative (DUF761)(AT1G11210)",837662
"33","AT3G17790","PAP17","purple acid phosphatase 17(PAP17)",821047
"34","AT4G05050","UBQ11","ubiquitin 11(UBQ11)",825847
"35","AT5G50460","SEC61G2","secE/sec61-gamma protein transport protein(AT5G50460)",835114
"36","AT2G23120","AT2G23120","Late embryogenesis abundant protein, group 6(AT2G23120)",816844
"37","AT2G39725","AT2G39725","LYR family of Fe/S cluster biogenesis protein(AT2G39725)",818557
"38","AT3G04530","PPCK2","phosphoenolpyruvate carboxylase kinase 2(PPCK2)",819609
"39","AT1G27770","ACA1","autoinhibited Ca2+-ATPase 1(ACA1)",839670
"40","AT2G02390","GSTZ1","glutathione S-transferase zeta 1(GSTZ1)",814770
"41","AT1G51760","ILL4","peptidase M20/M25/M40 family protein(IAR3)",841602
"42","AT2G38860","DJ1E","Class I glutamine amidotransferase-like superfamily protein(YLS5)",818470
"43","AT3G05970","LACS6","long-chain acyl-CoA synthetase 6(LACS6)",819767
"44","AT5G25540","CID6","CTC-interacting domain 6(CID6)",832629
"45","AT2G17120","LYM2","lysm domain GPI-anchored protein 2 precursor(LYM2)",816217
"46","AT2G03200","AT2G03200","Eukaryotic aspartyl protease family protein(AT2G03200)",814849
"47","AT4G23010","UTR2","UDP-galactose transporter 2(UTR2)",828400
"48","AT4G00240","PLDBETA2","phospholipase D beta 2(PLDBETA2)",826673
"49","AT1G74000","SSL11","strictosidine synthase 3(SS3)",843738
"50","AT5G09520","AT5G09520","hydroxyproline-rich glycoprotein family protein(PELPK2)",830811
"51","AT4G18580","AT4G18580","hypothetical protein(AT4G18580)",827590
"52","AT3G62590","AT3G62590","alpha/beta-Hydrolases superfamily protein(AT3G62590)",825433
"53","AT3G52790","AT3G52790","peptidoglycan-binding LysM domain-containing protein(AT3G52790)",824445
"54","AT5G07820","AT5G07820","Plant calmodulin-binding protein-like protein(AT5G07820)",830675
"55","AT1G02920","GSTF7","glutathione S-transferase 7(GSTF7)",839295
"56","AT1G17290","ALAAT1","alanine aminotransferas(AlaAT1)",838301
"57","AT3G26090","RGS1","REGULATOR OF G-PROTEIN SIGNALING 1(RGS1)",822207
"58","AT4G29810","MKK2","MAP kinase kinase 2(MKK2)",829103
"59","AT4G34180","AT4G34180","Cyclase family protein(AT4G34180)",829566
"60","AT1G09740","AT1G09740","Adenine nucleotide alpha hydrolases-like superfamily protein(AT1G09740)",837502
"61","AT5G11810","AT5G11810","rhomboid family protein(AT5G11810)",831054
"62","AT5G50430","UBC33","ubiquitin-conjugating enzyme 33(UBC33)",835111
"63","AT1G56320","AT1G56320","hypothetical protein(AT1G56320)",842085
"64","AT4G29160","VPS32.2","SNF7 family protein(SNF7.1)",829037
"65","AT5G06260","AT5G06260","TLD-domain containing nucleolar protein(AT5G06260)",830513
"66","AT5G51260","AT5G51260","HAD superfamily, subfamily IIIB acid phosphatase(AT5G51260)",835200
"67","AT2G27600","SKD1","AAA-type ATPase family protein(SKD1)",817306
"68","AT1G68850","PER11","Peroxidase superfamily protein(AT1G68850)",843218
"69","AT2G06530","VPS2.1","SNF7 family protein(VPS2.1)",815211
"70","AT4G26080","ABI1","Protein phosphatase 2C family protein(ABI1)",828714
"71","AT1G78680","GGH2","gamma-glutamyl hydrolase 2(GGH2)",844204
"72","AT4G02380","SAG21","senescence-associated gene 21(SAG21)",828053
"73","AT3G54300","VAMP727","vesicle-associated membrane protein 727(VAMP727)",824597
"74","AT4G35840","NIP1","RING/U-box superfamily protein(AT4G35840)",829738
"75","AT2G17840","ERD7","Senescence/dehydration-associated protein-like protein(ERD7)",816293
"76","AT3G14560","AT3G14560","hypothetical protein(AT3G14560)",820682
"77","AT5G63880","VPS20.1","SNF7 family protein(VPS20.1)",836508
"78","AT3G22370","AOX1A","alternative oxidase 1A(AOX1A)",821806
"79","AT3G28210","SAP12","zinc finger (AN1-like) family protein(PMZ)",822447
"80","AT3G02800","AT3G02800","Tyrosine phosphatase family protein(PFA-DSP3)",821239
"81","AT5G39510","VTI11","Vesicle transport v-SNARE family protein(SGR4)",833947
"82","AT3G03640","BGLU25","beta glucosidase 25(BGLU25)",821201
"83","AT5G42050","AT5G42050","DCD (Development and Cell Death) domain protein(AT5G42050)",834210
"84","AT5G02040","PRA1A1","prenylated RAB acceptor 1.A1(PRA1.A1)",831904
"85","AT1G27330","AT1G27330","Ribosome associated membrane protein RAMP4(AT1G27330)",839622
"86","AT4G24920","SEC61G2","secE/sec61-gamma protein transport protein(AT4G24920)",828594
"87","AT3G55500","EXPA16","expansin A16(EXPA16)",824715
"88","AT2G28700","AGL46","AGAMOUS-like 46(AGL46)",817419
"89","AT4G37290","AT4G37290","transmembrane protein(AT4G37290)",829883
"90","AT2G27389","AT2G27389","hypothetical protein(AT2G27389)",10723092
"91","AT2G32680","AtRLP23","receptor like protein 23(RLP23)",817828
"92","AT2G46270","GBF3","G-box binding factor 3(GBF3)",819235
"93","AT1G68765","IDA","Putative membrane lipoprotein(IDA)",843208
"94","AT3G48920","AtMYB45","myb domain protein 45(MYB45)",824053
