"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019748","BP","GO:0019748","secondary metabolic process","63/1280","363/22026",4.66203615196076e-15,8.55949837499995e-12,7.55740597265218e-12,"TRA2/ATGSTF12/ANS/ATSDI1/BGLU19/FMOGS-OX6/ATNSP2/SCPL15/NSP4/ATGSTU26/ATGSTU28/CER4/ATGSTU14/BGLU22/4CL2/ATBZIP12/AtTudor1/GIS3/CCoAOMT1/ATCHS/FUS3/IGMT5/NA/CYP79A2/AtTudor2/AtGXMT1/ATGSTU6/SCPL19/ATPRR1/AOP3/ATGSTU25/ATGSTU27/AtNIT3/CYP81F3/ATPAL1/AtSAMS3/DF1/DAISY/bHLH093/AtPCBER1/ATSOT16/ATCAD7/4CL3/ATSOT18/IPMI1/FMO/ATGSTU20/ATLEUD1/NA/CYP79B2/FMO/ATMLP-470/FAR5/F6'H1/BRT1/AtTT8/UGT72E2/scpl10/BGLU15/LAC11/scpl1/ATGSTF5/BGLU34",63
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","63/1280","398/22026",3.62026337815755e-13,3.32340178114863e-10,2.93431873808559e-10,"TRA2/TKL2/GAPCP-1/ATFD3/AtVDAC-3/iPGAM1/GAPCP-2/NA/AtFBA3/NA/ATFD4/SDH2-3/AOX2/ACO3/PGD3/G6PD3/TAAC/NA/NA/G6PD5/c-NAD-MDH2/SDH3-2/NA/ATCS/SDH4/SDH6/ATPEPC1/NA/iPGAM2/APL3/NA/ATP5/ATCYTC-A/NA/IDH-V/NA/NA/PFK5/GAPC/AtKIN14h/SDH3-1/NA/IDH-I/SDH1-1/IDH-VI/NA/NA/PGM/PGD2/AtUGP1/CI76/ENO1/NA/PGK/ENO2/AtFBA8/ATHXK1/NA/NA/NA/G6PD2/G6PD6/NDB2",63
"GO:0009060","BP","GO:0009060","aerobic respiration","25/1280","84/22026",5.6854480967578e-12,3.47949423521577e-09,3.07213686631825e-09,"AtVDAC-3/SDH2-3/AOX2/ACO3/NA/c-NAD-MDH2/SDH3-2/ATCS/SDH4/SDH6/ATPEPC1/NA/ATCYTC-A/NA/IDH-V/NA/AtKIN14h/SDH3-1/NA/IDH-I/SDH1-1/IDH-VI/NA/NA/NDB2",25
"GO:0071695","BP","GO:0071695","anatomical structure maturation","40/1280","207/22026",1.54326371298964e-11,5.70438561638228e-09,5.03655191447582e-09,"AtSWEET15/ATPER1/AtCLO1/ATCRA1/ATEM6/SEIPIN1/ATXIB/AtSFH1/ATNCED5/ATCSLB05/NA/ATNCED9/CRC/RHS8/AGP30/RGL2/MRH6/AtPRPL1/ARK1/AtDTX31/MRI/COBL9/ATEXP7/NA/DOG18/CRB/SMP1/CAP1/DROP2/PIP5K3/PIP2;4/AGC1-6/AtRHD6/AAc1/AIP1/ExAD/ATM10/CYP707A1/RSL1/BST1",40
"GO:0021700","BP","GO:0021700","developmental maturation","42/1280","225/22026",1.55348192167274e-11,5.70438561638228e-09,5.03655191447582e-09,"AtSWEET15/ATPER1/AtCLO1/ATCRA1/ATEM6/SEIPIN1/ATXIB/AtSFH1/ATNCED5/ATCSLB05/NA/ATNCED9/CRC/RHS8/AGP30/RGL2/MRH6/AtPRPL1/ARK1/AtDTX31/AFB1/MRI/COBL9/ATEXP7/NA/DOG18/CRB/SMP1/CAP1/DROP2/PIP5K3/PIP2;4/AGC1-6/AtRHD6/AAc1/AIP1/ExAD/ATGPT1/ATM10/CYP707A1/RSL1/BST1",42
"GO:0055086","BP","GO:0055086","nucleobase-containing small molecule metabolic process","57/1280","379/22026",3.93969059443809e-11,1.20554532189805e-08,1.06440763428678e-08,"CER4/DHOASE/GMD1/GAPCP-1/NA/ATRGP1/ATMUM4/NSH2/ATRGP2/ATUXS2/iPGAM1/GAPCP-2/ASE1/NA/NA/NRS/ER/UDG4/AtFBA3/AtMDD1/ATTSO2/AHK4/ATUXS3/ATRHM1/UGD2/APT4/NA/CTPS4/NA/PYR6/NA/MAB1/NA/UXS5/iPGAM2/NA/ATP5/FAR5/PFK5/GAPC/NA/GER2/RGP5/NA/NA/PGM/AtUGP1/ENO1/NA/PGK/ENO2/AtFBA8/ATHXK1/IAR4/NA/UGD3/NA/RGP4",57
"GO:0046034","BP","GO:0046034","ATP metabolic process","31/1280","141/22026",1.01198008417992e-10,2.65427919222047e-08,2.34353282652192e-08,"GAPCP-1/iPGAM1/GAPCP-2/AtVAB2/AtFBA3/SDH2-3/NA/SDH3-2/NA/iPGAM2/NA/ATP5/ATCYTC-A/NA/NA/PFK5/GAPC/SDH3-1/SDH1-1/NA/NA/PGM/CI76/ENO1/NA/PGK/ENO2/AtFBA8/ATHXK1/NA/NA",31
"GO:0010038","BP","GO:0010038","response to metal ion","61/1280","439/22026",2.23093142593582e-10,5.11998762252271e-08,4.5205715736068e-08,"NA/TRA2/AtZIP1/ATHSP23.6-MITO/ALMT1/ATRAB28/GLT1/AtCML8/ATGSTU28/NA/AtTudor1/TKL2/CCoAOMT1/ATCIMS/ATRGP2/iPGAM1/SHM4/RAP2.11/NA/mMDH1/AtFBA3/AtTudor2/PCK1/ATNRAMP4/RAB28/ATZIP9/AtNIT3/ACO3/TBB7/HSC70-5/PGD3/ASP1/NA/LEA26/NA/G6PD5/mtLPD2/AtPCBER1/ATCS/AtGGCT2;1/ATCOX17/ATNAS2/ATDHAR1/NA/NA/iPGAM2/ATMS2/ANN1/ATMSD1/ATCAX3/ATPDI5/AtHsp90-7/GAPC/NA/AtCAM7/NA/TPPJ/ENO2/AtFBA8/NA/PGM3",61
"GO:0006099","BP","GO:0006099","tricarboxylic acid cycle","17/1280","47/22026",4.59744532133618e-10,9.37878845552581e-08,8.28077870743593e-08,"SDH2-3/ACO3/NA/c-NAD-MDH2/SDH3-2/ATCS/SDH4/SDH6/ATPEPC1/NA/IDH-V/SDH3-1/NA/IDH-I/SDH1-1/IDH-VI/NA",17
"GO:0006096","BP","GO:0006096","glycolytic process","18/1280","54/22026",6.65203095265053e-10,1.11028443900603e-07,9.80299298285342e-08,"GAPCP-1/iPGAM1/GAPCP-2/AtFBA3/NA/NA/iPGAM2/NA/PFK5/GAPC/NA/PGM/ENO1/PGK/ENO2/AtFBA8/ATHXK1/NA",18
"GO:0006757","BP","GO:0006757","ATP generation from ADP","18/1280","54/22026",6.65203095265053e-10,1.11028443900603e-07,9.80299298285342e-08,"GAPCP-1/iPGAM1/GAPCP-2/AtFBA3/NA/NA/iPGAM2/NA/PFK5/GAPC/NA/PGM/ENO1/PGK/ENO2/AtFBA8/ATHXK1/NA",18
"GO:0009185","BP","GO:0009185","ribonucleoside diphosphate metabolic process","19/1280","61/22026",8.32648451089752e-10,1.26355411502833e-07,1.11562512162804e-07,"GAPCP-1/iPGAM1/GAPCP-2/AtFBA3/NA/PYR6/NA/iPGAM2/NA/PFK5/GAPC/NA/PGM/ENO1/PGK/ENO2/AtFBA8/ATHXK1/NA",19
"GO:0080167","BP","GO:0080167","response to karrikin","28/1280","128/22026",9.1154700392235e-10,1.26355411502833e-07,1.11562512162804e-07,"ADC2/ATGPT2/AtFAD3/AtCHIL/ATFLS1/BDR7/BGLU4/NA/NA/AtSTS/UGT78D2/NA/DGR2/ATGSTU27/A11/ABCI20/ATPAL1/ALKBH10B/NA/NA/BIC1/ATMSRA2/ELIP/RHA2B/BRT1/AtFBA8/NA/NA",28
"GO:0006090","BP","GO:0006090","pyruvate metabolic process","22/1280","82/22026",9.63494423224214e-10,1.26355411502833e-07,1.11562512162804e-07,"GAPCP-1/iPGAM1/GAPCP-2/AtFBA3/ATNADP-ME1/NA/NA/MAB1/NAD-ME2/iPGAM2/NA/PFK5/GAPC/NA/PGM/ENO1/PGK/ENO2/AtFBA8/ATHXK1/IAR4/NA",22
"GO:0009135","BP","GO:0009135","purine nucleoside diphosphate metabolic process","18/1280","56/22026",1.30390543408111e-09,1.4082178688076e-07,1.24335255014546e-07,"GAPCP-1/iPGAM1/GAPCP-2/AtFBA3/NA/NA/iPGAM2/NA/PFK5/GAPC/NA/PGM/ENO1/PGK/ENO2/AtFBA8/ATHXK1/NA",18
"GO:0009179","BP","GO:0009179","purine ribonucleoside diphosphate metabolic process","18/1280","56/22026",1.30390543408111e-09,1.4082178688076e-07,1.24335255014546e-07,"GAPCP-1/iPGAM1/GAPCP-2/AtFBA3/NA/NA/iPGAM2/NA/PFK5/GAPC/NA/PGM/ENO1/PGK/ENO2/AtFBA8/ATHXK1/NA",18
"GO:0046031","BP","GO:0046031","ADP metabolic process","18/1280","56/22026",1.30390543408111e-09,1.4082178688076e-07,1.24335255014546e-07,"GAPCP-1/iPGAM1/GAPCP-2/AtFBA3/NA/NA/iPGAM2/NA/PFK5/GAPC/NA/PGM/ENO1/PGK/ENO2/AtFBA8/ATHXK1/NA",18
"GO:0009813","BP","GO:0009813","flavonoid biosynthetic process","21/1280","77/22026",1.66523742866817e-09,1.69854217724154e-07,1.49968750885906e-07,"UF3GT/ATGSTF12/NA/ANS/DFR/ATMYB12/UGT89C1/ATMUM4/ATCHS/AtCHIL/ATFLS1/AT5MAT/F3'H/CYP75B1/A11/ATRHM1/BRT1/AtTT8/ATFLS2/ATMYB11/ATMYB111",21
"GO:0071555","BP","GO:0071555","cell wall organization","44/1280","283/22026",2.33502687072481e-09,2.25637333402672e-07,1.99221129136632e-07,"ATEPR1/GDPDL4/RIC1/NA/EXT6/ATXTH21/EXT10/RUBY/ATEXP18/EXT12/NA/PME46/CGR2/AtMSR2/ATHRGP1/NA/RHS12/EXT13/COBL9/ATEXP7/XET/AT-EXP10/ATEXP17/ATPME3/ATEXT3/AT-EXP1/AtPME41/NA/PAE11/NA/TEB/ATEXP8/UGD2/ATSEB1/GAUT8/ATEXP4/AtSWEET13/CYP79B2/AtMAN7/PAE3/AtUGP1/UGD3/TMEM18/MIDD1",44
"GO:0009664","BP","GO:0009664","plant-type cell wall organization","31/1280","160/22026",2.74878845444382e-09,2.52338780117943e-07,2.22796537886499e-07,"ATEPR1/GDPDL4/RIC1/EXT6/EXT10/ATEXP18/EXT12/NA/PME46/CGR2/AtMSR2/ATHRGP1/NA/EXT13/COBL9/ATEXP7/XET/AT-EXP10/ATEXP17/ATEXT3/AT-EXP1/NA/TEB/ATEXP8/UGD2/ATSEB1/GAUT8/ATEXP4/AtMAN7/UGD3/MIDD1",31
"GO:0006165","BP","GO:0006165","nucleoside diphosphate phosphorylation","18/1280","62/22026",8.13704090301638e-09,7.11409861806575e-07,6.2812245567144e-07,"GAPCP-1/iPGAM1/GAPCP-2/AtFBA3/NA/NA/iPGAM2/NA/PFK5/GAPC/NA/PGM/ENO1/PGK/ENO2/AtFBA8/ATHXK1/NA",18
"GO:0009812","BP","GO:0009812","flavonoid metabolic process","22/1280","93/22026",1.24006224310662e-08,9.96608620280705e-07,8.79931931677723e-07,"UF3GT/ATGSTF12/NA/ANS/DFR/ATMYB12/UGT89C1/ATMUM4/ATCHS/AtCHIL/ATFLS1/CYP705A5/AT5MAT/F3'H/CYP75B1/A11/ATRHM1/BRT1/AtTT8/ATFLS2/ATMYB11/ATMYB111",22
"GO:0006006","BP","GO:0006006","glucose metabolic process","15/1280","44/22026",1.24847485111417e-08,9.96608620280705e-07,8.79931931677723e-07,"GAPCP-1/iPGAM1/GAPCP-2/AtFBA3/PCK1/NA/G6PD3/G6PD5/iPGAM2/GAPC/PGK/AtFBA8/NA/G6PD2/G6PD6",15
"GO:0015980","BP","GO:0015980","energy derivation by oxidation of organic compounds","29/1280","153/22026",1.48709266284405e-08,1.1376258870757e-06,1.00443978104379e-06,"AtVDAC-3/SDH2-3/AOX2/ACO3/NA/c-NAD-MDH2/SDH3-2/ATCS/SDH4/SDH6/ATPEPC1/NA/APL3/ATCYTC-A/NA/IDH-V/NA/AtKIN14h/SDH3-1/NA/IDH-I/SDH1-1/IDH-VI/NA/AtUGP1/CI76/NA/NA/NDB2",29
