"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016614","MF","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","41/1299","202/22005",2.69065250449123e-12,1.70587368784744e-09,1.5294235288687e-09,"PGDH/DFR/NA/NA/ATHSD1/NA/ATMUM4/RUBY/NRS/ER/UDG4/mMDH1/ATNADP-ME1/NA/NA/NA/UGD2/ATMFP2/PGD3/G6PD3/G6PD5/c-NAD-MDH2/AtPCBER1/ATCAD7/NA/NAD-ME2/ATGLDH/FLDH/mMDH2/IDH-V/IDH-I/GER2/PMDH1/GOX3/IDH-VI/PGD2/UGD3/G6PD2/G6PD6/NA/NA/NA",41
"GO:0016616","MF","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","36/1299","168/22005",1.1063324753234e-11,3.50707394677517e-09,3.14431335091913e-09,"PGDH/DFR/NA/NA/ATHSD1/NA/ATMUM4/NRS/ER/UDG4/mMDH1/ATNADP-ME1/NA/NA/UGD2/ATMFP2/PGD3/G6PD3/G6PD5/c-NAD-MDH2/AtPCBER1/ATCAD7/NAD-ME2/FLDH/mMDH2/IDH-V/IDH-I/GER2/PMDH1/IDH-VI/PGD2/UGD3/G6PD2/G6PD6/NA/NA/NA",36
"GO:0005507","MF","GO:0005507","copper ion binding","38/1299","193/22005",4.37423866078571e-11,9.24422436979379e-09,8.28803114675187e-09,"AAC2/sks15/AR192/GAPCP-1/ATCIMS/SKS6/AO1/AAC1/mMDH1/sks9/NA/MAT3/sks4/ACO3/ASP1/NA/mtLPD2/ATCOX17/ATDHAR1/MGP1/NA/NA/ATCYTC-A/ATRFNR2/mMDH2/ANN1/ATMSD1/SKS3/ATRFNR1/GAPC/NA/MGE1/ENO2/AtFBA8/NA/mtE2-2/sks16/LAC11",38
"GO:0016762","MF","GO:0016762","xyloglucan:xyloglucosyl transferase activity","14/1299","32/22005",1.00548382208141e-09,1.59369185799903e-07,1.42884543137884e-07,"ATXTH20/ATXTH19/XTH25/ATXTH21/AtXTH13/AtXTH12/ATXTH26/ATXTH14/ATXTH17/XET/XTH7/ATXTH18/XTH8/EXGT-A4",14
"GO:0005199","MF","GO:0005199","structural constituent of cell wall","12/1299","31/22005",8.41241240423022e-08,1.06669389285639e-05,9.56358462796698e-06,"ATEPR1/EXT6/EXT10/EXT12/NA/LRX1/ATHRGP1/NA/EXT13/AT-EXP10/ATEXT3/NA",12
"GO:0046527","MF","GO:0046527","glucosyltransferase activity","30/1299","192/22005",9.91911031166719e-07,8.41226090152783e-05,7.54212333857717e-05,"ATXTH20/NA/ATXTH19/XTH25/ATCSLB05/ATCSLC12/ATXTH21/AtXTH13/ATRGP1/NSH2/AtXTH12/ATXTH26/ATXTH14/ATXTH17/XET/ATSPS3F/XTH7/UGT84A4/NA/NA/UGT78D2/UGT84A1/ATXTH18/XTH8/EXGT-A4/ATSPS2F/ATSPS1F/BRT1/UGT72E2/UGT71C3",30
"GO:0016758","MF","GO:0016758","transferase activity, transferring hexosyl groups","45/1299","354/22005",1.04769187887195e-06,8.41226090152783e-05,7.54212333857717e-05,"ATXTH20/NA/ATXTH19/XTH25/GUX4/ATCSLB05/NA/ATCSLC12/ATXTH21/AtXTH13/ATRGP1/NSH2/GlcAT14A/AtMSR2/AtXTH12/ATXTH26/ATXTH14/ATXTH17/XET/ATSPS3F/XTH7/UGT84A4/NA/NA/AtSTS/UGT78D2/UGT84A1/ATXTH18/RS5/XTH8/ATMGD3/GAUT8/EXGT-A4/ATCSLA09/GlcAT14B/ATSPS2F/ATFUT3/ATSPS1F/BRT1/UGT72E2/GALT6/MAGT1/UGT71C3/ATFT1/NA",45
"GO:0020037","MF","GO:0020037","heme binding","47/1299","377/22005",1.06148402542938e-06,8.41226090152783e-05,7.54212333857717e-05,"NA/CYP71A26/AtCLO1/CYP87A2/CYP705A30/CYP76C7/CYP71A15/RHS18/NA/NA/RHS19/CYP78A6/CYP702A6/NA/CYP79A2/NA/NA/CYP705A5/PER7/CYP96A11/PER57/CYP71B10/CYP96A3/CYP71B14/ATTSPO/CYP75B1/CYP705A2/NA/CYP71A25/NA/CYP81F3/NA/AHB1/AHB2/CYP79B2/ATCYTC-A/ATPLAT1/CYP710A2/CYP71A19/NA/NA/CYP707A1/CYP708/CYP71A16/NA/CYP94D1/CYP705A23",47
"GO:0016829","MF","GO:0016829","lyase activity","43/1299","344/22005",2.8120913990083e-06,0.00019809621633014,0.000177605772568945,"ADC2/ATLUP1/TPS08/RHS14/A37/GMD1/ATMUM4/ACS5/ATUXS2/NA/AtFBA3/AtMDD1/AtsesterTPS1/PCK1/ATNADP-ME1/NA/AtNIT3/FOLB3/ATPAL1/ACO3/ATUXS3/ATRHM1/ATMFP2/ICL/NA/ATBCA3/NA/CER1/CORI3/NA/AtGGCT2;1/IPMI1/ATLEUD1/ATPEPC1/UXS5/E-COAH-2/ENO1/TSB2/ENO2/PLL18/AtFBA8/NA/NA",43
"GO:0046906","MF","GO:0046906","tetrapyrrole binding","47/1299","407/22005",8.7060166205584e-06,0.000551961453743403,0.000494868313168583,"NA/CYP71A26/AtCLO1/CYP87A2/CYP705A30/CYP76C7/CYP71A15/RHS18/NA/NA/RHS19/CYP78A6/CYP702A6/NA/CYP79A2/NA/NA/CYP705A5/PER7/CYP96A11/PER57/CYP71B10/CYP96A3/CYP71B14/ATTSPO/CYP75B1/CYP705A2/NA/CYP71A25/NA/CYP81F3/NA/AHB1/AHB2/CYP79B2/ATCYTC-A/ATPLAT1/CYP710A2/CYP71A19/NA/NA/CYP707A1/CYP708/CYP71A16/NA/CYP94D1/CYP705A23",47
