"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071456","BP","GO:0071456","cellular response to hypoxia","89/1852","239/22026",1.94468260897492e-35,2.64301297993821e-32,2.24200059990903e-32,"NA/ATCAL4/NA/NA/SCL13/AtDMR6/ATPK19/ATTIL/NA/NA/DJC66/AtGILP/ACBP3/UCK3/HHO3/NA/ATGSTF5/AtGDPD1/AtTEM1/AtRAV1/NA/AtGDPD2/STY46/NA/ATRMA3/AtBBE22/AtBBE10/NA/ATPI4K/NA/ATHSPRO2/AtZAT6/NA/ATMBF1C/AT-POX/ATPSK3/NA/AtSTOP1/NA/AtWRKY22/NA/AtPERK9/MAPKKK13/UGT73B3/CBSX5/SAP2/ATPME1/ANAC102/NA/ATOPR1/ANAC002/ATGA2OX2/DREB2/EXL1/AtPP2-A11/EXL2/NA/ATBCB/NA/NA/CML38/BPS3/NA/STZ/DVL10/NA/NA/AtZAT12/NA/cMCU/ATSZF2/NA/(AT)SRC2/NA/AtXTH22/NA/PRP/NA/NA/AthCYSTM6/ATLPP1/HSP17.6II/PER4/NHL3/NA/GAE1/NA/HCR1/ATHSP101",89
"GO:0036294","BP","GO:0036294","cellular response to decreased oxygen levels","89/1852","241/22026",4.1491569543771e-35,2.64301297993821e-32,2.24200059990903e-32,"NA/ATCAL4/NA/NA/SCL13/AtDMR6/ATPK19/ATTIL/NA/NA/DJC66/AtGILP/ACBP3/UCK3/HHO3/NA/ATGSTF5/AtGDPD1/AtTEM1/AtRAV1/NA/AtGDPD2/STY46/NA/ATRMA3/AtBBE22/AtBBE10/NA/ATPI4K/NA/ATHSPRO2/AtZAT6/NA/ATMBF1C/AT-POX/ATPSK3/NA/AtSTOP1/NA/AtWRKY22/NA/AtPERK9/MAPKKK13/UGT73B3/CBSX5/SAP2/ATPME1/ANAC102/NA/ATOPR1/ANAC002/ATGA2OX2/DREB2/EXL1/AtPP2-A11/EXL2/NA/ATBCB/NA/NA/CML38/BPS3/NA/STZ/DVL10/NA/NA/AtZAT12/NA/cMCU/ATSZF2/NA/(AT)SRC2/NA/AtXTH22/NA/PRP/NA/NA/AthCYSTM6/ATLPP1/HSP17.6II/PER4/NHL3/NA/GAE1/NA/HCR1/ATHSP101",89
"GO:0071453","BP","GO:0071453","cellular response to oxygen levels","89/1852","241/22026",4.1491569543771e-35,2.64301297993821e-32,2.24200059990903e-32,"NA/ATCAL4/NA/NA/SCL13/AtDMR6/ATPK19/ATTIL/NA/NA/DJC66/AtGILP/ACBP3/UCK3/HHO3/NA/ATGSTF5/AtGDPD1/AtTEM1/AtRAV1/NA/AtGDPD2/STY46/NA/ATRMA3/AtBBE22/AtBBE10/NA/ATPI4K/NA/ATHSPRO2/AtZAT6/NA/ATMBF1C/AT-POX/ATPSK3/NA/AtSTOP1/NA/AtWRKY22/NA/AtPERK9/MAPKKK13/UGT73B3/CBSX5/SAP2/ATPME1/ANAC102/NA/ATOPR1/ANAC002/ATGA2OX2/DREB2/EXL1/AtPP2-A11/EXL2/NA/ATBCB/NA/NA/CML38/BPS3/NA/STZ/DVL10/NA/NA/AtZAT12/NA/cMCU/ATSZF2/NA/(AT)SRC2/NA/AtXTH22/NA/PRP/NA/NA/AthCYSTM6/ATLPP1/HSP17.6II/PER4/NHL3/NA/GAE1/NA/HCR1/ATHSP101",89
"GO:0001666","BP","GO:0001666","response to hypoxia","93/1852","266/22026",2.03530885165857e-34,9.72368803879882e-32,8.24835692514263e-32,"NA/ATCAL4/NA/NA/SCL13/AtDMR6/ATPK19/ATTIL/NA/NA/DJC66/AtGILP/ACBP3/UCK3/HHO3/LSD1/NA/ATGSTF5/AtGDPD1/AtTEM1/AtRAV1/NA/AtGDPD2/STY46/NA/ATRMA3/AtBBE22/AtBBE10/NA/ATPI4K/NA/ATHSPRO2/AtZAT6/NA/ATMBF1C/AT-POX/ATPSK3/NA/AtSTOP1/NA/AtWRKY22/NA/AtPERK9/MAPKKK13/UGT73B3/CBSX5/SAP2/ATPME1/ANAC102/NA/ATOPR1/ANAC002/ATGA2OX2/DREB2/EXL1/AtPP2-A11/EXL2/NA/ATBCB/NA/NA/CML38/BPS3/NA/STZ/DVL10/NA/NA/AtZAT12/NA/cMCU/ATSZF2/NA/(AT)SRC2/NA/AtXTH22/NA/PRP/NA/NA/AthCYSTM6/ACBP2/ATLPP1/HSP17.6II/PER4/NHL3/NA/GAE1/NA/HCR1/VIN3/ATHSP101/AGR",93
"GO:0036293","BP","GO:0036293","response to decreased oxygen levels","93/1852","270/22026",7.99516689959106e-34,3.0557527890237e-31,2.592117268499e-31,"NA/ATCAL4/NA/NA/SCL13/AtDMR6/ATPK19/ATTIL/NA/NA/DJC66/AtGILP/ACBP3/UCK3/HHO3/LSD1/NA/ATGSTF5/AtGDPD1/AtTEM1/AtRAV1/NA/AtGDPD2/STY46/NA/ATRMA3/AtBBE22/AtBBE10/NA/ATPI4K/NA/ATHSPRO2/AtZAT6/NA/ATMBF1C/AT-POX/ATPSK3/NA/AtSTOP1/NA/AtWRKY22/NA/AtPERK9/MAPKKK13/UGT73B3/CBSX5/SAP2/ATPME1/ANAC102/NA/ATOPR1/ANAC002/ATGA2OX2/DREB2/EXL1/AtPP2-A11/EXL2/NA/ATBCB/NA/NA/CML38/BPS3/NA/STZ/DVL10/NA/NA/AtZAT12/NA/cMCU/ATSZF2/NA/(AT)SRC2/NA/AtXTH22/NA/PRP/NA/NA/AthCYSTM6/ACBP2/ATLPP1/HSP17.6II/PER4/NHL3/NA/GAE1/NA/HCR1/VIN3/ATHSP101/AGR",93
"GO:0070482","BP","GO:0070482","response to oxygen levels","93/1852","271/22026",1.12008495320511e-33,3.56747057595827e-31,3.0261944349752e-31,"NA/ATCAL4/NA/NA/SCL13/AtDMR6/ATPK19/ATTIL/NA/NA/DJC66/AtGILP/ACBP3/UCK3/HHO3/LSD1/NA/ATGSTF5/AtGDPD1/AtTEM1/AtRAV1/NA/AtGDPD2/STY46/NA/ATRMA3/AtBBE22/AtBBE10/NA/ATPI4K/NA/ATHSPRO2/AtZAT6/NA/ATMBF1C/AT-POX/ATPSK3/NA/AtSTOP1/NA/AtWRKY22/NA/AtPERK9/MAPKKK13/UGT73B3/CBSX5/SAP2/ATPME1/ANAC102/NA/ATOPR1/ANAC002/ATGA2OX2/DREB2/EXL1/AtPP2-A11/EXL2/NA/ATBCB/NA/NA/CML38/BPS3/NA/STZ/DVL10/NA/NA/AtZAT12/NA/cMCU/ATSZF2/NA/(AT)SRC2/NA/AtXTH22/NA/PRP/NA/NA/AthCYSTM6/ACBP2/ATLPP1/HSP17.6II/PER4/NHL3/NA/GAE1/NA/HCR1/VIN3/ATHSP101/AGR",93
"GO:0010200","BP","GO:0010200","response to chitin","50/1852","142/22026",2.96988901663191e-19,8.10779701540511e-17,6.87763772272652e-17,"RHA1B/NA/NA/ATBZIP60/ATWRKY53/SCL13/ATWRKY18/AtWRKY15/AZF2/PUB24/ERD6/AtRLP52/NA/AtERF#100/AtWRKY22/ATWRKY40/ATL6/IOS1/SAUR21/ATWRKY48/ATWRKY6/STOP2/NA/NA/PUB25/AtPUB22/BBX20/STZ/ATCMPG2/ATMYB15/AtRDUF1/AtZAT12/ATL2/ATSZF2/NA/NA/ATMYB44/ZAT11/AtARRE/AtMYB27/ATCMPG1/ATERF6/ATWRKY17/RHA3B/ATWRKY33/ATMYB31/ANAC062/ATWRKY11/AtPUB23/PUB11",50
"GO:0001101","BP","GO:0001101","response to acid chemical","94/1852","440/22026",1.84381619260429e-17,4.40441593008351e-15,3.73615386396133e-15,"ANAC072/ATGLR1.1/AtEWR1/ATGLR1.2/APUM5/ATGLR1.3/AIRP1/UBC32/ANAC019/ATWRKY57/PPRT1/ATTIL/Raf43/ATMYB2/ATBI-1/STMP6/AZF2/RD19/ATCML9/ERD6/ATGRP-3/STMP4/CARK1/AtMAX2/LRK10L1.1/RGLG2/ANAC047/RD21/ATMBF1C/ATPCAP1/PIP1;3/AT-POX/AtNPF5.2/ESL1/ZIFL1/AKR4C8/ATGSTU19/UBC34/ALDH7B4/ATMGL/ATXDH1/Rap2.6L/AtOCT4/AtCOR47/AtOCT5/ATSTP13/AtMYB88/ATCIPK23/VI1/AXR2/ABIG1/ATOCT6/ATCTL1/AtPUB22/RAP2.6/DREB2/AtDTX50/RAP2.4/PDH2/ANAC055/STZ/NA/ATMYB15/AtRDUF1/DREB2/ATMYB44/ATMYB96/AtERF53/ALDH3H1/ATCBL1/NA/ATHB29/ATSUS3/UGT74E2/LTI30/AtBAM1/NA/AtCLO3/ATCOR413-PM1/GORK/ADR1/LDAP3/RD2/ATWRKY33/AtLEA14/ERD14/ATGLR2.5/AtPUB23/ATHH2/DRY2/PIP2;2/AHA1/CSI1/AtSUN3",94
"GO:0009414","BP","GO:0009414","response to water deprivation","88/1852","398/22026",2.12335623319771e-17,4.50859306848981e-15,3.82452467733857e-15,"ANAC072/AtEWR1/APUM5/AIRP1/UBC32/ANAC019/ATWRKY57/PPRT1/ATTIL/Raf43/ATMYB2/ATBI-1/STMP6/AZF2/RD19/ATCML9/ERD6/ATGRP-3/STMP4/CARK1/AtMAX2/LRK10L1.1/RGLG2/RD21/ATMBF1C/ATPCAP1/PIP1;3/AT-POX/ESL1/ZIFL1/AKR4C8/ATGSTU19/UBC34/ALDH7B4/ATMGL/ATXDH1/Rap2.6L/AtOCT4/AtCOR47/AtOCT5/ATSTP13/AtMYB88/ATCIPK23/VI1/AXR2/ABIG1/ATOCT6/ATCTL1/AtPUB22/RAP2.6/DREB2/AtDTX50/RAP2.4/PDH2/ANAC055/STZ/NA/ATMYB15/AtRDUF1/DREB2/ATMYB44/ATMYB96/AtERF53/ALDH3H1/ATCBL1/NA/ATHB29/ATSUS3/UGT74E2/LTI30/AtBAM1/NA/AtCLO3/ATCOR413-PM1/GORK/ADR1/LDAP3/RD2/ATWRKY33/AtLEA14/ERD14/AtPUB23/ATHH2/DRY2/PIP2;2/AHA1/CSI1/AtSUN3",88
"GO:1901698","BP","GO:1901698","response to nitrogen compound","76/1852","317/22026",2.90329651881941e-17,5.54819964746389e-15,4.7063964620862e-15,"DER2.2/RHA1B/ATGLR1.1/AtNPF7.2/ATGLR1.2/ATGLR1.3/AtHrd1B/NA/NA/ATBZIP60/ATWRKY53/SCL13/ATWRKY18/EDA36/AtNIT4/NA/AtWRKY15/AZF2/PUB24/ERD6/BAH1/ATRMA1/AtRLP52/AtNIT2/ATRMA3/NA/AtNPF5.2/AtERF#100/AtWRKY22/ATWRKY40/UBC34/ATL6/IOS1/SAUR21/ATWRKY48/ATWRKY6/AtNPF6.4/STOP2/NA/NA/ATCTL1/PUB25/AtPUB22/BBX20/STZ/ATCMPG2/ATMYB15/AtRDUF1/AtZAT12/ATL2/ATSZF2/NA/NA/ATMYB44/ZAT11/BIP1/ABCG37/AtARRE/AtMYB27/ATCMPG1/ATERF6/ATRBOHC/AHK5/DER1/AtCDC48B/ATWRKY17/RHA3B/ATWRKY33/ATMYB31/ANAC062/ATCIPK8/CYT1/ATWRKY11/ATGLR2.5/AtPUB23/PUB11",76
