"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004842","MF","GO:0004842","ubiquitin-protein transferase activity","74/1865","473/22005",1.89092426331128e-07,6.18517284806039e-05,5.68061796054378e-05,"RGLG4/TEAR1/RHA1B/ATCHIP/NA/AtHrd1B/AIRP1/UBC32/NA/NA/BP80-3;1/XBAT35/NA/RZFP/NA/NA/AtPUB43/BRG3/UBC3/NA/PUB24/NA/LNP2/BAH1/MIEL1/ATPUB17/ATL4/ATRMA1/TEAR2/NA/ATRMR1/RHF2A/RMR2/ORTH4/SKP2A/ATRMA3/NA/RGLG2/AtILP/ATUBC1/AtATL15/NA/ATPUB44/AIRP3/UBC34/NA/ATL6/NA/SAUR21/NA/PUB25/AtPUB22/NA/SINAT5/ATCMPG2/AtRDUF1/AtPUB19/NA/XBAT32/NA/RHA2A/NA/PUB2/RGLG3/AtARRE/ATCMPG1/NA/UBC9/NA/AtSAP9/UBC16/AtPUB23/PUB11/ATUBC24",74
"GO:0071949","MF","GO:0071949","FAD binding","22/1865","76/22005",1.90020671215373e-07,6.18517284806039e-05,5.68061796054378e-05,"AAO3/AtBBE7/ATCKX5/ACX1/AtBBE18/AtBBE22/AtBBE10/AT-POX/AtGulLO2/ATXDH1/ACX2/AtBBE11/AtBBE25/AtBBE21/PDH2/AtGulLO5/GNR1/AtBBE8/AtBBE19/AtBBE28/AtBBE-like/AtBBE16",22
"GO:0019787","MF","GO:0019787","ubiquitin-like protein transferase activity","74/1865","480/22005",3.40470753804826e-07,7.38821535756473e-05,6.785522391619e-05,"RGLG4/TEAR1/RHA1B/ATCHIP/NA/AtHrd1B/AIRP1/UBC32/NA/NA/BP80-3;1/XBAT35/NA/RZFP/NA/NA/AtPUB43/BRG3/UBC3/NA/PUB24/NA/LNP2/BAH1/MIEL1/ATPUB17/ATL4/ATRMA1/TEAR2/NA/ATRMR1/RHF2A/RMR2/ORTH4/SKP2A/ATRMA3/NA/RGLG2/AtILP/ATUBC1/AtATL15/NA/ATPUB44/AIRP3/UBC34/NA/ATL6/NA/SAUR21/NA/PUB25/AtPUB22/NA/SINAT5/ATCMPG2/AtRDUF1/AtPUB19/NA/XBAT32/NA/RHA2A/NA/PUB2/RGLG3/AtARRE/ATCMPG1/NA/UBC9/NA/AtSAP9/UBC16/AtPUB23/PUB11/ATUBC24",74
"GO:0080043","MF","GO:0080043","quercetin 3-O-glucosyltransferase activity","19/1865","64/22005",8.3534085176365e-07,0.000112733046401469,0.000103536858850407,"UGT84A3/UGT73B1/IAGLU/UGT1/NA/UGT76E2/UGT71C2/UGT76B1/ATUGT85A1/NA/UGT73B3/UGT73B5/AtUGT85A7/UGT74E2/UGT89B1/UGT71D1/AtUGT85A2/UGT73B4/NA",19
"GO:0008194","MF","GO:0008194","UDP-glycosyltransferase activity","49/1865","280/22005",8.65845210456751e-07,0.000112733046401469,0.000103536858850407,"UGT89A2/UGT84A3/UGT87A2/UGT73B1/IAGLU/UGT1/UGT73B2/NA/NA/NA/NA/FRA8/UGT76E2/UGT71C2/RGXT2/UGT76B1/ATUGT85A1/NA/UGT73B3/NA/UGT73B5/ATCSLE1/ATXT1/NA/NA/ATCSLB03/AtUGT85A7/GATL4/NA/NA/NA/GCS/ATSUS3/ATCSLD2/UGT74E2/UGT89B1/IPUT1/NA/GATL2/UGT71D1/GATL10/ATGATL1/AtUGT85A2/UGT73B4/DGD2/NA/ANY1/ATCESA3/CESA6",49
"GO:0080044","MF","GO:0080044","quercetin 7-O-glucosyltransferase activity","17/1865","55/22005",1.68064275528622e-06,0.000182349738948555,0.000167474576316241,"UGT84A3/UGT73B1/IAGLU/UGT1/UGT73B2/NA/UGT76E2/UGT71C2/UGT76B1/ATUGT85A1/NA/AtUGT85A7/UGT74E2/UGT89B1/AtUGT85A2/UGT73B4/NA",17
"GO:0046527","MF","GO:0046527","glucosyltransferase activity","36/1865","192/22005",4.79062117180025e-06,0.00037995566619933,0.000348960818823219,"UGT89A2/UGT84A3/UGT73B1/IAGLU/UGT1/UGT73B2/NA/UGT76E2/UGT71C2/ATCSLA14/UGT76B1/ATUGT85A1/NA/UGT73B3/XTH30/UGT73B5/ATCSLE1/ATCSLB03/AtUGT85A7/MERI-5/AtXTH22/GCS/ATSUS3/XTH23/ATCSLD2/ATCSLC04/UGT74E2/UGT89B1/UGT71D1/AtUGT85A2/UGT73B4/NA/ANY1/ATCESA3/CESA6/ATCSLC06",36
"GO:0016684","MF","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","26/1865","118/22005",4.92988750415004e-06,0.00037995566619933,0.000348960818823219,"APX1/ATGPX5/TPX2/AtPRX71/NA/NA/Prx47/NA/ATPAP26/NA/CAT1/ATPCB/NA/PLAT2/PER64/NA/NA/PER4/PRX72/ATPA2/NA/AtCLO3/NA/PRX52/NA/ATGPX2",26
"GO:0015171","MF","GO:0015171","amino acid transmembrane transporter activity","20/1865","78/22005",5.40184723357329e-06,0.00037995566619933,0.000348960818823219,"LHT7/AAP3/NA/NA/ATCAT6/PUT5/NA/AtCAT2/AAT1/PUT1/NA/NA/At4g38250/NA/NA/ATMBAC2/AtAUX1/NA/AAP5/NA",20
"GO:0004601","MF","GO:0004601","peroxidase activity","25/1865","112/22005",5.83649256834609e-06,0.00037995566619933,0.000348960818823219,"APX1/ATGPX5/TPX2/AtPRX71/NA/NA/Prx47/NA/ATPAP26/NA/CAT1/ATPCB/NA/PLAT2/PER64/NA/NA/PER4/PRX72/ATPA2/NA/NA/PRX52/NA/ATGPX2",25
"GO:0035251","MF","GO:0035251","UDP-glucosyltransferase activity","29/1865","144/22005",9.44830082277596e-06,0.00055916762142065,0.000513553575821698,"UGT89A2/UGT84A3/UGT73B1/IAGLU/UGT1/UGT73B2/NA/UGT76E2/UGT71C2/UGT76B1/ATUGT85A1/NA/UGT73B3/UGT73B5/ATCSLE1/ATCSLB03/AtUGT85A7/GCS/ATSUS3/ATCSLD2/UGT74E2/UGT89B1/UGT71D1/AtUGT85A2/UGT73B4/NA/ANY1/ATCESA3/CESA6",29
"GO:0020037","MF","GO:0020037","heme binding","56/1865","377/22005",2.63764796685668e-05,0.00143092402201975,0.00131419653085491,"CYP72A8/CYP71B23/CYP94B3/NA/CYP710A1/APX1/CYP706A4/CBB3/ATHO1/CYP71A20/CYP81D4/CYP94B1/ATHSPRO2/NA/CYP71B29/AtPRX71/CYP89A6/CYP714A1/CYP709B2/CYP81F1/AtDWF4/CYP81D7/NA/NA/CYP72A7/Prx47/CYP89A5/ROT3/NA/NA/AtHBP2/CYP81G1/CYP81D11/CAT1/CYP76C2/CYP707A4/CYP706A2/ATPCB/CYP705A22/CYP718/GNR1/ATC4H/NA/PLAT2/PER64/NA/PER4/PRX72/ATPA2/NA/CYP71A24/NA/NA/BR6OX2/CYP705A19/PRX52",56
"GO:0016209","MF","GO:0016209","antioxidant activity","27/1865","139/22005",3.7089566147992e-05,0.00185733135094945,0.00170581972243397,"NA/APX1/ATGPX5/TPX2/AtPRX71/NA/NA/Prx47/NA/ATPAP26/NA/CAT1/ATPCB/GRXC1/NA/PLAT2/PER64/NA/NA/PER4/PRX72/ATPA2/NA/NA/PRX52/NA/ATGPX2",27
"GO:0005342","MF","GO:0005342","organic acid transmembrane transporter activity","24/1865","122/22005",7.95420059516191e-05,0.00345212305830027,0.00317051644775577,"LHT7/AAP3/NA/NA/ATCAT6/AIT1/PUT5/NA/AtCAT2/AAT1/PUT1/ATSDAT/NA/NA/At4g38250/NA/NA/AtDTX50/ATMBAC2/AtFAX1/AtAUX1/NA/AAP5/NA",24
"GO:0046943","MF","GO:0046943","carboxylic acid transmembrane transporter activity","24/1865","122/22005",7.95420059516191e-05,0.00345212305830027,0.00317051644775577,"LHT7/AAP3/NA/NA/ATCAT6/AIT1/PUT5/NA/AtCAT2/AAT1/PUT1/ATSDAT/NA/NA/At4g38250/NA/NA/AtDTX50/ATMBAC2/AtFAX1/AtAUX1/NA/AAP5/NA",24
"GO:0004364","MF","GO:0004364","glutathione transferase activity","15/1865","59/22005",8.76899822451492e-05,0.00356788615259951,0.00327683617863452,"ATGSTU22/ATGSTU16/AT103-1A/ATGSTF5/ATGSTU8/ATGSTU19/ATGSTU7/NA/ATGSTU12/ATGSTU11/ATGSTU24/ATGSTU2/ATGSTU1/ATGSTU3/NA",15
"GO:0047893","MF","GO:0047893","flavonol 3-O-glucosyltransferase activity","6/1865","11/22005",0.000116858904235855,0.00447500862691422,0.00410996022327962,"UGT73B2/UGT73B3/UGT73B5/UGT89B1/UGT71D1/UGT73B4",6
"GO:0046906","MF","GO:0046906","tetrapyrrole binding","56/1865","407/22005",0.000214502874158069,0.00775785394871681,0.00712500774981187,"CYP72A8/CYP71B23/CYP94B3/NA/CYP710A1/APX1/CYP706A4/CBB3/ATHO1/CYP71A20/CYP81D4/CYP94B1/ATHSPRO2/NA/CYP71B29/AtPRX71/CYP89A6/CYP714A1/CYP709B2/CYP81F1/AtDWF4/CYP81D7/NA/NA/CYP72A7/Prx47/CYP89A5/ROT3/NA/NA/AtHBP2/CYP81G1/CYP81D11/CAT1/CYP76C2/CYP707A4/CYP706A2/ATPCB/CYP705A22/CYP718/GNR1/ATC4H/NA/PLAT2/PER64/NA/PER4/PRX72/ATPA2/NA/CYP71A24/NA/NA/BR6OX2/CYP705A19/PRX52",56
"GO:0051213","MF","GO:0051213","dioxygenase activity","22/1865","115/22005",0.000235867112262546,0.00808155210962723,0.0074223002639959,"NA/AtDMR6/JAO4/ETHE1/DIN11/ATFLS5/GAS2/ACO3/AtHGO/JAO2/HPD/GSL-OH/ATCCD8/NA/ATGA2OX2/P4H5/ATGA3OX1/ATNCED2/ATJRG21/ACO5/NA/AT-P4H-1",22
