"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","BP","GO:0042254","ribosome biogenesis","98/1597","372/22026",3.45649405436579e-30,6.6883159951978e-27,5.91242404036253e-27,"ARP1/ATNAF1/SAUR62/AtPEIP1/RPL34/NA/NA/PES/TOZ/NA/NA/NA/NA/NA/NA/NA/PAC/NA/NA/NA/NA/NA/NA/NA/NA/AtTRM4d/RACK1B/NA/RPS28/RPL10/NA/NA/NA/NA/NA/NA/RPS15/EngA-2/NA/ATRH9/ATFIB2/NA/RBL/ERI-1/NA/NA/NA/RPL23A2/ARRS1/NA/AP40/NA/NA/NA/NA/PCP2/ATRPS5B/ATARCA/AtCBF5/EBP2/NA/PCP1/NA/NA/NA/ATL5/RPL16A/NA/NA/AtRH57/AtLa1/atBRX1-2/NA/NA/RPL7B/MEE49/EMB2777/ATNUC-L1/NA/NA/RPL12C/NA/NA/NA/NA/RPL24A/NA/RPL24/OLI7/NA/NA/NA/ATRPL23A/ALBA1/NA/NA/PGY1/NA",98
"GO:0022613","BP","GO:0022613","ribonucleoprotein complex biogenesis","105/1597","449/22026",1.36676417458781e-27,1.32234433891371e-24,1.16894304405537e-24,"ARP1/ATNAF1/SAUR62/AtPEIP1/RPL34/NA/NA/PES/TOZ/NA/NA/NA/NA/NA/NA/NA/PAC/NA/SmD3/NA/PCP-like/SNRNP-G/NA/SmD1a/NA/NA/NA/NA/NA/NA/AtTRM4d/RACK1B/NA/RPS28/RPL10/NA/NA/NA/NA/NA/NA/RPS15/EngA-2/NA/ATRH9/ATFIB2/NA/RBL/ERI-1/NA/NA/NA/RPL23A2/ARRS1/NA/AP40/NA/NA/NA/NA/PCP2/ATRPS5B/ATARCA/AtCBF5/EBP2/NA/PCP1/NA/NA/NA/ATL5/NA/RPL16A/NA/NA/AtRH57/AtLa1/atBRX1-2/NA/NA/RPL7B/Atcoilin/MEE49/EMB2777/ATNUC-L1/NA/NA/RPL12C/NA/NA/NA/NA/RPL24A/NA/RPL24/OLI7/NA/NA/NA/ATRPL23A/ALBA1/NA/NA/PGY1/NA",105
"GO:0042273","BP","GO:0042273","ribosomal large subunit biogenesis","48/1597","108/22026",1.79191257832724e-26,1.15578361302107e-23,1.0217045402743e-23,"ARP1/AtPEIP1/NA/NA/PES/NA/NA/NA/NA/AtTRM4d/NA/RPL10/NA/NA/EngA-2/NA/RBL/NA/RPL23A2/ARRS1/NA/NA/NA/EBP2/NA/NA/ATL5/RPL16A/atBRX1-2/NA/RPL7B/MEE49/NA/NA/RPL12C/NA/NA/NA/NA/RPL24A/NA/RPL24/OLI7/NA/NA/ATRPL23A/PGY1/NA",48
"GO:0042255","BP","GO:0042255","ribosome assembly","35/1597","87/22026",5.61535747026257e-18,2.71642917623952e-15,2.40130418136228e-15,"ARP1/SAUR62/NA/NA/NA/NA/NA/NA/NA/RPS28/RPL10/NA/NA/NA/NA/NA/RPS15/EngA-2/RPL23A2/NA/AP40/NA/NA/ATRPS5B/NA/ATL5/RPL16A/atBRX1-2/RPL12C/NA/RPL24A/RPL24/OLI7/NA/ATRPL23A",35
"GO:0022402","BP","GO:0022402","cell cycle process","91/1597","491/22026",6.68796525290805e-17,2.58824255287541e-14,2.28798811283696e-14,"QWRF7/NA/APC1/ATCSLB06/CYCJ18/SMC6A/ATRAD54/CYCD6;1/FU/GIG1/CYCB2;3/CYCA2;3/PYM/DYAD/CHO/MCM3/ATCDT1A/ATMCM2/ZAR1/MCM5/DDM2/MCM6/ATSERK1/HIT4/ASY2/DAR2/AESP/ATMSH7/ATRMI1/CENH3/MCM7/ATRPS13A/ATTSO1/ATRANGAP1/CDC6b/AUG4/TUBG1/CESA4/ATORC3/NA/QWRF4/CTF18/ATGCP4/MCM4/NA/MAP65-2/CPI1/NA/ICU2/AtTOP3alpha/NA/CYCA2;4/SIN2/SDS/ATCDT1B/ATNACK1/ATEB1C/CDKB1;2/ATK3/CDKB2;2/POK2/NA/NA/KINESIN-12B/CYCB2;4/CYC1BAT/JASON/AtKRP7/UBC20/TRM7/DEL1/CYCD3/SMR113/CDC45/NA/CYCB1;4/RSW7/CYCA1;1/ATMAP65-3/ATK5/ATK1/ASY1/EDE1/ATN/CYC1/FST/NA/CYCB2;1/NA/NA/AtTPX2",91
"GO:0002181","BP","GO:0002181","cytoplasmic translation","31/1597","81/22026",2.33303023157627e-15,7.52402249683347e-13,6.65118267773937e-13,"NA/NA/NA/NA/NA/NA/NA/NA/NA/AP40/NA/NA/PGY2/EMB2296/NA/NA/NA/NA/ATNUC-L1/RPP1.1/NA/NA/NA/NA/NA/NA/NA/RPP1.3/RPP1.2/NA/NA",31
"GO:0070925","BP","GO:0070925","organelle assembly","48/1597","197/22026",5.05227653122454e-14,1.3965935839885e-11,1.23457885161502e-11,"ARP1/QWRF7/SAUR62/NA/NA/NA/NA/NA/NA/NA/RPS28/RPL10/NA/NA/NA/NA/NA/RPS15/EngA-2/RPL23A2/NA/AP40/NA/NA/ATRPS5B/AUG4/NA/ATL5/RPL16A/QWRF4/atBRX1-2/ATGCP4/RPL12C/NA/NA/NA/ATEB1C/ATK3/RPL24A/RPL24/OLI7/NA/ATRPL23A/NA/ATK5/ATK1/EDE1/AtTPX2",48
"GO:0000027","BP","GO:0000027","ribosomal large subunit assembly","21/1597","42/22026",1.26027577115615e-13,2.72567293131908e-11,2.4094755954813e-11,"ARP1/NA/NA/NA/NA/RPL10/NA/EngA-2/RPL23A2/NA/NA/ATL5/RPL16A/atBRX1-2/RPL12C/NA/RPL24A/RPL24/OLI7/NA/ATRPL23A",21
"GO:0022618","BP","GO:0022618","ribonucleoprotein complex assembly","42/1597","160/22026",1.26775485177631e-13,2.72567293131908e-11,2.4094755954813e-11,"ARP1/ATNAF1/NA/NA/NA/NA/SmD3/PCP-like/SNRNP-G/SmD1a/NA/NA/NA/NA/RPS28/RPL10/NA/NA/NA/NA/RPS15/EngA-2/RPL23A2/NA/AP40/NA/NA/ATRPS5B/NA/ATL5/NA/RPL16A/atBRX1-2/Atcoilin/ATNUC-L1/RPL12C/NA/RPL24A/RPL24/OLI7/NA/ATRPL23A",42
"GO:0071826","BP","GO:0071826","ribonucleoprotein complex subunit organization","42/1597","163/22026",2.51675403655811e-13,4.86991906073995e-11,4.30497400990203e-11,"ARP1/ATNAF1/NA/NA/NA/NA/SmD3/PCP-like/SNRNP-G/SmD1a/NA/NA/NA/NA/RPS28/RPL10/NA/NA/NA/NA/RPS15/EngA-2/RPL23A2/NA/AP40/NA/NA/ATRPS5B/NA/ATL5/NA/RPL16A/atBRX1-2/Atcoilin/ATNUC-L1/RPL12C/NA/RPL24A/RPL24/OLI7/NA/ATRPL23A",42
