"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome","130/1634","318/22005",2.25574037590921e-63,1.48202142697235e-60,1.3605676162063e-60,"ARP1/RPS3/RPL16/NA/NA/NA/NA/NA/NA/RPS26e/NA/NA/NA/NA/RPS11-BETA/NA/NA/EMB1080/NA/API2/NA/NA/NA/NA/NA/NA/NA/NA/NA/NA/NA/NA/XW6/NA/AtRPS6/NA/RPS28/RPL10/NA/NA/AtP3B/NA/NA/NA/NA/NA/NA/NA/RPL19B/RPS15/ATBBC1/NA/NA/NA/RPL23A2/NA/AP40/RPL4/NA/L18aB/NA/ATRPS13A/NA/NA/PGY2/NA/EMB2296/RPL18/ATRPS5B/SAC56/NA/RPS9M/NA/NA/ATL5/NA/NFD1/RPL16A/NA/NA/NA/RPL7B/NA/NA/NA/DECOY/NA/NA/NA/NA/NA/NA/NA/RPL12C/RPP1.1/NA/NA/NA/NA/NA/HLL/NA/NA/NA/NA/RPL24A/NA/NA/NA/NA/RPL24/NA/EMB2167/NA/emb2386/NA/NA/RPL27A/ATRPL23A/NA/NA/NA/RPP1.3/RPP1.2/NA/NA/RPL18C/NA/NA/NA",130
"GO:0005198","MF","GO:0005198","structural molecule activity","137/1634","442/22005",9.77987065208078e-50,3.21268750920854e-47,2.94940309665384e-47,"ARP1/RPS3/RPL16/ACT11/NA/NA/NA/NA/NA/NA/RPS26e/NA/NA/NA/NA/RPS11-BETA/NA/NA/EMB1080/NA/API2/NA/NA/NA/NA/NA/NA/NA/NA/NA/TUB6/NA/NA/NA/XW6/NA/AtRPS6/NA/RPS28/RPL10/NA/NA/AtP3B/NA/NA/NA/NA/NA/NA/NA/RPL19B/RPS15/ATBBC1/NA/NA/NA/NA/NA/RPL23A2/NA/AP40/RPL4/NA/L18aB/NA/ATRPS13A/NA/NA/PGY2/NA/EMB2296/RPL18/ATRPS5B/SAC56/NA/NA/RPS9M/LRX5/NA/TUBG1/NA/ATL5/NA/NFD1/RPL16A/NA/NA/NA/RPL7B/NA/NA/NA/DECOY/NA/NA/NA/NA/NA/NA/NA/RPL12C/RPP1.1/NA/NA/NA/NA/NA/HLL/NA/NA/NA/NA/RPL24A/NA/NA/NA/NA/RPL24/NA/EMB2167/NA/emb2386/NA/NA/RPL27A/ATRPL23A/NA/NA/NA/RPP1.3/RPP1.2/NA/NA/RPL18C/NA/NA/NA",137
"GO:0019843","MF","GO:0019843","rRNA binding","23/1634","68/22005",2.80839003267323e-10,6.15037417155437e-08,5.64634206569039e-08,"RPL16/NA/NA/NA/PAC/NA/NA/NA/NA/NA/NA/ATRPS13A/PGY2/ATRPS5B/NA/ATL5/NA/NA/RPL12C/HLL/NA/NA/OLI7",23
"GO:0003774","MF","GO:0003774","motor activity","25/1634","84/22005",1.03791095077822e-09,1.70476873665323e-07,1.56506045998927e-07,"ATXIC/ATVIIIB/Kin7.5/NA/ATXIA/NA/NA/NA/NA/ATNACK1/ATK3/POK2/NA/KINESIN-12B/NA/PAKRP2/NA/RSW7/NA/ATK5/ATK1/NA/ZCF125/NA/ATXID",25
"GO:0008017","MF","GO:0008017","microtubule binding","36/1634","162/22005",2.1057685413308e-09,2.76697986330867e-07,2.54022184038431e-07,"QWRF7/Kin7.5/NA/NA/NA/NA/AUG4/NA/QWRF4/ATGCP4/MAP65-2/NA/NA/NA/NA/ATNACK1/ATEB1C/ATK3/POK2/NA/KINESIN-12B/NA/PAKRP2/NA/CORD4/NA/RSW7/NA/ATMAP65-3/ATK5/ATK1/NA/EDE1/ZCF125/NA/AtTPX2",36
"GO:0003777","MF","GO:0003777","microtubule motor activity","21/1634","65/22005",4.29799958087171e-09,3.74561722652829e-07,3.43865844877147e-07,"Kin7.5/NA/NA/NA/NA/NA/ATNACK1/ATK3/POK2/NA/KINESIN-12B/NA/PAKRP2/NA/RSW7/NA/ATK5/ATK1/NA/ZCF125/NA",21
"GO:0030515","MF","GO:0030515","snoRNA binding","13/1634","25/22005",4.4413986862324e-09,3.74561722652829e-07,3.43865844877147e-07,"TOZ/NA/NA/NA/NOP56/NA/NA/ATFIB2/YAO/NA/NA/NA/NA",13
"GO:0015631","MF","GO:0015631","tubulin binding","37/1634","174/22005",4.56087333519427e-09,3.74561722652829e-07,3.43865844877147e-07,"QWRF7/Kin7.5/NA/NA/NA/CHO/NA/AUG4/NA/QWRF4/ATGCP4/MAP65-2/NA/NA/NA/NA/ATNACK1/ATEB1C/ATK3/POK2/NA/KINESIN-12B/NA/PAKRP2/NA/CORD4/NA/RSW7/NA/ATMAP65-3/ATK5/ATK1/NA/EDE1/ZCF125/NA/AtTPX2",37
"GO:0003688","MF","GO:0003688","DNA replication origin binding","10/1634","19/22005",2.45948873742654e-07,1.79542677832137e-05,1.64828894332796e-05,"MCM3/ATMCM2/MCM5/MCM6/MCM7/CDC6b/ATORC3/MCM4/ICU2/CDC45",10
"GO:0008092","MF","GO:0008092","cytoskeletal protein binding","49/1634","308/22005",3.30130784641695e-07,2.16895925509594e-05,1.99120989052307e-05,"QWRF7/ATVLN1/ATXIC/FH10/FH2/FU/ATVIIIB/Kin7.5/NA/FH9/ATXIA/NA/NA/CHO/NA/AUG4/NA/QWRF4/ATGCP4/NET1A/MAP65-2/NA/NA/NA/NA/ATNACK1/ATEB1C/ATK3/POK2/NA/KINESIN-12B/NA/PAKRP2/NA/CORD4/NA/RSW7/NA/ATMAP65-3/ATK5/ATK1/NA/EDE1/ZCF125/MadA1/NA/NA/AtTPX2/ATXID",49
