"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","BP","GO:0015979","photosynthesis","62/593","224/22026",5.37123198335448e-45,6.60661533952601e-42,5.95358660891817e-42,"YCF9/NA/FTRA1/AtCEST/PGK1/GAPA-2/RBCS1A/RBCS3B/PGR5-LIKE/EDA3/ATCYP38/CRR23/cfbp1/TROL/LHCA2*1/NDF5/ATCNFU3/PnsL1/ATBCA1/PnsL3/ATFRO7/PSBQ/CRR3/DEG5/PPD5/PDE329/PPH1/PSBR/AB140/CURT1B/PPD1/NDF6/PSB29/OEC33/PPD6/LPA3/MPH2/ATPD/ATLFNR2/NA/LHCB4.1/PSAG/MSP-1/CRR1/LHCB5/PSBY/LHCB4.2/OE23/PSBW/CRR31/LHCA2/LQY1/STN7/EMB2728/PSAN/ATNSI/AtTLP18.3/FTRA2/DEG1/NA/LHB1B2/LHCB2",62
"GO:0019684","BP","GO:0019684","photosynthesis, light reaction","48/593","147/22026",8.57490317303878e-39,5.27356545141885e-36,4.75230160063675e-36,"YCF9/AtCEST/PGR5-LIKE/EDA3/ATCYP38/CRR23/cfbp1/TROL/LHCA2*1/NDF5/ATCNFU3/PnsL3/ATFRO7/PSBQ/CRR3/DEG5/PDE329/PPH1/PSBR/AB140/CURT1B/PPD1/NDF6/PSB29/OEC33/LPA3/MPH2/ATPD/NA/LHCB4.1/PSAG/MSP-1/CRR1/LHCB5/PSBY/LHCB4.2/OE23/PSBW/CRR31/LHCA2/LQY1/STN7/PSAN/ATNSI/AtTLP18.3/DEG1/LHB1B2/LHCB2",48
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","56/593","398/22026",1.97862181822327e-24,8.11234945471541e-22,7.31048692838282e-22,"YCF9/AtFBA5/AtCEST/PGK1/PGR5-LIKE/EDA3/ATCYP38/CRR23/cfbp1/TROL/LHCA2*1/NDF5/ATCNFU3/FdC1/PnsL3/ATFRO7/PSBQ/CRR3/DEG5/PDE329/PPH1/PSBR/AB140/ADG2/CURT1B/PPD1/NDF6/PSB29/OEC33/LPA3/MPH2/ATPD/NA/LHCB4.1/PSAG/MSP-1/CRR1/LHCB5/PSBY/G6PD1/LHCB4.2/OE23/PSBW/CRR31/LHCA2/LQY1/STN7/EMB2728/PSAN/ATNSI/AtTLP18.3/DEG1/PIFI/LHB1B2/LHCB2/NA",56
"GO:0009767","BP","GO:0009767","photosynthetic electron transport chain","19/593","59/22026",5.736998841147e-16,1.7641271436527e-13,1.58975257361258e-13,"PGR5-LIKE/CRR23/cfbp1/TROL/NDF5/PnsL3/ATFRO7/PSBQ/CRR3/PPH1/CURT1B/NDF6/OEC33/ATPD/PSAG/MSP-1/PSBY/CRR31/PSAN",19
"GO:0009657","BP","GO:0009657","plastid organization","38/593","312/22026",7.90197283045573e-15,1.94388531629211e-12,1.75174260851997e-12,"EMB2279/AtPHOT2/EMB3103/mTERF10/SCY1/EMB3114/AtCEST/PGK1/SGRL/ATSULA/NA/EDA3/RIQ1/ATGLK2/CSP41A/BSF/HCF107/PAB/ANU7/EMB2797/ACSF/APG3/ATCNFU3/CURT1A/PSRP5/GDC1/RNE/SECE1/NA/ATPRFB/CURT1B/PSB29/AtCGL160/FZL/ALB3/ATCOL2/PTAC4/MSL3",38
"GO:0009773","BP","GO:0009773","photosynthetic electron transport in photosystem I","10/593","18/22026",6.68941832730861e-12,1.37133075709827e-09,1.23578201730806e-09,"PGR5-LIKE/CRR23/cfbp1/NDF5/CRR3/CURT1B/NDF6/ATPD/PSAG/PSAN",10
"GO:0022900","BP","GO:0022900","electron transport chain","21/593","125/22026",1.99820778895444e-11,3.51113654344852e-09,3.16407940115643e-09,"PGR5-LIKE/CRR23/cfbp1/TROL/NDF5/FdC1/PnsL3/ATFRO7/PSBQ/CRR3/PPH1/CURT1B/NDF6/OEC33/ATPD/PSAG/MSP-1/PSBY/CRR31/PSAN/PIFI",21
"GO:0009765","BP","GO:0009765","photosynthesis, light harvesting","13/593","42/22026",4.27407030270438e-11,6.57138309040799e-09,5.92183687993121e-09,"LHCA2*1/DEG5/AB140/MPH2/LHCB4.1/LHCB5/LHCB4.2/LHCA2/LQY1/AtTLP18.3/DEG1/LHB1B2/LHCB2",13
"GO:0006779","BP","GO:0006779","porphyrin-containing compound biosynthetic process","16/593","71/22026",5.07033864898014e-11,6.92946282027285e-09,6.24452233611238e-09,"ATFC-II/CHLM/ATGLK2/NA/LIL3:2/ACSF/ATG4/GUN4/NA/AtCLA1/ABAR/CH-42/HEMG1/ATCAO/NTRC/ALB-1V",16
"GO:0033014","BP","GO:0033014","tetrapyrrole biosynthetic process","16/593","74/22026",9.88506226472395e-11,1.21586265856105e-08,1.0956811120794e-08,"ATFC-II/CHLM/ATGLK2/NA/LIL3:2/ACSF/ATG4/GUN4/NA/AtCLA1/ABAR/CH-42/HEMG1/ATCAO/NTRC/ALB-1V",16
