"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043531","MF","GO:0043531","ADP binding","33/620","171/22005",1.65235385803861e-18,6.93988620376217e-16,6.55723583663744e-16,"DM2h/NA/NA/CSA1/RPP7/CHS3/NA/NA/NA/RPS4/RPS5/PGK1/BURNOUT1/HRT/NA/NA/NA/NA/NA/NA/NA/LAZ5/NA/BAL/RPP5/ADR2/NRG1.1/NA/SOC3/NA/NA/NA/RPP4",33
"GO:0050135","MF","GO:0050135","NAD(P)+ nucleosidase activity","20/620","104/22005",1.03054680647512e-11,1.30200687110045e-09,1.23021701855857e-09,"DM2h/NA/CSA1/NA/RPS4/BURNOUT1/NA/NA/NA/NA/NA/LAZ5/NA/BAL/RPP5/ADR2/SOC3/NA/NA/RPP4",20
"GO:0003953","MF","GO:0003953","NAD+ nucleosidase activity","20/620","105/22005",1.24000654390519e-11,1.30200687110045e-09,1.23021701855857e-09,"DM2h/NA/CSA1/NA/RPS4/BURNOUT1/NA/NA/NA/NA/NA/LAZ5/NA/BAL/RPP5/ADR2/SOC3/NA/NA/RPP4",20
"GO:0061809","MF","GO:0061809","NAD+ nucleotidase, cyclic ADP-ribose generating","20/620","105/22005",1.24000654390519e-11,1.30200687110045e-09,1.23021701855857e-09,"DM2h/NA/CSA1/NA/RPS4/BURNOUT1/NA/NA/NA/NA/NA/LAZ5/NA/BAL/RPP5/ADR2/SOC3/NA/NA/RPP4",20
"GO:0016799","MF","GO:0016799","hydrolase activity, hydrolyzing N-glycosyl compounds","22/620","143/22005",9.56217196288675e-11,8.03222444882487e-09,7.58934490528064e-09,"DM2h/NA/CSA1/NA/RPS4/ATLOG1/BURNOUT1/NA/NA/NA/NA/NA/LAZ5/NA/BAL/RPP5/ADR2/SOC3/DML3/NA/NA/RPP4",22
"GO:0003755","MF","GO:0003755","peptidyl-prolyl cis-trans isomerase activity","13/620","61/22005",1.18087370893277e-08,8.26611596252936e-07,7.81034014504654e-07,"NA/ATFKBP13/ATCYP38/FKBP16-2/NA/NA/NA/NA/NA/NA/NA/NA/NA",13
"GO:0016859","MF","GO:0016859","cis-trans isomerase activity","13/620","66/22005",3.23202867960438e-08,1.93921720776263e-06,1.83229295069301e-06,"NA/ATFKBP13/ATCYP38/FKBP16-2/NA/NA/NA/NA/NA/NA/NA/NA/NA",13
"GO:0016168","MF","GO:0016168","chlorophyll binding","8/620","28/22005",7.1681096378296e-07,3.76325755986054e-05,3.55575964929179e-05,"SEP1/AB140/LHCB4.1/LHCB5/LHCB4.2/LHCA2/LHB1B2/LHCB2",8
"GO:0008266","MF","GO:0008266","poly(U) RNA binding","8/620","29/22005",9.65543034016457e-07,4.5058674920768e-05,4.25742367045853e-05,"NA/CSP41A/ATRBP31/CP29/OEC33/ATLFNR2/MSP-1/OE23",8
"GO:0008187","MF","GO:0008187","poly-pyrimidine tract binding","8/620","33/22005",2.82750620626234e-06,0.000118755260663018,0.000112207351553779,"NA/CSP41A/ATRBP31/CP29/OEC33/ATLFNR2/MSP-1/OE23",8
"GO:0003727","MF","GO:0003727","single-stranded RNA binding","10/620","76/22005",5.25290119998787e-05,0.00200565318544991,0.00189506579176596,"NA/CSP41A/HCF107/ATRBP31/CP29/OEC33/ATLFNR2/MSP-1/OE23/ATCTH",10
"GO:0016853","MF","GO:0016853","isomerase activity","19/620","262/22005",0.000173401758241773,0.00606906153846204,0.00573442656641652,"NA/ATFKBP13/ATCYP38/NA/NDF5/FKBP16-2/NA/NA/NA/NA/NA/NA/NA/NA/LQY1/EMB2728/NA/NA/NA",19
