"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","BP","GO:0015979","photosynthesis","114/3835","224/22026",1.46636705875195e-30,3.39317337395201e-27,2.66724450265618e-27,"ATKEA1/LPA1/LPA19/GAPA-2/PnsL2/NDF1/HCF173/LHCA2*1/AB180/AB165/PRK/OHP2/GAPB/Lhca5/FTSH1/NA/ZKT/ATFD2/ATGPT2/NDF2/RPOD1/RBCS1A/CSK/STN7/CRR23/LIL8/LQY1/NA/AtLHCB7/ATPDI6/LHCB2/LHCB2/AtPGR5/SEP2/NA/PSBP-2/FTSH2/PnsL1/LHCB4.3/ATFER4/PnsL3/ATCYP38/ATBCA1/DEG7/EMB3119/ATAB2/PGK1/ADS3/NDF4/GAPA/LHCB2/LPE1/SIG3/cfbp1/PPL1/SBPASE/PPD6/AtTKL1/CP12/NA/NA/TROL/AGY1/AT-RSH1/PETC/MEE51/ATPC1/ATKEA3/PGR5-LIKE/ATCNFU3/NARA5/FAD6/ABC1K1/HCF244/LTO1/TAAC/ATFER1/STN8/OHP/ATHMA8/FTRA1/ATSIG5/AMOS1/RBCS3B/FTSH5/AtCEST/NA/ATFRO7/LHCB3/ABI2/NA/EMB2728/PSBA/PSBI/PSBD/PSBC/YCF9/PSAB/PSAA/YCF3/NDHC/YCF4/PETA/PSBE/PSBB/PSBH/PETB/PETD/NDHF/PSAC/NDHG/NDHI/NDHA/NDHH",114
"GO:0009415","BP","GO:0009415","response to water","158/3835","408/22026",6.45634320532067e-25,7.04699060279871e-22,5.53937122396223e-22,"AtLEA14/PIP1;3/CER1/ATCSLD5/AtLEA3/ATGST1/UGT74E2/ATCTL1/ATEXO70B2/ERD6/CRB/ABCG40/AtAVP1/ATOCT6/ERD10/RAP2.4/AtSUN3/AHK3/COR413-TM1/AtLrgB/AtLEA4-1/AT-GTL1/ANN1/TG/RAP2.6/ATPER1/ABA2/ATBG1/ANAC019/ATDI19/AtGolS2/SLAH1/BDG1/STMP3/STMP4/STMP6/LDAP1/ATHPR1/ATHVA22A/ATCDSP32/ERD14/ADH/AtWIND1/AtOCT5/ABC1K3/LHCB2/LHCB2/AtPGR5/AtCAPE9/ERD7/LEA/ATHB6/HIS4/ATLAC2/ATGSTF10/YUC7/AtCLO3/AtLEA4-2/AtPUB23/AKR4C9/DREB19/ATWRKY33/AtLtpI-5/ATP5CS/ATWRKY54/ATCYSA/BHLH100/AtREM4.2/AtCOR15A/AtMAX2/ATGPX3/ATHH2/ATWRKY46/ATHB-7/AtGolS1/ATMYB2/LDAP2/CLI1/ABR/EGR1/ATBPM2/AtLtpI-6/AHG3/ATCYS6/ATNCED3/ANAC055/AtTCTP1/ARR1/ATGRP-5/ATMYB15/FMA/CYP71B15/LHCB2/AFL1/PHS1/AT-POX/ATLOX2/XERO1/ATCML9/AtPUB22/AtPIP2;1/ATWRKY70/AtREM4.1/ATPIP1/EDL3/PIP1;4/ATSUS3/AtLEA5/MASP1/MPC2L/ATCRY1/ARCK1/PYR1/ATPCAP1/PIP1;5/NLP7/NA/ATHVA22D/ATCBF3/ATCBF1/ATMEK1/AtTYDC/ATCIPK6/ABC1K1/LUG/NA/ATPLAT1/ATCIPK14/DREB2/ABCG22/ATMYB29/AtMYB76/MYBS2/ATCYS1/KIN1/AtCor6.6/NA/ASUS1/GSM1/ATCHIA/ATRD22/CBP60G/AHK2/PDH2/AATP1/AtCEST/ATBI-1/AAP6/COR78/ABI2/HAI1/AtLtpI-11/LTP3/DEWAX/AAP4/ALX8/XTH6/ATDI8",158
"GO:0009414","BP","GO:0009414","response to water deprivation","155/3835","398/22026",9.13611573396549e-25,7.04699060279871e-22,5.53937122396223e-22,"AtLEA14/PIP1;3/CER1/ATCSLD5/AtLEA3/ATGST1/UGT74E2/ATCTL1/ATEXO70B2/ERD6/CRB/ABCG40/AtAVP1/ATOCT6/ERD10/RAP2.4/AtSUN3/AHK3/COR413-TM1/AtLrgB/AtLEA4-1/AT-GTL1/ANN1/RAP2.6/ATPER1/ABA2/ATBG1/ANAC019/ATDI19/AtGolS2/SLAH1/BDG1/STMP3/STMP4/STMP6/LDAP1/ATHPR1/ATHVA22A/ATCDSP32/ERD14/ADH/AtWIND1/AtOCT5/ABC1K3/LHCB2/LHCB2/AtPGR5/AtCAPE9/ERD7/LEA/ATHB6/HIS4/ATLAC2/ATGSTF10/YUC7/AtCLO3/AtLEA4-2/AtPUB23/AKR4C9/DREB19/ATWRKY33/AtLtpI-5/ATP5CS/ATWRKY54/ATCYSA/BHLH100/AtREM4.2/AtCOR15A/AtMAX2/ATGPX3/ATHH2/ATWRKY46/ATHB-7/AtGolS1/ATMYB2/LDAP2/CLI1/ABR/EGR1/ATBPM2/AtLtpI-6/AHG3/ATCYS6/ATNCED3/ANAC055/AtTCTP1/ARR1/ATMYB15/CYP71B15/LHCB2/AFL1/PHS1/AT-POX/ATLOX2/XERO1/ATCML9/AtPUB22/AtPIP2;1/ATWRKY70/AtREM4.1/ATPIP1/EDL3/PIP1;4/ATSUS3/AtLEA5/MASP1/MPC2L/ATCRY1/ARCK1/PYR1/ATPCAP1/PIP1;5/NLP7/NA/ATHVA22D/ATCBF3/ATCBF1/ATMEK1/AtTYDC/ATCIPK6/ABC1K1/LUG/NA/ATPLAT1/ATCIPK14/DREB2/ABCG22/ATMYB29/AtMYB76/MYBS2/ATCYS1/KIN1/AtCor6.6/NA/ASUS1/GSM1/ATCHIA/ATRD22/CBP60G/AHK2/PDH2/AATP1/AtCEST/ATBI-1/AAP6/COR78/ABI2/HAI1/AtLtpI-11/LTP3/DEWAX/AAP4/ALX8/XTH6/ATDI8",155
"GO:0001101","BP","GO:0001101","response to acid chemical","165/3835","440/22026",3.46217490294854e-24,2.00286818135573e-21,1.57437848218291e-21,"AtLEA14/PIP1;3/CER1/ATCSLD5/AtLEA3/ATGST1/ATGLR3.4/UGT74E2/ATCTL1/ATEXO70B2/ERD6/CRB/ABCG40/AtAVP1/ATOCT6/ERD10/RAP2.4/AtSUN3/AHK3/COR413-TM1/AtLrgB/AtLEA4-1/AT-GTL1/ANN1/TG/RAP2.6/ATPER1/ABA2/ATBG1/ANAC019/ATDI19/AtGolS2/AtFBS1/SLAH1/BDG1/STMP3/STMP4/STMP6/LDAP1/ATHPR1/ATHVA22A/ATCDSP32/ERD14/ADH/AtWIND1/AtOCT5/ABC1K3/LHCB2/LHCB2/AtPGR5/AtCAPE9/ERD7/LEA/ATHB6/HIS4/ATGLR2.9/ATLAC2/ATGSTF10/YUC7/AtCLO3/AtLEA4-2/AtPUB23/AKR4C9/DREB19/ATWRKY33/AtLtpI-5/ATP5CS/ATWRKY54/ATCYSA/BHLH100/AtREM4.2/AtCOR15A/AtMAX2/ATGPX3/ATHH2/ATWRKY46/ATHB-7/AtGolS1/ATMYB2/LDAP2/CLI1/ABR/EGR1/ATBPM2/AtLtpI-6/AHG3/ATCYS6/ATNCED3/ANAC055/AtTCTP1/ARR1/ATGRP-5/ATMYB15/FMA/CYP71B15/LHCB2/AFL1/PHS1/AT-POX/ATLOX2/ATMAPK3/XERO1/ATCML9/AtPUB22/AtPIP2;1/ATWRKY70/AtREM4.1/ATPIP1/EDL3/PIP1;4/ATSUS3/AtLEA5/MASP1/MPC2L/ATCRY1/ARCK1/PYR1/ATPCAP1/PIP1;5/NLP7/NA/ATHVA22D/ATCBF3/ATCBF1/ATMEK1/AtTYDC/ATCIPK6/ABC1K1/LUG/NA/ATPLAT1/ATCIPK14/DREB2/ABCG22/ATMYB29/AtMYB76/MYBS2/ATGLR2.6/ATGLR2.5/ATCYS1/KIN1/AtCor6.6/NA/ASUS1/GSM1/ATCHIA/ATRD22/CBP60G/AHK2/PDH2/AATP1/AtCEST/AtNPF5.2/ATBI-1/AAP6/COR78/ABI2/HAI1/AtLtpI-11/LTP3/DEWAX/AAP4/ALX8/XTH6/ATDI8",165
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","151/3835","398/22026",8.04158435907542e-23,3.7216452413801e-20,2.92544374157522e-20,"LPA1/LPA19/ATFD1/PGL1/PnsL2/NA/NA/NDF1/HCF173/LHCA2*1/NA/NA/ATCYTC-A/APL2/AB180/AB165/AOX1D/PKp3/OHP2/Lhca5/FTSH1/ATHKL1/ATPEPC1/NA/ZKT/ATFD2/NDF2/STN7/CRR23/LIL8/LQY1/AtLHCB7/ADH/ATPDI6/PGM/PGK/RPI2/LHCB2/LHCB2/AtPGR5/IDH-II/AtPNP-A/NA/AtFBA1/APL4/SEP2/PFK5/FTSH2/NA/LHCB4.3/NA/ATPPC2/CSY3/ETFQO/ATCS/SDH8/PnsL3/ATCYP38/DEG7/GAPC/EMB3119/ATAB2/iPGAM2/PGK1/ADS3/NDF4/AOX1A/PKP-ALPHA/NA/G6PD5/LHCB2/PHS1/AtKIN14h/LPE1/SDH7/NA/NA/cfbp1/AtTKL1/NA/TROL/PETC/ATPC1/NDB2/PGR5-LIKE/ATCNFU3/PFK3/AtFBA7/AtFBA5/FAD6/ABC1K1/NA/HCF244/LTO1/AtFBA2/APL3/TAAC/STN8/OHP/NA/PMDH2/NA/TRA2/ATP5/PCO1/AtUGP2/ATHMA8/ATSIG5/PGL5/AMOS1/FTSH5/c-NAD-MDH2/ADH2/NA/AtCEST/NA/ATFRO7/PKP-BETA1/LHCB3/NA/PFK7/ABI2/NA/EMB2728/PSBA/PSBI/ATPF/PSBD/PSBC/YCF9/PSAB/YCF3/NdhK/ATPE/AthCF1beta/YCF4/PETA/PSBE/PSBB/PSBH/PETB/PETD/NDHB.1/NDHF/NDHD/PSAC/NDHE/NDHA/NDHH/NAD9/NAD7",151
"GO:0036294","BP","GO:0036294","cellular response to decreased oxygen levels","106/3835","241/22026",4.61865308598407e-22,1.52679474870959e-19,1.20015526805721e-19,"NA/ARI12/MAPKKK13/AtRAV1/AtNIGT1/NA/NA/FMO1/NA/NA/HHO3/AtTEM1/NA/AtBBE3/AtBBE6/MPSR1/AtBBE10/EXL1/AAD6/NA/ATPME1/UCK3/NA/DRAL/AtFBS1/AtPP2-A11/NA/LDAP1/HHO2/AtRAV2/NA/SAUR78/NA/NA/AtPPsPase1/ATHSP101/CML38/ATOPR1/ADH/NA/ATSERK4/NA/AHB1/ATPUMP5/NA/NA/PLA/AthCYSTM6/NA/DOGT1/ATHSPRO2/CML10/ATWRKY46/AtERF71/HRU1/NA/NA/HCR1/NA/AT-POX/NA/ATHSP17.4/ATPSK3/ATMES10/ATWRKY70/CP12/AtWRKY22/BPS3/WIP3/NA/NA/ACBP3/PFK3/CYP82C2/NA/AtPDC1/UGT73B3/STY46/NA/DREB2/NHL3/PCO1/NA/NA/NA/AAT2/DIN10/NA/ASUS1/AtDMR6/FLOT1/CBP60G/PCO2/AtGDPD2/NRP/NA/AtCML37/NA/NA/ATRBOHD/CYP81F2/NA/SRO5/NA/EXL2/PROPEP3",106
"GO:0071453","BP","GO:0071453","cellular response to oxygen levels","106/3835","241/22026",4.61865308598407e-22,1.52679474870959e-19,1.20015526805721e-19,"NA/ARI12/MAPKKK13/AtRAV1/AtNIGT1/NA/NA/FMO1/NA/NA/HHO3/AtTEM1/NA/AtBBE3/AtBBE6/MPSR1/AtBBE10/EXL1/AAD6/NA/ATPME1/UCK3/NA/DRAL/AtFBS1/AtPP2-A11/NA/LDAP1/HHO2/AtRAV2/NA/SAUR78/NA/NA/AtPPsPase1/ATHSP101/CML38/ATOPR1/ADH/NA/ATSERK4/NA/AHB1/ATPUMP5/NA/NA/PLA/AthCYSTM6/NA/DOGT1/ATHSPRO2/CML10/ATWRKY46/AtERF71/HRU1/NA/NA/HCR1/NA/AT-POX/NA/ATHSP17.4/ATPSK3/ATMES10/ATWRKY70/CP12/AtWRKY22/BPS3/WIP3/NA/NA/ACBP3/PFK3/CYP82C2/NA/AtPDC1/UGT73B3/STY46/NA/DREB2/NHL3/PCO1/NA/NA/NA/AAT2/DIN10/NA/ASUS1/AtDMR6/FLOT1/CBP60G/PCO2/AtGDPD2/NRP/NA/AtCML37/NA/NA/ATRBOHD/CYP81F2/NA/SRO5/NA/EXL2/PROPEP3",106
"GO:0001666","BP","GO:0001666","response to hypoxia","113/3835","266/22026",6.23810834859615e-22,1.80437283983144e-19,1.41834884557555e-19,"NA/ARI12/MAPKKK13/AtRAV1/AtNIGT1/NA/NA/FMO1/NA/NA/AOAT1/HHO3/AtTEM1/NA/AtBBE3/AtBBE6/MPSR1/AtBBE10/EXL1/AAD6/SEU/NA/ATPME1/UCK3/NA/DRAL/AtFBS1/AtPP2-A11/NA/LDAP1/HHO2/AtRAV2/NA/SAUR78/NA/NA/AtPPsPase1/ATHSP101/CML38/ATOPR1/ADH/NA/ATSERK4/NA/AHB1/ATPUMP5/NA/NA/PLA/AthCYSTM6/NA/DOGT1/ATHSPRO2/CML10/ATWRKY46/AtERF71/HRU1/NA/RAP2.2/NA/HCR1/NA/AT-POX/NA/ATHSP17.4/ATEDS1/ATPSK3/ATMES10/ATWRKY70/AtWRKY22/BPS3/WIP3/NA/NA/ACBP3/PFK3/AtFBA7/CYP82C2/NA/LUG/AHb3/AtPDC1/UGT73B3/STY46/NA/DREB2/NHL3/PCO1/NA/NA/NA/AAT2/DIN10/NA/ASUS1/AtDMR6/FLOT1/CBP60G/ACBP5/PCO2/AtGDPD2/NRP/NA/AtCML37/NA/NA/ATRBOHD/CYP81F2/NA/SRO5/NA/EXL2/PROPEP3",113
"GO:0036293","BP","GO:0036293","response to decreased oxygen levels","114/3835","270/22026",7.47211914638035e-22,1.86479149546768e-19,1.46584165226227e-19,"NA/ARI12/MAPKKK13/AtRAV1/AtNIGT1/NA/NA/FMO1/NA/NA/AOAT1/HHO3/AtTEM1/NA/AtBBE3/AtBBE6/MPSR1/AtBBE10/EXL1/AAD6/SEU/NA/ATPME1/UCK3/NA/DRAL/AtFBS1/AtPP2-A11/NA/LDAP1/HHO2/AtRAV2/NA/SAUR78/NA/NA/AtPPsPase1/ATHSP101/CML38/ATOPR1/ADH/NA/ATSERK4/NA/AHB1/ATPUMP5/NA/NA/PLA/AthCYSTM6/NA/DOGT1/ATHSPRO2/CML10/ATWRKY46/AtERF71/HRU1/NA/RAP2.2/NA/HCR1/NA/AT-POX/NA/ATHSP17.4/ATEDS1/ATPSK3/ATMES10/ATWRKY70/CP12/AtWRKY22/BPS3/WIP3/NA/NA/ACBP3/PFK3/AtFBA7/CYP82C2/NA/LUG/AHb3/AtPDC1/UGT73B3/STY46/NA/DREB2/NHL3/PCO1/NA/NA/NA/AAT2/DIN10/NA/ASUS1/AtDMR6/FLOT1/CBP60G/ACBP5/PCO2/AtGDPD2/NRP/NA/AtCML37/NA/NA/ATRBOHD/CYP81F2/NA/SRO5/NA/EXL2/PROPEP3",114
"GO:0071456","BP","GO:0071456","cellular response to hypoxia","105/3835","239/22026",8.05873593546964e-22,1.86479149546768e-19,1.46584165226227e-19,"NA/ARI12/MAPKKK13/AtRAV1/AtNIGT1/NA/NA/FMO1/NA/NA/HHO3/AtTEM1/NA/AtBBE3/AtBBE6/MPSR1/AtBBE10/EXL1/AAD6/NA/ATPME1/UCK3/NA/DRAL/AtFBS1/AtPP2-A11/NA/LDAP1/HHO2/AtRAV2/NA/SAUR78/NA/NA/AtPPsPase1/ATHSP101/CML38/ATOPR1/ADH/NA/ATSERK4/NA/AHB1/ATPUMP5/NA/NA/PLA/AthCYSTM6/NA/DOGT1/ATHSPRO2/CML10/ATWRKY46/AtERF71/HRU1/NA/NA/HCR1/NA/AT-POX/NA/ATHSP17.4/ATPSK3/ATMES10/ATWRKY70/AtWRKY22/BPS3/WIP3/NA/NA/ACBP3/PFK3/CYP82C2/NA/AtPDC1/UGT73B3/STY46/NA/DREB2/NHL3/PCO1/NA/NA/NA/AAT2/DIN10/NA/ASUS1/AtDMR6/FLOT1/CBP60G/PCO2/AtGDPD2/NRP/NA/AtCML37/NA/NA/ATRBOHD/CYP81F2/NA/SRO5/NA/EXL2/PROPEP3",105
