"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046906","MF","GO:0046906","tetrapyrrole binding","131/3920","407/22005",1.08451324367665e-12,8.32906171143664e-10,6.65548653751037e-10,"CYP86A4/CYP87A2/CYP71B2/CYP71B29/CYP78A5/NA/CYP79F2/BUS1/CYP722A1/ATCAT3/ATCYTC-A/AB180/AB165/CYP97A3/CYP76C6/CYP76C5/ATNR2/CYP96A8/CYP708A1/CYP86A7/NA/NA/HO3/ADTO1/AtLHCB7/NA/CYP708A3/LHCB2/LHCB2/CYP705A13/AHB1/NA/SEP2/NA/CYP707A2/CYP71A12/CYP71A13/ATCB5-B/NA/CYP710A2/NA/NA/AtHBP2/NA/NA/ATHSPRO2/LHCB4.3/CYP98A3/AtPRX25/CYP76C1/ATCB5-C/ALPHA-DOX1/CYP77A6/CYP72A11/CYP72A13/CYP72A14/CYP72A15/CYP705A22/CYP71B19/CYP71B26/CYP71B36/CYP71B37/CYP71B15/LHCB2/NA/CYP81D11/BR6OX2/CYP71A26/CYP71A24/CYP71A22/ATPCA/ATPCB/CYP71B5/GUN4/ATT1/NA/CYP706A5/CYP706A6/CYP71A19/CYP83A1/CYP702A2/CYP705A1/CYP702A5/CYP707A1/CYP71A27/PRXR1/CYP706A2/AtCLO1/CYP709B3/ATR4/CYP82C2/AHb3/CAT2/APX5/CYP84A1/NA/CYP81D8/CYP81F4/CYP81F1/CYP96A9/CYP96A11/CYP96A12/ATPLAT1/CBB3/ATPA2/NA/PER57/NA/RHS18/CYP86B1/CYP71B11/CYP71B13/CYP71A16/CYP96A4/CYP81F2/NA/CYP86/ULI3/CYP94B1/NA/AtPRX71/PSBA/PSBI/PSBC/PSAB/PSAA/PETA/PSBE/PSBB/PETB/YCF5",131
"GO:0020037","MF","GO:0020037","heme binding","116/3920","377/22005",4.75982397449741e-10,1.8181108504106e-07,1.45279416911922e-07,"CYP86A4/CYP87A2/CYP71B2/CYP71B29/CYP78A5/NA/CYP79F2/BUS1/CYP722A1/ATCAT3/ATCYTC-A/CYP97A3/CYP76C6/CYP76C5/ATNR2/CYP96A8/CYP708A1/CYP86A7/NA/NA/HO3/ADTO1/NA/CYP708A3/CYP705A13/AHB1/NA/NA/CYP707A2/CYP71A12/CYP71A13/ATCB5-B/NA/CYP710A2/NA/NA/AtHBP2/NA/NA/ATHSPRO2/CYP98A3/AtPRX25/CYP76C1/ATCB5-C/ALPHA-DOX1/CYP77A6/CYP72A11/CYP72A13/CYP72A14/CYP72A15/CYP705A22/CYP71B19/CYP71B26/CYP71B36/CYP71B37/CYP71B15/NA/CYP81D11/BR6OX2/CYP71A26/CYP71A24/CYP71A22/ATPCA/ATPCB/CYP71B5/ATT1/NA/CYP706A5/CYP706A6/CYP71A19/CYP83A1/CYP702A2/CYP705A1/CYP702A5/CYP707A1/CYP71A27/PRXR1/CYP706A2/AtCLO1/CYP709B3/ATR4/CYP82C2/AHb3/CAT2/APX5/CYP84A1/NA/CYP81D8/CYP81F4/CYP81F1/CYP96A9/CYP96A11/CYP96A12/ATPLAT1/CBB3/ATPA2/NA/PER57/NA/RHS18/CYP86B1/CYP71B11/CYP71B13/CYP71A16/CYP96A4/CYP81F2/NA/CYP86/ULI3/CYP94B1/NA/AtPRX71/PETA/PSBE/PETB/YCF5",116
"GO:0016705","MF","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","119/3920","392/22005",7.10199550941642e-10,1.8181108504106e-07,1.45279416911922e-07,"CYP86A4/CER1/ATGA2OX4/YUC9/NA/ADS1/NA/NA/ADS4/NA/FMOGS-OX6/FMO/CYP87A2/CYP71B2/CYP71B29/CYP78A5/CYP79F2/BUS1/FMO1/CYP722A1/CYP97A3/CYP76C6/CYP76C5/AAD6/CYP96A8/CYP708A1/FMO/FMO/FMO/CYP86A7/FMO/NA/HO3/ADTO1/CYP708A3/ATGA3OX2/CYP705A13/CYP707A2/CYP71A12/CYP71A13/YUC7/CYP710A2/GAS2/CYP98A3/AtSSI2/CYP76C1/AAD4/PDE181/AtLCY/CYP77A6/AtFAD7/AtFAD2/S8H/CYP72A11/CYP72A13/CYP72A14/CYP72A15/ADS3/CYP705A22/JMJ30/CYP71B19/CYP71B26/CYP71B36/CYP71B37/CYP71B15/CYP81D11/BR6OX2/CYP71A26/CYP71A24/CYP71A22/CYP71B5/ACSF/ATT1/CYP706A5/CYP706A6/CYP71A19/CYP83A1/CYP702A2/CYP705A1/CYP702A5/CYP707A1/CYP71A27/CYP706A2/ANS/AR1/AT2301/AtCLO1/FAD4/CYP709B3/FAD6/ATR4/CYP82C2/NA/CYP84A1/CYP81D8/CYP81F4/CYP81F1/SQE3/CYP96A9/CYP96A11/CYP96A12/AtFAD8/CBB3/CYP86B1/SQE5/SQE6/AtDMR6/CYP71B11/CYP71B13/CYP716A2/CYP71A16/AT2353/CYP96A4/ATPXG2/CYP81F2/CER3/CYP86/NA/CYP94B1",119
"GO:0016684","MF","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","45/3920","118/22005",1.40574110655508e-07,2.52007316792743e-05,2.01370978193762e-05,"NA/ATCAT3/ANN1/ATPER1/ATGPX8/NA/TPX2/NA/NA/NA/NA/ATGPX1/ATGSTF7/AtCLO3/NA/NA/NA/NA/NA/AtPRX25/ATGPX3/ATPRXIIF/ATACP5/NA/ATCM1/ATPCA/ATPCB/NA/ATGPX6/PRXR1/AtCLO1/ATGPX7/CAT2/APX5/NA/ATPLAT1/ATPA2/NA/PER57/NA/RHS18/ATPXG2/NA/NA/AtPRX71",45
"GO:0004364","MF","GO:0004364","glutathione transferase activity","28/3920","59/22005",1.64067263536942e-07,2.52007316792743e-05,2.01370978193762e-05,"ATGST11/ATGST1/ATGSTF5/ATGSTU24/ATDHAR1/ATGSTF14/ATGSTU16/NA/ATGSTU12/ATGSTU10/ATGSTU22/ATGSTU20/ATGSTZ1/ATGSTF3/ATGSTU7/AT103-1A/ATGSTU4/ATGSTU3/ATGSTF7/ATGSTF10/ATGSTF11/ATGSTF2/GSTL1/GSTL3/ATGSTF12/ATGSTT1/NA/ATGSTU9",28
"GO:0004497","MF","GO:0004497","monooxygenase activity","70/3920","221/22005",3.76014240465358e-07,4.64971060606127e-05,3.7154348729903e-05,"CYP86A4/CER1/YUC9/FMOGS-OX6/FMO/CYP87A2/CYP79F2/BUS1/FMO1/CYP722A1/CYP97A3/CYP708A1/FMO/FMO/FMO/CYP86A7/FMO/ADTO1/CYP708A3/CYP705A13/AtTic55/CYP707A2/YUC7/AtCLO3/CYP98A3/CYP77A6/S8H/CYP72A11/CYP72A13/CYP72A14/CYP72A15/CYP705A22/CYP71B26/CYP71B36/CYP71B37/CYP71B15/CYP81D11/BR6OX2/ACSF/ATT1/CYP83A1/CYP702A2/CYP705A1/CYP702A5/CYP707A1/AR1/B1/AtCLO1/CYP709B3/ATR4/CYP82C2/CYP84A1/CYP81D8/CYP81F4/CYP81F1/SQE3/NA/CBB3/SQE5/SQE6/AtDMR6/NA/CYP716A2/B2/ATPXG2/CYP81F2/CER3/CYP86/NA/CYP94B1",70
"GO:0008509","MF","GO:0008509","anion transmembrane transporter activity","97/3920","337/22005",4.23801747948293e-07,4.64971060606127e-05,3.7154348729903e-05,"UMAMIT28/ATKEA1/ACH1/ACH2/ALMT1/NA/ATNRT2.5/EMB30/ATBOR4/ATNTT2/CAT8/SULTR1;3/NPF5.16/AST91/NA/NA/ABCC1/AtNPF7.3/NA/SIAR1/AtCAT2/ATGPT2/SLAH4/SLAH1/NA/AIT1/AtNPF2.13/NPF5.11/NA/BOR5/ATNHX6/NIP6/MEE65/ATPUMP5/UXT1/ATOEP16-1/CAT5/SAMTL/ATPROT3/UMAMIT14/NA/NA/ABCA1/ATCDF1/AtBOR1/ATNDT1/ATPPT2/ATFRD3/NA/ATGPAT5/SULTR4;2/SULTR3;4/NA/AtNPF6.4/ATPHO1/ORF02/ATCLC-B/NA/NPF2.4/AST12/NA/ATMTP3/ANTR2/UMAMIT29/SULTR3;2/ATKEA3/BASS5/BASS6/AtSWEET14/LHT7/ATCLC-E/At4g38250/TAAC/NA/ATCAT6/AAC2/ZIF1/NA/ER-ANT1/AAP7/NA/AT-NHX1/AtCAT3/AtLHT1/ATCLC-A/APT1/BOU/ATSDAT/AAP6/ATCLC-C/ATNRT3.1/AtSWEET13/APC2/ATGPT1/AAP4/DiT2.2/DCT",97
"GO:0004601","MF","GO:0004601","peroxidase activity","42/3920","112/22005",6.15793863807651e-07,5.91162109255345e-05,4.72378713947185e-05,"NA/ATCAT3/ANN1/ATPER1/ATGPX8/NA/TPX2/NA/NA/NA/NA/ATGPX1/ATGSTF7/NA/NA/NA/NA/NA/AtPRX25/ATGPX3/ATPRXIIF/ATACP5/NA/ATCM1/ATPCA/ATPCB/NA/ATGPX6/PRXR1/ATGPX7/CAT2/APX5/NA/ATPLAT1/ATPA2/NA/PER57/NA/RHS18/NA/NA/AtPRX71",42
"GO:0005506","MF","GO:0005506","iron ion binding","93/3920","325/22005",9.62055060111284e-07,8.20953651294962e-05,6.55997777830267e-05,"CYP86A4/CER1/CYP87A2/CYP71B2/CYP71B29/CYP78A5/ATPAP3/CYP79F2/BUS1/CYP722A1/CYP97A3/CYP76C6/CYP76C5/CYP96A8/NA/CYP708A1/CYP86A7/NA/ADTO1/CYP708A3/CYP705A13/MIOX2/CYP707A2/CYP71A12/CYP71A13/CYP710A2/ATFAH1/ATFER4/CYP98A3/CYP76C1/CYP77A6/CYP72A11/CYP72A13/CYP72A14/CYP72A15/ATACP5/CYP705A22/CYP71B19/CYP71B26/CYP71B36/CYP71B37/CYP71B15/CYP81D11/BR6OX2/AAO2/CYP71A26/CYP71A24/CYP71A22/CYP71B5/ATT1/CYP706A5/CYP706A6/CYP71A19/CYP83A1/CYP702A2/CYP705A1/CYP702A5/CYP707A1/CYP71A27/ATFAH2/CYP706A2/B1/ATCNFU3/MIOX4/CYP709B3/ATR4/CYP82C2/ATXDH2/NA/CYP84A1/CYP81D8/CYP81F4/CYP81F1/CYP96A9/CYP96A11/CYP96A12/ATFER1/CBB3/ENH1/AAO1/CYP86B1/CYP71B11/CYP71B13/CYP71A16/NA/CYP96A4/B2/CYP81F2/CER3/CYP86/CLB4/CYP94B1/PETA",93
"GO:0043295","MF","GO:0043295","glutathione binding","13/3920","19/22005",1.6513040037042e-06,0.000115291043167712,9.21253812592872e-05,"ATGST11/ATGST1/ATGSTF5/ATGSTU24/ATGSTF14/ATGSTU20/ATGSTF3/AT103-1A/ATGSTF7/ATGSTF10/ATGSTF11/ATGSTF2/ATGSTF12",13
