"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","Description","Entrez"
"1","AT1G01060",3356.76585335273,-1.56400422255298,0.0740591625128473,3.40367585125876e-55,7.1920886335616e-53,"LHY","Homeodomain-like superfamily protein(LHY)",839341
"2","AT1G01070",128.739732384272,1.74310830493492,0.225523832829491,7.67832185792284e-10,1.26630777065925e-08,"AT1G01070","nodulin MtN21 /EamA-like transporter family protein(UMAMIT28)",839550
"3","AT1G01120",1434.15058989334,-0.854086987289802,0.111821302916925,4.12975519881771e-05,0.000350429496361491,"KCS1","3-ketoacyl-CoA synthase 1(KCS1)",839395
"4","AT1G01250",26.3423410523678,2.48863600159942,0.553597016894513,2.13814984015837e-05,0.000189518554746022,"ERF023","Integrase-type DNA-binding superfamily protein(AT1G01250)",839322
"5","AT1G01320",9493.01679261062,-1.32606464645906,0.0880825332697831,8.43998833214236e-26,5.25633589127582e-24,"AT1G01320","Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G01320)",839293
"6","AT1G01340",168.445067704462,-1.1221443358885,0.242131233448413,0.00125726111529691,0.00793660750990045,"CNGC10","cyclic nucleotide gated channel 10(CNGC10)",838832
"7","AT1G01430",1720.04668759109,-1.00994446626149,0.0918659209875562,3.15228831234368e-11,5.96816441599404e-10,"TBL25","TRICHOME BIREFRINGENCE-LIKE 25(TBL25)",837247
"8","AT1G01448",416.656815344076,-0.748066028425658,0.128913868565756,0.00538575290615062,0.0290009620652925,"AT1G01448","ncRNA(AT1G01448)",5007657
"9","AT1G01470",2353.25308975101,1.13363321172129,0.13121725844286,1.42840525037336e-08,2.0164016978351e-07,"LEA14","Late embryogenesis abundant protein(LEA14)",837071
"10","AT1G01540",2619.74918963963,-1.02190075472723,0.0701937363245208,1.02826454613588e-18,4.00904592238085e-17,"AT1G01540","Protein kinase superfamily protein(AT1G01540)",839533
"11","AT1G01560",51.7411142815374,3.96114824983117,0.567664120723845,6.45362143833516e-11,1.18304728861069e-09,"MPK11","MAP kinase 11(MPK11)",839523
"12","AT1G01580",94.0181556443191,2.86670937188619,0.39302846174598,4.91280663233901e-11,9.11893974595568e-10,"FRO2","ferric reduction oxidase 2(FRO2)",839411
"13","AT1G01600",175.6452081402,2.80587763536345,0.212926358554146,3.69541445850784e-30,3.00534977921122e-28,"CYP86A4","cytochrome P450, family 86, subfamily A, polypeptide 4(CYP86A4)",839347
"14","AT1G01620",18021.1933710678,-1.19295419845824,0.0927674740003797,1.17604189308661e-17,4.15406081220712e-16,"PIP1-3","plasma membrane intrinsic protein 1C(PIP1C)",839235
"15","AT1G01680",67.5968605962451,4.03461808485889,0.884355323244763,3.14438234341713e-06,3.15451261294234e-05,"PUB54","plant U-box 54(PUB54)",839251
"16","AT1G01700",31.7121411846252,1.46680564696938,0.366975662658909,0.00101316581052357,0.0065280648167304,"ROPGEF2","RHO guanyl-nucleotide exchange factor 2(ROPGEF2)",839250
"17","AT1G01790",2313.09532115924,-1.71361430333421,0.100865203197858,8.43475700720718e-39,1.02895339862147e-36,"KEA1","K+ efflux antiporter 1(KEA1)",837332
"18","AT1G01990",558.818977529666,-0.95926479355032,0.118163589798672,1.70217983553503e-06,1.78089248398638e-05,"AT1G01990","hypothetical protein(AT1G01990)",837456
"19","AT1G02010",388.276647316824,-0.811153412301842,0.128652745705365,0.00108366886498245,0.00692950752733714,"SEC1A","secretory 1A(SEC1A)",839288
"20","AT1G02050",253.657243152382,-0.93485459961965,0.150034838600825,0.000239716744538228,0.00174988787052489,"PKSA","Chalcone and stilbene synthase family protein(LAP6)",839280
"21","AT1G02060",290.488487619057,-0.919331166160367,0.136774724826634,0.000103925466087302,0.000815754587204674,"AT1G02060","Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G02060)",839279
"22","AT1G02205",994.359657007918,2.39699149490664,0.17028664989839,2.76480100267241e-32,2.54598367818075e-30,"CER1","Fatty acid hydroxylase superfamily(CER1)",837602
"23","AT1G02220",285.084967065239,1.09869448524812,0.211128199524438,0.000443075597285366,0.00307863390644611,"NAC003","NAC domain containing protein 3(NAC003)",839476
"24","AT1G02230",27.9025233269722,2.30046424064068,0.849855642642207,0.00276804073816346,0.016048126435418,"NAC004","NAC domain containing protein 4(NAC004)",837630
"25","AT1G02300",582.139468085053,0.962426803730992,0.0930303295611309,1.51955840384921e-09,2.44140320336018e-08,"AT1G02300","Cysteine proteinases superfamily protein(AT1G02300)",839576
"26","AT1G02335",20.7357072355953,1.51525638789709,0.485469691184052,0.00510540591289536,0.027653005700751,"GL22","germin-like protein subfamily 2 member 2 precursor(GL22)",3766642
"27","AT1G02360",391.088330680604,1.42440167829787,0.219888771942584,1.13945332822007e-06,1.23031606307999e-05,"AT1G02360","Chitinase family protein(AT1G02360)",837724
"28","AT1G02390",80.1555101799933,1.19911024514564,0.28378011701128,0.00187816519984325,0.011356325400994,"GPAT2","glycerol-3-phosphate acyltransferase 2(GPAT2)",839558
"29","AT1G02400",112.924050428907,0.907208182281234,0.20877089882782,0.0089587786101574,0.0454585022701512,"GA2OX6","gibberellin 2-oxidase 6(GA2OX6)",839508
"30","AT1G02450",21.5662377222734,5.14953698836993,1.00163115175766,3.00688456693445e-07,3.54210702643458e-06,"NIMIN-1","NIM1-interacting 1(NIMIN1)",837800
"31","AT1G02470",54.5283766046146,3.10719291181492,0.376699586547027,1.11711751683181e-13,2.76545012064242e-12,"AT1G02470","Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G02470)",837812
"32","AT1G02575",6.19185310933071,-4.03021970696882,2.82805400070199,0.00516804053005867,0.0279622421546339,"AT1G02575","transmembrane protein(AT1G02575)",10723100
"33","AT1G02610",253.316876741915,-1.80849704411891,0.18120882173077,2.71791718218409e-15,7.81558056300956e-14,"AT1G02610","RING/FYVE/PHD zinc finger superfamily protein(AT1G02610)",837915
"34","AT1G02620",38.4575378530409,-3.56482517770554,0.417193239684656,5.22114948390904e-15,1.46229258800226e-13,"AT1G02620","Ras-related small GTP-binding family protein(AT1G02620)",839269
"35","AT1G02640",1382.83659838007,-2.59216411733352,0.161520178248339,1.73908805610813e-42,2.50958889852774e-40,"BXL2","beta-xylosidase 2(BXL2)",837940
"36","AT1G02650",36.7481138508659,-2.1021658176873,0.441161458190459,1.96075540158472e-05,0.000174513867370831,"AT1G02650","Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G02650)",837951
"37","AT1G02660",661.643818124302,-1.43486860942566,0.137183883926554,2.1577656338474e-14,5.74417114630287e-13,"AT1G02660","alpha/beta-Hydrolases superfamily protein(AT1G02660)",839544
"38","AT1G02730",887.673048416205,1.39966666152079,0.123728782720229,3.91201559986021e-16,1.2133913654822e-14,"CSLD5","cellulose synthase-like D5(CSLD5)",839467
"39","AT1G02800",73.5528871670807,1.7170584592165,0.326164500971747,1.33228073579447e-05,0.000121268291897353,"CEL2","cellulase 2(CEL2)",839385
"40","AT1G02820",54.1719293975462,-2.09873126489481,0.418441690033195,8.69019928077957e-06,8.14503984867046e-05,"AT1G02820","Late embryogenesis abundant 3 (LEA3) family protein(LEA3)",839304
"41","AT1G02840",3985.79797160658,-0.764792580172558,0.070395868952265,3.10426087418873e-07,3.64773772832922e-06,"SR34","RNA-binding (RRM/RBD/RNP motifs) family protein(SR34)",839262
"42","AT1G02860",483.691315751382,-1.24596609355194,0.114844241705844,1.28785953624116e-13,3.15839210203971e-12,"BAH1","SPX (SYG1/Pho81/XPR1) domain-containing protein(NLA)",839559
"43","AT1G02900",591.550819610796,-1.01071364900847,0.0915769879804225,2.59887630466863e-11,4.98824060229422e-10,"RALF1","rapid alkalinization factor 1(RALF1)",839389
"44","AT1G02910",1069.53580925647,-0.958570799816342,0.11383591962067,7.61630013925938e-07,8.45041533500762e-06,"LPA1","tetratricopeptide repeat (TPR)-containing protein(LPA1)",839350
"45","AT1G02920",2142.07939838808,1.97204623419865,0.295563637353242,2.22975954522353e-08,3.04497919199424e-07,"GSTF7","glutathione S-transferase 7(GSTF7)",839295
"46","AT1G02930",3311.92388237326,3.11175941309584,0.175041704781747,1.16440392122313e-54,2.41726168418127e-52,"GSTF6","glutathione S-transferase 6(GSTF6)",839515
"47","AT1G02940",15.8185925899819,2.57498877463876,0.996402624021965,0.00484908184066253,0.0263873007222625,"GSTF5","glutathione S-transferase (class phi) 5(GSTF5)",839479
"48","AT1G03030",286.6424365408,0.81686686378006,0.152826599826735,0.00462399876948266,0.0253196563809756,"AT1G03030","P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G03030)",839473
"49","AT1G03055",70.0015803217925,-2.71587285931123,0.291189727455763,3.37026073149684e-16,1.04948145357374e-14,"D27","beta-carotene isomerase D27-like protein(D27)",838334
"50","AT1G03090",3453.5637212688,-1.7895609201624,0.12368136779764,1.19325491952616e-29,9.31999040445744e-28,"MCCA","methylcrotonyl-CoA carboxylase alpha chain(MCCA)",838362
"51","AT1G03106",662.233021567027,-2.27657317218969,0.514254808061371,4.05782406034277e-05,0.000344944196164052,"AT1G03106","hypothetical protein(AT1G03106)",2745740
