"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"ath03010","ath03010","Ribosome",319,-0.693957225238682,-2.64696186554358,1e-10,1.15e-08,9.68421052631579e-09,6299,"tags=81%, list=24%, signal=62%","AT4G29390/AT2G04390/AT5G03850/AT3G04230/AT4G31460/AT2G43030/AT3G12370/AT1G29070/AT2G36170/AT3G47370/AT4G09800/AT1G48830/AT5G40040/AT2G44860/AT5G47190/AT3G53890/AT2G05220/AT2G19750/AT5G62300/AT3G13882/AT5G41520/AT3G13120/AT1G70190/AT1G64510/AT5G04800/AT4G34555/AT2G33450/AT1G14320/AT3G06700/AT2G19740/AT1G26910/AT3G17465/AT3G20230/AT3G44010/AT1G26740/AT2G24090/AT1G35680/AT2G09990/AT5G13510/AT1G80750/AT5G27700/AT5G46430/AT2G07675/AT3G60770/AT3G18760/AT5G47930/AT5G64650/AT1G32990/AT5G48760/AT2G37600/AT5G30510/AT3G53870/AT2G21580/AT1G74050/AT2G39390/AT3G25920/AT3G11120/AT1G71720/AT1G41880/AT3G18740/AT5G56670/AT5G46160/AT2G43460/AT5G64140/AT4G25890/AT3G53740/AT3G44890/AT3G59540/AT1G34030/AT3G04770/AT3G52590/AT1G04480/AT1G67430/AT5G02610/AT3G49080/AT5G65220/AT4G34620/AT4G26230/AT3G04400/AT5G23900/AT3G08520/AT1G05190/AT4G15000/AT3G15190/AT3G57490/AT2G39460/AT2G20450/AT3G58700/AT5G18380/AT2G37270/AT5G27770/AT1G48350/AT1G52300/AT5G59850/AT4G36420/AT1G58380/AT4G13170/AT1G33120/AT1G01100/AT3G55280/AT3G53430/AT4G37660/AT1G23290/AT2G33800/AT5G66860/AT3G11510/AT3G11250/AT1G07770/AT1G02780/AT1G77750/AT5G09510/AT2G20060/AT5G67510/AT4G23620/AT2G17360/AT3G46040/AT1G78630/AT1G26880/AT5G56710/AT2G27720/AT4G14320/AT2G34480/AT1G33140/AT3G23390/AT5G57290/AT4G29410/AT1G08360/AT3G02560/AT5G64670/AT3G16080/AT4G01310/AT3G22230/AT3G06040/AT1G74060/AT2G19730/AT1G07070/AT1G69620/AT1G57860/AT2G27530/AT4G34670/AT3G51190/AT3G09630/AT3G60245/AT4G27090/AT1G04270/AT3G16780/AT3G04840/AT2G36620/AT3G62870/AT5G02960/AT5G39740/AT3G05590/AT4G28360/AT5G27850/AT4G39200/AT3G06680/AT3G24830/AT2G25210/AT4G16720/AT4G30930/AT5G35530/AT2G47610/AT5G52650/AT4G10450/AT4G31700/AT3G55750/AT2G44120/AT3G53020/AT3G02080/AT5G20290/AT5G10360/AT5G15200/AT2G31610/AT3G11940/AT4G18730/AT4G18100/AT3G52580/AT3G49010/AT3G05560/AT2G36160/AT3G62250/AT3G01790/AT1G18540/AT2G27710/AT4G00100/AT2G01250/AT5G28060/AT3G27850/AT1G09590/AT5G02870/AT1G74970/AT2G32060/AT2G18400/AT1G72370/AT5G02450/AT2G47110/AT3G13580/AT5G09770/AT3G25520/AT5G07090/AT5G58420/AT1G77940/AT3G07110/AT3G28900/AT1G43170/AT1G22780/AT5G61170/AT1G27400/AT3G04920/AT1G57660/AT1G64880/AT3G49910/AT4G17560/AT5G45775/AT1G15930/AT4G17390/AT3G09500/AT3G10610/AT3G56340/AT1G07320/AT2G18020/AT4G36130/AT1G59359/AT3G14600/AT4G25740/AT5G16130/AT1G09690/AT3G44590/AT3G55170/AT5G23535/AT5G23740/AT3G48930/AT2G40010/AT3G09200/AT1G17560/AT2G33370/AT5G53070/AT2G41840/AT1G70600/AT4G00810/AT5G47700/AT3G45030/AT2G37190/AT3G06320/AT2G42740/AT5G18790/AT5G60670/AT5G15520/AT4G30800/AT5G22440/AT2G07734/AT2G40205/AT3G09680/AT5G59240/AT1G23410/AT3G28500/AT5G09500"
"ath04141","ath04141","Protein processing in endoplasmic reticulum",207,0.516464054155688,1.85204213163734,1.22687668089966e-06,7.05454091517306e-05,5.94066603382994e-05,5798,"tags=40%, list=22%, signal=31%","AT3G21660/AT1G18830/AT1G78720/AT1G09080/AT3G46230/AT3G60540/AT5G12020/AT2G29500/AT5G12030/AT5G02490/AT1G59860/AT1G04980/AT3G53230/AT1G19310/AT1G77510/AT1G65040/AT5G60460/AT5G61790/AT1G72280/AT4G27470/AT5G56150/AT5G52640/AT2G01650/AT3G07370/AT3G62600/AT3G17000/AT3G54130/AT5G50460/AT5G50430/AT4G04860/AT4G29330/AT5G03160/AT1G07400/AT1G17280/AT1G56330/AT5G28540/AT4G03510/AT2G17520/AT4G24920/AT3G62560/AT1G50670/AT2G47470/AT5G59300/AT1G29310/AT1G09180/AT4G16660/AT2G45070/AT4G25230/AT3G08690/AT5G51440/AT3G51980/AT4G04210/AT3G01340/AT1G30000/AT5G49570/AT3G48570/AT5G59720/AT5G42020/AT4G02080/AT4G21810/AT2G32920/AT4G22150/AT5G43670/AT3G09440/AT1G11905/AT1G75950/AT4G38930/AT1G18260/AT2G29070/AT5G37670/AT5G22060/AT5G38470/AT5G60640/AT3G16090/AT5G20570/AT1G53540/AT5G35080/AT3G52190/AT3G63460/AT5G03340/AT4G32640/AT3G02540"
"ath00966","ath00966","Glucosinolate biosynthesis",26,-0.786184807450574,-2.04131688945731,8.98039463368814e-06,0.000344248460958046,0.000289893440806775,1110,"tags=50%, list=4%, signal=48%","AT4G39950/AT2G22330/AT1G10060/AT1G50110/AT1G16410/AT2G43100/AT4G13770/AT5G23020/AT5G23010/AT5G14200/AT3G19710/AT3G58990/AT1G16400"
"ath01210","ath01210","2-Oxocarboxylic acid metabolism",72,-0.588624517807383,-1.88225744706268,7.36312115676952e-05,0.00211689733257124,0.00178265038532315,3302,"tags=33%, list=13%, signal=29%","AT3G49680/AT1G74040/AT1G14810/AT1G50090/AT3G58610/AT1G80560/AT4G37670/AT5G14060/AT5G16290/AT3G23940/AT4G39950/AT2G22330/AT1G10060/AT1G50110/AT1G16410/AT2G43100/AT4G13770/AT5G23020/AT5G23010/AT5G14200/AT3G19710/AT3G58990/AT3G02020/AT1G16400"
"ath04626","ath04626","Plant-pathogen interaction",195,0.459859130127189,1.62998898803798,0.000137969151229277,0.00317329047827337,0.00267224461328284,4678,"tags=41%, list=18%, signal=34%","AT1G21550/AT2G19190/AT5G51060/AT3G47480/AT3G01830/AT3G50770/AT5G42380/AT2G46440/AT1G66400/AT1G76650/AT5G20480/AT2G30250/AT5G49480/AT2G38470/AT3G10300/AT2G41090/AT3G59350/AT3G20410/AT4G01250/AT3G03000/AT3G51920/AT2G41410/AT4G01010/AT3G25600/AT5G07390/AT2G41100/AT1G76040/AT2G46430/AT5G37770/AT2G41110/AT2G17290/AT2G47060/AT5G56270/AT1G18890/AT2G43290/AT1G07720/AT2G28630/AT4G26090/AT2G13790/AT4G39090/AT4G16190/AT4G04695/AT5G43760/AT5G04170/AT5G52640/AT3G48080/AT4G04710/AT1G01120/AT3G57530/AT5G37780/AT3G25070/AT5G46330/AT5G04870/AT2G27480/AT2G30740/AT3G17410/AT1G19230/AT1G64060/AT2G21430/AT1G35670/AT3G21630/AT5G53130/AT1G06700/AT2G14610/AT4G21940/AT3G22930/AT3G48090/AT3G56800/AT5G13160/AT1G80460/AT3G21220/AT5G49070/AT1G68530/AT4G08500/AT5G66210/AT4G34510/AT1G18210/AT3G50360/AT2G43790"
"ath03008","ath03008","Ribosome biogenesis in eukaryotes",90,-0.526256817882534,-1.74077037874025,0.000436846737352552,0.0072473770692755,0.00610305437412674,7841,"tags=61%, list=30%, signal=43%","AT5G20160/AT5G05540/AT5G37350/AT3G01610/AT1G63780/AT5G55190/AT5G42540/AT2G21440/AT3G57000/AT5G41190/AT4G07410/AT5G67240/AT5G59980/AT1G04635/AT4G02400/AT5G11240/AT4G28200/AT1G08410/AT2G18900/AT3G51270/AT5G66540/AT1G15420/AT3G50100/AT1G67120/AT1G50920/AT1G27470/AT3G21540/AT1G15440/AT1G10490/AT2G47990/AT1G63810/AT2G25420/AT2G20490/AT5G52470/AT1G52980/AT3G57940/AT1G26530/AT1G06720/AT5G08180/AT3G05060/AT1G56110/AT3G06530/AT5G14050/AT4G04940/AT5G16750/AT3G07050/AT5G08600/AT1G10300/AT4G12600/AT5G27120/AT3G57150/AT3G03920/AT3G26480/AT3G12860/AT4G25630"
"ath04075","ath04075","Plant hormone signal transduction",271,-0.39281759502198,-1.49082184824244,0.000441144691173292,0.0072473770692755,0.00610305437412674,3271,"tags=24%, list=12%, signal=21%","AT4G34750/AT4G37390/AT4G29080/AT4G38840/AT2G33310/AT3G03450/AT2G18010/AT4G28640/AT5G06839/AT5G01240/AT3G62100/AT4G38860/AT2G22670/AT1G68640/AT1G48500/AT1G77690/AT5G67260/AT4G34160/AT4G38825/AT1G48670/AT2G21220/AT2G21200/AT4G38850/AT2G01760/AT1G19830/AT2G21050/AT3G61830/AT4G34790/AT3G15540/AT2G14960/AT1G04240/AT2G29380/AT2G40670/AT4G00880/AT3G03850/AT5G65100/AT5G18020/AT5G18030/AT5G18010/AT3G16360/AT3G03820/AT4G34760/AT3G03840/AT2G26040/AT5G18060/AT2G19990/AT5G21120/AT4G32280/AT5G10990/AT4G31320/AT1G23160/AT2G24400/AT3G53250/AT5G18050/AT2G37030/AT3G03830/AT1G15580/AT1G19840/AT5G18080/AT1G50060/AT5G51470/AT4G33730/AT3G17600/AT5G10120"
"ath03030","ath03030","DNA replication",47,-0.612568435547774,-1.82119614676521,0.000518779414253361,0.00745745407989206,0.00627996133043542,7747,"tags=77%, list=30%, signal=54%","AT2G25100/AT2G24490/AT5G26680/AT5G22110/AT5G45400/AT3G20540/AT5G41880/AT2G27470/AT2G39440/AT1G50840/AT1G08130/AT3G18580/AT3G02920/AT5G27740/AT5G63960/AT1G21690/AT4G20325/AT1G08260/AT1G08840/AT1G63160/AT2G42120/AT5G08020/AT1G67320/AT5G61000/AT5G46280/AT2G29570/AT2G07690/AT1G67630/AT5G44635/AT2G16440/AT5G67100/AT3G52630/AT4G02060/AT1G23750/AT1G44900/AT1G07370"
"ath04144","ath04144","Endocytosis",156,0.468795513500514,1.62120412420031,0.000596502626132626,0.00762197800058356,0.0064185077899651,7185,"tags=55%, list=27%, signal=40%","AT2G21880/AT2G35210/AT5G02490/AT4G35985/AT3G05630/AT4G01190/AT1G52280/AT2G06530/AT5G09260/AT4G00240/AT3G10640/AT2G17840/AT1G70490/AT5G63880/AT3G18820/AT2G33385/AT3G51250/AT4G29160/AT3G53120/AT1G23490/AT2G42010/AT2G31680/AT2G41210/AT5G60860/AT1G17730/AT1G15130/AT4G26750/AT5G13860/AT5G04850/AT1G60430/AT4G21560/AT5G54310/AT1G47830/AT5G03520/AT3G16785/AT5G59840/AT1G73030/AT4G21160/AT2G27600/AT1G02430/AT1G03950/AT4G11850/AT2G36680/AT5G65270/AT3G12400/AT5G45750/AT1G77140/AT3G09440/AT5G59150/AT3G59290/AT4G12230/AT4G35790/AT2G19830/AT4G16144/AT2G26420/AT5G53530/AT4G05000/AT4G27040/AT5G17060/AT5G46630/AT1G08270/AT3G46830/AT5G11710/AT1G48790/AT2G37550/AT5G46750/AT5G22950/AT2G43160/AT4G27690/AT4G39990/AT5G22770/AT1G21980/AT3G53610/AT4G01710/AT1G21630/AT4G11840/AT3G62080/AT5G47960/AT3G46060/AT1G75850/AT3G03120/AT3G12580/AT3G11130/AT1G59610/AT3G47810/AT5G04920"
"ath04136","ath04136","Autophagy - other",41,0.636975319508334,1.77826952436396,0.00139627998636611,0.0157143115870213,0.0132331044943337,5792,"tags=63%, list=22%, signal=49%","AT3G06420/AT2G45170/AT4G21980/AT3G13970/AT5G66930/AT4G04620/AT1G62040/AT5G45900/AT3G49590/AT3G15580/AT2G31260/AT5G61500/AT1G54210/AT3G61710/AT5G50230/AT3G53930/AT2G37840/AT3G60640/AT2G05630/AT1G10430/AT5G17290/AT3G07525/AT4G16520/AT1G69960/AT4G29380/AT1G60490"
