"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0036294","BP","GO:0036294","cellular response to decreased oxygen levels","133/5071","241/22026",2.36025272518032e-27,2.62545740948148e-24,2.12930382315538e-24,"ANAC002/NA/SAP2/NA/ARI12/MAPKKK13/(AT)SRC2/NA/AtRAV1/AtNIGT1/PER4/NA/AlaAT1/NA/FMO1/NA/NA/AUF2/HHO3/AtTEM1/AtBBE3/AtBBE6/STZ/ATGA2OX2/AtBBE10/NA/AtSTOP1/EXL1/AAD6/NA/ATPME1/UCK3/NA/NA/AtFBS1/AtPP2-A11/NA/NA/AtPERK9/NA/NA/NA/AtPPsPase1/NA/CML38/ATOPR1/GAL1/ATLPP1/ATSERK4/NA/AHB1/ATPUMP5/PLA/AthCYSTM6/FBA6/ATHSPRO2/ATSZF2/CML10/ATCAL4/ATWRKY46/ATPI4K/ATGSTF5/AtGDPD1/HRU1/NA/NA/NA/ATPK19/HRA1/DJC66/PRP/ATMBF1C/AT-POX/ATSUS4/NA/ZAT7/ATHSP17.4/ATPSK3/NA/ATWRKY70/NA/NA/CP12/AtWRKY22/BPS3/AtNUDT7/DVL10/SCL13/NA/AtBBE22/NA/NA/ACBP3/CBSX5/ATRMA3/NA/ATXTH18/NA/UGT73B3/NA/STY46/NA/AtZAT6/DREB2/NHL3/HSP17.6II/AT-HSP17.6A/AtGILP/NA/NA/ATBCB/NA/ASUS1/AtDMR6/FLOT1/CBP60G/ATL31/NA/AtGDPD2/NRP/AtCML37/NA/NA/CYP81F2/NA/AtXTH22/ATTIL/AtZAT12/SRO5/ANAC102/EXL2/PROPEP3/cMCU",133
"GO:0071453","BP","GO:0071453","cellular response to oxygen levels","133/5071","241/22026",2.36025272518032e-27,2.62545740948148e-24,2.12930382315538e-24,"ANAC002/NA/SAP2/NA/ARI12/MAPKKK13/(AT)SRC2/NA/AtRAV1/AtNIGT1/PER4/NA/AlaAT1/NA/FMO1/NA/NA/AUF2/HHO3/AtTEM1/AtBBE3/AtBBE6/STZ/ATGA2OX2/AtBBE10/NA/AtSTOP1/EXL1/AAD6/NA/ATPME1/UCK3/NA/NA/AtFBS1/AtPP2-A11/NA/NA/AtPERK9/NA/NA/NA/AtPPsPase1/NA/CML38/ATOPR1/GAL1/ATLPP1/ATSERK4/NA/AHB1/ATPUMP5/PLA/AthCYSTM6/FBA6/ATHSPRO2/ATSZF2/CML10/ATCAL4/ATWRKY46/ATPI4K/ATGSTF5/AtGDPD1/HRU1/NA/NA/NA/ATPK19/HRA1/DJC66/PRP/ATMBF1C/AT-POX/ATSUS4/NA/ZAT7/ATHSP17.4/ATPSK3/NA/ATWRKY70/NA/NA/CP12/AtWRKY22/BPS3/AtNUDT7/DVL10/SCL13/NA/AtBBE22/NA/NA/ACBP3/CBSX5/ATRMA3/NA/ATXTH18/NA/UGT73B3/NA/STY46/NA/AtZAT6/DREB2/NHL3/HSP17.6II/AT-HSP17.6A/AtGILP/NA/NA/ATBCB/NA/ASUS1/AtDMR6/FLOT1/CBP60G/ATL31/NA/AtGDPD2/NRP/AtCML37/NA/NA/CYP81F2/NA/AtXTH22/ATTIL/AtZAT12/SRO5/ANAC102/EXL2/PROPEP3/cMCU",133
"GO:0071456","BP","GO:0071456","cellular response to hypoxia","132/5071","239/22026",3.34169377532645e-27,2.62545740948148e-24,2.12930382315538e-24,"ANAC002/NA/SAP2/NA/ARI12/MAPKKK13/(AT)SRC2/NA/AtRAV1/AtNIGT1/PER4/NA/AlaAT1/NA/FMO1/NA/NA/AUF2/HHO3/AtTEM1/AtBBE3/AtBBE6/STZ/ATGA2OX2/AtBBE10/NA/AtSTOP1/EXL1/AAD6/NA/ATPME1/UCK3/NA/NA/AtFBS1/AtPP2-A11/NA/NA/AtPERK9/NA/NA/NA/AtPPsPase1/NA/CML38/ATOPR1/GAL1/ATLPP1/ATSERK4/NA/AHB1/ATPUMP5/PLA/AthCYSTM6/FBA6/ATHSPRO2/ATSZF2/CML10/ATCAL4/ATWRKY46/ATPI4K/ATGSTF5/AtGDPD1/HRU1/NA/NA/NA/ATPK19/HRA1/DJC66/PRP/ATMBF1C/AT-POX/ATSUS4/NA/ZAT7/ATHSP17.4/ATPSK3/NA/ATWRKY70/NA/NA/AtWRKY22/BPS3/AtNUDT7/DVL10/SCL13/NA/AtBBE22/NA/NA/ACBP3/CBSX5/ATRMA3/NA/ATXTH18/NA/UGT73B3/NA/STY46/NA/AtZAT6/DREB2/NHL3/HSP17.6II/AT-HSP17.6A/AtGILP/NA/NA/ATBCB/NA/ASUS1/AtDMR6/FLOT1/CBP60G/ATL31/NA/AtGDPD2/NRP/AtCML37/NA/NA/CYP81F2/NA/AtXTH22/ATTIL/AtZAT12/SRO5/ANAC102/EXL2/PROPEP3/cMCU",132
"GO:0001666","BP","GO:0001666","response to hypoxia","135/5071","266/22026",3.94056581283249e-23,2.32197840521155e-20,1.88317566213258e-20,"ANAC002/NA/SAP2/NA/ARI12/MAPKKK13/(AT)SRC2/NA/AtRAV1/AtNIGT1/PER4/NA/AlaAT1/NA/FMO1/NA/NA/AUF2/HHO3/AtTEM1/AtBBE3/AtBBE6/STZ/ATGA2OX2/AtBBE10/NA/AtSTOP1/EXL1/AAD6/NA/ATPME1/UCK3/NA/NA/AtFBS1/AtPP2-A11/NA/NA/AtPERK9/NA/NA/NA/AtPPsPase1/NA/CML38/ATOPR1/GAL1/ATLPP1/ATSERK4/NA/AHB1/ATPUMP5/PLA/AthCYSTM6/FBA6/ATHSPRO2/ATSZF2/CML10/ATCAL4/ATWRKY46/ATPI4K/ATGSTF5/AtGDPD1/HRU1/NA/NA/NA/ATPK19/HRA1/DJC66/PRP/ATMBF1C/AT-POX/ATSUS4/NA/ZAT7/ATHSP17.4/ATPSK3/NA/ATWRKY70/NA/NA/AtWRKY22/BPS3/AtNUDT7/DVL10/SCL13/NA/LSD1/AtBBE22/NA/NA/ACBP3/AtFBA7/CBSX5/ATRMA3/ACBP2/NA/ATXTH18/NA/UGT73B3/NA/STY46/NA/AtZAT6/DREB2/NHL3/HSP17.6II/AT-HSP17.6A/AtGILP/NA/NA/ATBCB/NA/ASUS1/AtDMR6/FLOT1/CBP60G/ATL31/NA/AtGDPD2/NRP/AtCML37/NA/NA/CYP81F2/NA/AtXTH22/ATTIL/AtZAT12/SRO5/ANAC102/EXL2/PROPEP3/cMCU",135
"GO:0036293","BP","GO:0036293","response to decreased oxygen levels","136/5071","270/22026",6.75207471840145e-23,3.18292802225445e-20,2.58142477655096e-20,"ANAC002/NA/SAP2/NA/ARI12/MAPKKK13/(AT)SRC2/NA/AtRAV1/AtNIGT1/PER4/NA/AlaAT1/NA/FMO1/NA/NA/AUF2/HHO3/AtTEM1/AtBBE3/AtBBE6/STZ/ATGA2OX2/AtBBE10/NA/AtSTOP1/EXL1/AAD6/NA/ATPME1/UCK3/NA/NA/AtFBS1/AtPP2-A11/NA/NA/AtPERK9/NA/NA/NA/AtPPsPase1/NA/CML38/ATOPR1/GAL1/ATLPP1/ATSERK4/NA/AHB1/ATPUMP5/PLA/AthCYSTM6/FBA6/ATHSPRO2/ATSZF2/CML10/ATCAL4/ATWRKY46/ATPI4K/ATGSTF5/AtGDPD1/HRU1/NA/NA/NA/ATPK19/HRA1/DJC66/PRP/ATMBF1C/AT-POX/ATSUS4/NA/ZAT7/ATHSP17.4/ATPSK3/NA/ATWRKY70/NA/NA/CP12/AtWRKY22/BPS3/AtNUDT7/DVL10/SCL13/NA/LSD1/AtBBE22/NA/NA/ACBP3/AtFBA7/CBSX5/ATRMA3/ACBP2/NA/ATXTH18/NA/UGT73B3/NA/STY46/NA/AtZAT6/DREB2/NHL3/HSP17.6II/AT-HSP17.6A/AtGILP/NA/NA/ATBCB/NA/ASUS1/AtDMR6/FLOT1/CBP60G/ATL31/NA/AtGDPD2/NRP/AtCML37/NA/NA/CYP81F2/NA/AtXTH22/ATTIL/AtZAT12/SRO5/ANAC102/EXL2/PROPEP3/cMCU",136
"GO:0070482","BP","GO:0070482","response to oxygen levels","136/5071","271/22026",1.05110109254739e-22,4.12907545855698e-20,3.34877120011588e-20,"ANAC002/NA/SAP2/NA/ARI12/MAPKKK13/(AT)SRC2/NA/AtRAV1/AtNIGT1/PER4/NA/AlaAT1/NA/FMO1/NA/NA/AUF2/HHO3/AtTEM1/AtBBE3/AtBBE6/STZ/ATGA2OX2/AtBBE10/NA/AtSTOP1/EXL1/AAD6/NA/ATPME1/UCK3/NA/NA/AtFBS1/AtPP2-A11/NA/NA/AtPERK9/NA/NA/NA/AtPPsPase1/NA/CML38/ATOPR1/GAL1/ATLPP1/ATSERK4/NA/AHB1/ATPUMP5/PLA/AthCYSTM6/FBA6/ATHSPRO2/ATSZF2/CML10/ATCAL4/ATWRKY46/ATPI4K/ATGSTF5/AtGDPD1/HRU1/NA/NA/NA/ATPK19/HRA1/DJC66/PRP/ATMBF1C/AT-POX/ATSUS4/NA/ZAT7/ATHSP17.4/ATPSK3/NA/ATWRKY70/NA/NA/CP12/AtWRKY22/BPS3/AtNUDT7/DVL10/SCL13/NA/LSD1/AtBBE22/NA/NA/ACBP3/AtFBA7/CBSX5/ATRMA3/ACBP2/NA/ATXTH18/NA/UGT73B3/NA/STY46/NA/AtZAT6/DREB2/NHL3/HSP17.6II/AT-HSP17.6A/AtGILP/NA/NA/ATBCB/NA/ASUS1/AtDMR6/FLOT1/CBP60G/ATL31/NA/AtGDPD2/NRP/AtCML37/NA/NA/CYP81F2/NA/AtXTH22/ATTIL/AtZAT12/SRO5/ANAC102/EXL2/PROPEP3/cMCU",136
"GO:0009415","BP","GO:0009415","response to water","175/5071","408/22026",2.33587737722454e-19,7.8652328258832e-17,6.37887716848085e-17,"AtLEA14/PIP1;3/ATCSLD5/ATGST1/RCI3/UGT74E2/ATCTL1/ATEXO70B2/AtMYB60/ESL1/ERD6/CRB/CDI3/ABCG40/AtAVP1/ATOCT6/UBC34/LRK10L1.1/AtCOR47/ERD10/RAP2.4/STZ/COR413-TM1/ATCIPK23/AtLEA4-1/ADR1/ANN1/RAP2.6/ALDH3H1/RD21/ATPER1/NA/ATBG1/LEA7/ANAC019/ALDH7B4/AtGolS2/VI1/ATMGL/BDG1/STMP4/STMP6/PPRT1/ATWRKY57/ATHB29/ATHVA22C/ATDR4/ALDH10A8/ERD14/ATGSTU19/AtOCT5/DRS1/AtMYB88/LHCB2/ATGRP-3/ATCOR413-PM1/ERD7/AtERF53/LEA/RD2/ATGRP7/AtCLO3/AtLEA4-2/PIP2;3/AKR4C8/DREB19/ATWRKY33/AtLtpI-5/ANNAT4/ANN3/ATWRKY54/AtREM4.2/AtCOR15A/AtMAX2/LEA27/ATWRKY46/ATMYB2/ABR/ANAC047/LDAP3/EGR1/AtMDAR3/DREB2/AtEWR1/ATNCED3/ANAC055/UBC32/CARK1/AZF2/APUM5/ATGRP-5/AtOCT4/ATRH9/AXR2/ATMYB15/AtGRP4/AtBAM1/FMA/ATMBF1C/ATRGS1/CYP71B15/AFL1/CLE25/PHS1/AT-POX/ATLOX2/AtRDUF1/Raf43/LTI30/ATCML9/AtPUB22/ARP1/ATWRKY70/NA/EDL3/RHS13/ATSUS3/AtLEA5/ARCK1/ATGRP2/ATDI21/ATCBL1/ATCESA8/ATPCAP1/AIRP1/NA/ANAC072/AtHSPR/ATCIPK6/RDK1/ATXDH1/ABIG1/NA/RD19/NA/CYP79B2/ATCIPK14/DREB2/ABCG22/AtLEA4-5/ATMYB29/ATRH25/ANN7/Rap2.6L/ZIFL1/RGLG2/KIN1/AtCor6.6/ASUS1/GSM1/SLAH3/ATCHIA/ATSTP13/CBP60G/GORK/PDH2/AATP1/RS5/ATBI-1/AAP6/UBC33/ATHVA22E/AtDTX50/LTI65/COR78/SPCH/ABI2/ATTIL/HAI1/LTP3/ATMYB96/AAP4/XTH6/ATDI8/ATMYB44",175
"GO:0001101","BP","GO:0001101","response to acid chemical","184/5071","440/22026",7.17286680081013e-19,2.11330588118868e-16,1.71393764608831e-16,"AtLEA14/PIP1;3/ATCSLD5/ATGST1/RCI3/UGT74E2/ATCTL1/ATEXO70B2/AtMYB60/ESL1/ERD6/CRB/CDI3/ABCG40/AtAVP1/ATOCT6/UBC34/LRK10L1.1/AtCOR47/ERD10/RAP2.4/STZ/COR413-TM1/ATCIPK23/AtLEA4-1/ADR1/ANN1/RAP2.6/ALDH3H1/RD21/ATPER1/NA/ATBG1/LEA7/ANAC019/ALDH7B4/AtGolS2/AtFBS1/VI1/ATMGL/BDG1/STMP4/STMP6/PPRT1/ATWRKY57/ATHB29/ATHVA22C/ATDR4/ALDH10A8/ERD14/ATGSTU19/AtOCT5/DRS1/AtMYB88/LHCB2/ATGRP-3/ATCOR413-PM1/ERD7/AtERF53/LEA/RD2/ATGRP7/ATGLR2.9/ATGLR3.7/AtCLO3/AtLEA4-2/PIP2;3/AKR4C8/DREB19/ATWRKY33/AtLtpI-5/ANNAT4/ANN3/ATWRKY54/AtREM4.2/AtCOR15A/AtMAX2/LEA27/ATWRKY46/ATMYB2/ABR/ANAC047/ATGLR1.1/LDAP3/EGR1/AtMDAR3/DREB2/AtEWR1/ATNCED3/ANAC055/UBC32/CARK1/AZF2/APUM5/ATGRP-5/AtOCT4/ATRH9/AXR2/ATMYB15/AtGRP4/AtBAM1/FMA/ATMBF1C/ATRGS1/CYP71B15/AFL1/CLE25/PHS1/AT-POX/ATLOX2/AtRDUF1/Raf43/LTI30/ATCML9/AtPUB22/ARP1/ATWRKY70/NA/EDL3/RHS13/ATSUS3/AtLEA5/ARCK1/ATGRP2/ATDI21/ATCBL1/ATCESA8/ATPCAP1/AIRP1/NA/ANAC072/AtHSPR/ATCIPK6/RDK1/ATXDH1/ATGLR3.2/ABIG1/NA/RD19/NA/CYP79B2/ATCIPK14/DREB2/ABCG22/AtLEA4-5/ATMYB29/ATRH25/ANN7/ATGLR2.5/Rap2.6L/ZIFL1/RGLG2/KIN1/AtCor6.6/ASUS1/GSM1/SLAH3/ATCHIA/ATSTP13/CBP60G/GORK/PDH2/AATP1/RS5/AtNPF5.2/ATBI-1/ATGLR1.2/ATGLR1.3/AAP6/UBC33/ATHVA22E/AtDTX50/LTI65/COR78/SPCH/ABI2/ATTIL/HAI1/LTP3/ATMYB96/AAP4/XTH6/ATDI8/ATMYB44",184
"GO:0009414","BP","GO:0009414","response to water deprivation","169/5071","398/22026",3.22717031304923e-18,8.4516004753967e-16,6.85443425555251e-16,"AtLEA14/PIP1;3/ATCSLD5/ATGST1/RCI3/UGT74E2/ATCTL1/ATEXO70B2/AtMYB60/ESL1/ERD6/CRB/ABCG40/AtAVP1/ATOCT6/UBC34/LRK10L1.1/AtCOR47/ERD10/RAP2.4/STZ/COR413-TM1/ATCIPK23/AtLEA4-1/ADR1/ANN1/RAP2.6/ALDH3H1/RD21/ATPER1/NA/ATBG1/LEA7/ANAC019/ALDH7B4/AtGolS2/VI1/ATMGL/BDG1/STMP4/STMP6/PPRT1/ATWRKY57/ATHB29/ATHVA22C/ATDR4/ALDH10A8/ERD14/ATGSTU19/AtOCT5/DRS1/AtMYB88/LHCB2/ATGRP-3/ATCOR413-PM1/ERD7/AtERF53/LEA/RD2/ATGRP7/AtCLO3/AtLEA4-2/PIP2;3/AKR4C8/DREB19/ATWRKY33/AtLtpI-5/ANNAT4/ANN3/ATWRKY54/AtREM4.2/AtCOR15A/AtMAX2/LEA27/ATWRKY46/ATMYB2/ABR/LDAP3/EGR1/AtMDAR3/DREB2/AtEWR1/ATNCED3/ANAC055/UBC32/CARK1/AZF2/APUM5/AtOCT4/ATRH9/AXR2/ATMYB15/AtGRP4/AtBAM1/ATMBF1C/ATRGS1/CYP71B15/AFL1/CLE25/PHS1/AT-POX/ATLOX2/AtRDUF1/Raf43/LTI30/ATCML9/AtPUB22/ARP1/ATWRKY70/NA/EDL3/ATSUS3/AtLEA5/ARCK1/ATGRP2/ATDI21/ATCBL1/ATCESA8/ATPCAP1/AIRP1/NA/ANAC072/AtHSPR/ATCIPK6/RDK1/ATXDH1/ABIG1/NA/RD19/NA/CYP79B2/ATCIPK14/DREB2/ABCG22/AtLEA4-5/ATMYB29/ATRH25/ANN7/Rap2.6L/ZIFL1/RGLG2/KIN1/AtCor6.6/ASUS1/GSM1/SLAH3/ATCHIA/ATSTP13/CBP60G/GORK/PDH2/AATP1/RS5/ATBI-1/AAP6/UBC33/ATHVA22E/AtDTX50/LTI65/COR78/ABI2/ATTIL/HAI1/LTP3/ATMYB96/AAP4/XTH6/ATDI8/ATMYB44",169
"GO:0019748","BP","GO:0019748","secondary metabolic process","151/5071","363/22026",1.71527061890707e-15,4.04289284876395e-13,3.27887520414235e-13,"ATGST11/ATGST1/ATGSTF5/ATCTL1/APX1/FMOGS-OX7/KFB01/CYP79F2/ATGSTU24/ATGSTU26/AtMYB51/ATPUB44/ATGSTU13/ATGSTU14/eEF-1Bb1/scpl18/AtGXMT1/ATGSTF14/BCAT6/ATBG1/ATGSTU16/BGLU45/FMO/FMO/AtDIR5/BDG1/4CL3/NHL6/BGLU21/BGLU22/CCOAMT/ATGSTU12/ATGSTU11/ATMYBL2/ATCAD1/scpl3/scpl2/IGMT5/ATGSTU23/ATGSTU22/ATGSTU20/ATGSTU19/ATMYB63/ATCCR2/ATGSTZ1/ATHB21/ATGSTF3/CYP79B3/AtGRF1/FPT1/SCPL11/SCPL9/GSL-OH/ESB1/ATGSTU7/AT103-1A/ATGSTU4/ATGSTU3/ATGSTU2/ATGSTU1/ATC4H/BGLU33/ABCG2/ATLMCO4/ATWRKY33/AtPRX25/ANAC042/ATLEUD1/ATHOL1/BGLU28/BGLU26/ANAC043/ATGSTF5/ATGSTF11/BGLU25/ATGSTU8/SCPL7/ATGPAT5/scpl14/SCPL15/NSP4/ATCTL2/BCAT4/CBB1/4CL5/4CL2/BGLU19/CYP71B15/CLE25/NF-YB10/ABCG37/ATWRKY70/IPMI1/AtKFB50/BGLU27/BGLU16/BGLU30/ATGSTF13/ATGSTF2/BASS5/scpl20/ATPRR2/CYP83A1/ATCESA8/AtMYB85/ATECS1/AtDIR6/ATH1/CER4/ATCAD5/CYP81F4/CYP81F1/ANT/ATCAD7/ATCAD9/ATWRKY13/CYP79B2/LAC11/ATPAL3/DIV2/PRX52/PSE1/ATMYB29/ATMYB64/Rap2.6L/ABCG6/ATCHS/ATIMD1/AtMYB43/ATBCB/GSM1/IMS2/CYP86B1/BGLU37/AtTGG1/BGLU24/BGLU42/AtNSP5/ATSDI1/AtMAPR5/CYP81F2/CYP86/ATLAC17/AtATR1/AtMYB28/ATMYB96/ANAC102/AtPRX71/ATHB25/bHLH093/PRX72",151
