"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome","156/5119","318/22005",5.10965857388975e-24,3.95998539476455e-21,3.3938890106573e-21,"RPP1.1/emb2386/RPS15/NA/NA/EMB2784/RPS15A/NA/NA/NA/DECOY/NA/HLL/NA/RPL27A/NA/NA/RPL18AA/PGY2/NA/ARP1/NA/NA/XW6/NA/NA/NA/NA/AP40/NA/RPS9/NA/RPL7B/NA/EMB2296/NA/NA/NA/NA/NA/NA/L18aB/NA/RPL24A/NA/ATRPS5B/ATRPL23A/NA/NA/RPL16A/NA/NA/NA/emb2171/NA/RPL18/NA/NA/NA/NA/NA/SAC56/NA/NA/NA/AML1/NA/NA/RPL19B/RFC3/NA/NA/NA/ATL5/RPL12-C/NA/RPS15AD/EMB1080/ATBBC1/NA/NA/EMB2167/RPL24/NA/NA/NA/NA/RPL23A2/NA/RPS26e/NA/NA/NA/ATRPS13A/RPP1.2/PRPL5/NA/NA/API2/NA/NA/NA/NA/NA/NA/NA/NA/NFD1/AtRPS6/NA/NA/NA/NA/RPL4/NA/NA/NA/NA/NA/EMB3010/NA/NA/NA/NA/NA/NA/RPS11-BETA/RPL18C/NA/RPP1.3/NA/NA/NA/NA/AtP3B/NA/NA/RPL12C/NA/RPS28/NA/NA/NA/RPS2/RPL33/RPS18/RPL20/RPS11/RPS8/RPL14/RPL16/RPS3/RPL22/RPS19/RPL2.1/RPS3",156
"GO:0005198","MF","GO:0005198","structural molecule activity","190/5119","442/22005",1.6656220915466e-20,6.45428560474308e-18,5.53161863034687e-18,"RPP1.1/emb2386/RPS15/NA/NA/EMB2784/RPS15A/NA/NA/LRX1/NA/DECOY/NA/HLL/NA/SEC31A/RPL27A/NA/EXT18/NA/NA/RPL18AA/PGY2/NA/ARP1/LRX9/NA/NA/XW6/NA/LRX2/NA/NA/NA/AP40/NA/RPS9/TUB1/ATEXT1/NA/RPL7B/NA/NA/EMB2296/NA/NA/EXT6/ATEPR1/NA/NA/NA/NA/L18aB/NA/RPL24A/NA/ATRPS5B/ATRPL23A/NA/NA/NA/RPL16A/NA/NA/NA/NA/NA/emb2171/NA/RPL18/NA/NA/NA/NA/AIR12/NA/SAC56/NA/NA/NA/AML1/ACT11/NA/NA/RPL19B/RFC3/NA/ATGRP-5/NA/NA/ATL5/RPL12-C/NA/NA/RPS15AD/EMB1080/ATBBC1/NA/CLC3/NA/EMB2167/RPL24/NA/NA/ACT3/NA/NA/ATHRGP1/NA/RPL23A2/NA/RPS26e/NA/NA/NA/TUBG1/ATRPS13A/RPP1.2/PRPL5/NA/NA/NA/NA/EXT12/API2/NA/NA/NA/NA/LRX5/TUB9/NA/NA/NA/NA/NFD1/AtRPS6/NA/NA/NA/NA/RPL4/NA/NA/EXT10/NA/NA/NA/NA/ACT7/EMB3010/NA/NA/NA/NA/NA/NA/RPS11-BETA/TUB8/RPL18C/EXT13/NA/RPP1.3/NA/NA/NA/ARP8/NA/AtP3B/NA/NA/RPL12C/NA/RPS28/NA/NA/NA/RPS2/RPL33/RPS18/RPL20/RPS11/RPS8/RPL14/RPL16/RPS3/RPL22/RPS19/RPL2.1/RPS3",190
"GO:0004601","MF","GO:0004601","peroxidase activity","58/5119","112/22005",5.02007856824053e-11,1.2968536301288e-08,1.11146300931922e-08,"PR9/RCI3/APX1/PER4/CAT1/PER7/NA/ANN1/PRX9/ATPER1/NA/NA/NA/TPX2/NA/NA/NA/NA/PLAT2/ATGPX2/NA/NA/NA/NA/AtPRX25/NA/NA/ATACP5/ATPRX/NA/ATPCB/NA/PrxIIE/ATGPX5/ATGPX6/PRXR1/NA/Prx47/NA/NA/NA/PRX52/ATPA2/NA/PRX56/NA/NA/RHS18/ATPAP26/NA/NA/PER64/Prx66/NA/NA/AtPRX71/PRX72/RHS19",58
"GO:0020037","MF","GO:0020037","heme binding","142/5119","377/22005",1.78907928878585e-10,3.3261996301146e-08,2.85070555735458e-08,"PR9/RCI3/APX1/CYP77B1/CYP87A2/CYP71B29/CYP78A5/PER4/CYP79F2/CAT1/CYP86C1/PER7/NA/PRX9/NA/CYP89A6/CYP89A5/NA/NA/HO3/NA/ADTO1/GNR1/ATHNIR/AHB1/NA/NA/PLAT2/CYP79B3/CYP81D7/CYP82F1/ATHO1/BAS1/CYP705A8/CYP707A2/ATC4H/CYP71A12/NA/ATKAO2/ATCB5-B/NA/CYP710A1/NA/NA/AtHBP2/NA/ATHSPRO2/AtPRX25/CYP718/NA/CYP76C2/CYP78A6/CYP709B2/NA/CYP94B2/CYP89A9/CYP72A7/CYP72A8/CYP72A14/CYP707A4/CYP705A19/CYP705A20/CYP705A22/CYP705A30/CYP71B19/CYP71B20/CYP71B22/CYP71B23/CYP71B24/CYP71B35/CYP71B37/CYP71B15/NA/CYP81D11/BR6OX2/NA/CYP71A25/CYP71A24/CYP94B3/ATPCB/NA/AtDWF4/NA/CYP706A4/CYP706A7/CYP71A20/CYP83A1/CYP702A2/CYP705A4/CYP702A5/CYP702A6/CYP74B2/CYP707A1/CYP71A27/PRXR1/CYP706A2/NA/Prx47/ROT3/NA/CYP81D4/CYP81D3/CYP81D8/CYP81F4/CYP81F1/NA/NA/CYP96A9/CYP79B2/PRX52/CBB3/ATPA2/NA/CYP75B1/CYP78A7/PRX56/NA/NA/RHS18/CYP86B1/CYP714A2/CYP714A1/CYP71B12/NA/NA/PER64/CYP705A12/CYTC6A/CYP705A5/CYP708/Prx66/CYP81F2/CYP71B10/NA/CYP86/CYP94B1/NA/AtPRX71/PRX72/CYP81G1/RHS19/PETA",142
"GO:0016684","MF","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","59/5119","118/22005",2.14593524523522e-10,3.3261996301146e-08,2.85070555735458e-08,"PR9/RCI3/APX1/PER4/CAT1/PER7/NA/ANN1/PRX9/ATPER1/NA/NA/NA/TPX2/NA/NA/NA/NA/PLAT2/ATGPX2/AtCLO3/NA/NA/NA/NA/AtPRX25/NA/NA/ATACP5/ATPRX/NA/ATPCB/NA/PrxIIE/ATGPX5/ATGPX6/PRXR1/NA/Prx47/NA/NA/NA/PRX52/ATPA2/NA/PRX56/NA/NA/RHS18/ATPAP26/NA/NA/PER64/Prx66/NA/NA/AtPRX71/PRX72/RHS19",59
"GO:0046906","MF","GO:0046906","tetrapyrrole binding","146/5119","407/22005",4.79352567949886e-09,6.19163733601937e-07,5.30651702414699e-07,"PR9/RCI3/APX1/CYP77B1/CYP87A2/CYP71B29/CYP78A5/PER4/CYP79F2/CAT1/CYP86C1/PER7/NA/CP22/PRX9/NA/CYP89A6/CYP89A5/NA/NA/HO3/NA/ADTO1/GNR1/LHCB2/ATHNIR/AHB1/NA/NA/PLAT2/CYP79B3/CYP81D7/CYP82F1/ATHO1/BAS1/CYP705A8/CYP707A2/ATC4H/CYP71A12/NA/ATKAO2/ATCB5-B/NA/CYP710A1/NA/NA/AtHBP2/NA/ATHSPRO2/AtPRX25/CYP718/NA/CYP76C2/CYP78A6/CYP709B2/NA/CYP94B2/CYP89A9/LHCB4.2/CYP72A7/CYP72A8/CYP72A14/CYP707A4/CYP705A19/CYP705A20/CYP705A22/CYP705A30/CYP71B19/CYP71B20/CYP71B22/CYP71B23/CYP71B24/CYP71B35/CYP71B37/CYP71B15/NA/CYP81D11/BR6OX2/NA/CYP71A25/CYP71A24/CYP94B3/ATPCB/NA/AtDWF4/NA/GUN4/CYP706A4/CYP706A7/CYP71A20/CYP83A1/CYP702A2/CYP705A4/CYP702A5/CYP702A6/CYP74B2/CYP707A1/CYP71A27/PRXR1/CYP706A2/NA/Prx47/ROT3/NA/CYP81D4/CYP81D3/CYP81D8/CYP81F4/CYP81F1/NA/NA/CYP96A9/CYP79B2/PRX52/CBB3/ATPA2/NA/CYP75B1/CYP78A7/PRX56/NA/NA/RHS18/CYP86B1/CYP714A2/CYP714A1/CYP71B12/NA/NA/PER64/CYP705A12/CYTC6A/CYP705A5/CYP708/Prx66/CYP81F2/CYP71B10/NA/CYP86/CYP94B1/NA/AtPRX71/PRX72/CYP81G1/RHS19/PETA",146
"GO:0016209","MF","GO:0016209","antioxidant activity","63/5119","139/22005",8.10498341899611e-09,8.97337449960283e-07,7.69059328930308e-07,"PR9/RCI3/APX1/AtSOD1/PER4/CAT1/PER7/NA/ANN1/PRX9/ATPER1/NA/NA/NA/TPX2/NA/NA/NA/NA/NA/PLAT2/ATGPX2/NA/NA/NA/NA/AtPRX25/NA/NA/ATACP5/ATPRX/NA/ATPCB/NA/PrxIIE/NA/ATGPX5/ATGPX6/PRXR1/ATFSD1/NA/Prx47/NA/NA/NA/PRX52/ATPA2/NA/PRX56/NA/NA/RHS18/ATPAP26/NA/NA/PER64/Prx66/NA/GRXC1/NA/AtPRX71/PRX72/RHS19",63
"GO:0046527","MF","GO:0046527","glucosyltransferase activity","80/5119","192/22005",1.03684519859691e-08,1.00444378614075e-06,8.60854368835062e-07,"ATCSLD5/UGT1/NA/UGT74E2/ATGSL07/ATSS3/AtUGT85A7/AtUGT85A2/AtUGT85A5/AtUGT85A3/ATUGT85A1/ATCSLA10/UGT78D1/XTH30/ATCSLD6/GBSS1/ATCSLE1/UGT89B1/ATTPS1/EXGT-A1/UGT73B5/UGT73B4/ATXTH21/GCS/ATCSLC08/UGT76D1/UGT71D1/UGT71C2/UGT71C1/NA/ATCSLB03/ATCSLB04/UGT73C6/AtXTH32/UGT74F1/UGT76B1/ATGSL04/UGT71B6/XTH16/ATCSLC04/ATSUS4/NA/NA/NA/ATCSLA14/ATSUS3/XTH9/ATCSLC12/ATSPS4F/NA/XTH15/ATCSLB05/UGT84A3/IAGLU/ATCESA8/ATCSLG3/XTH23/ATXTH14/ATXTH26/MERI-5/ATXTH18/ATCSLC05/UGT73B3/UGT73B2/UGT73B1/UGT89A2/UGT76C5/NA/ATGSL12/ATCSLD2/ATCESA7/ASUS1/UGT72E3/ATSUS5/CESA4/AtXTH12/AtXTH13/AtXTH22/UGT76E2/XTH6",80
"GO:0008194","MF","GO:0008194","UDP-glycosyltransferase activity","105/5119","280/22005",5.26284997490197e-08,4.53189858949892e-06,3.88404483527853e-06,"NA/NA/AtGATL5/ATCSLD5/NA/UGT1/NA/UGT74E2/ATGSL07/AtGolS3/NA/ATSS3/NA/GATL3/ATGATL1/AtUGT85A7/AtUGT85A2/AtUGT85A5/AtUGT85A3/ATUGT85A1/UGT78D1/ATCSLD6/GBSS1/NA/GUX4/ATCSLE1/AtGolS2/UGT89B1/ATTPS1/UGT73B5/UGT73B4/NA/GCS/NA/UGT76D1/NA/FRA8/UGT71D1/UGT71C2/UGT71C1/UGT87A2/NA/NA/ATCSLB03/ATCSLB04/GALS1/NA/NA/UGT73C6/NA/IRX9/UGT74F1/GATL4/MUCI21/UGT76B1/NA/ATGSL04/GUX1/UGT71B6/NA/NA/NA/GATL10/NA/ATSUS4/NA/NA/GATL2/NA/ATXT1/NA/DGD2/RGXT2/RGXT1/ATSUS3/ATSPS4F/NA/NA/ATCSLB05/UGT84A3/IAGLU/ATCESA8/ATCSLG3/EMB2797/GUX2/UGT73B3/UGT73B2/UGT73B1/UGT89A2/UGT76C5/NA/ATGSL12/RRT1/ATCSLD2/NA/ATCESA7/IPUT1/ASUS1/UGT72E3/ATSUS5/NA/CESA4/NA/GAUT12/UGT76E2",105
"GO:0016758","MF","GO:0016758","transferase activity, transferring hexosyl groups","125/5119","354/22005",1.63726963455391e-07,1.26888396677928e-05,1.08749172568791e-05,"NA/AtGATL5/ATCSLD5/NA/UGT1/NA/UGT74E2/ATGSL07/AtGolS3/ATSS3/NA/GATL3/ATGATL1/AtUGT85A7/AtUGT85A2/AtUGT85A5/AtUGT85A3/ATUGT85A1/ATCSLA10/GALT4/UGT78D1/XTH30/ATCSLD6/GBSS1/AtGALT31A/GUX4/AtSIP1/ATCSLE1/AtGolS2/ATFT4/UGT89B1/ATTPS1/EXGT-A1/ATFUT5/UGT73B5/UGT73B4/ATXTH21/GCS/ATCSLC08/UGT76D1/FRA8/UGT71D1/UGT71C2/UGT71C1/NA/ATCSLB03/ATCSLB04/GALS1/UGT73C6/AtXTH32/IRX9/AtIPCS2/DPE2/UGT74F1/GATL4/UGT76B1/NA/ATGSL04/GUX1/BE1/UGT71B6/XTH16/NA/NA/ATCSLC04/GATL10/PHS1/ATSUS4/NA/NA/GATL2/AtIPCS1/NA/ATCSLA14/ATXT1/NA/DGD2/AtSTS/ATSUS3/XTH9/ATCSLC12/ATSPS4F/NA/XTH15/ATCSLB05/UGT84A3/IAGLU/ATCESA8/ATCSLG3/XTH23/ATXTH14/ATXTH26/MERI-5/ATXTH18/ATCSLC05/EMB2797/GUX2/UGT73B3/UGT73B2/UGT73B1/UGT89A2/ATCSLA09/UGT76C5/NA/ATGSL12/ATCSLD2/ATCESA7/IPUT1/ASUS1/ATCSLA02/UGT72E3/NA/NA/ATSUS5/RS5/NA/CESA4/GAUT12/AtXTH12/AtXTH13/AtXTH22/UGT76E2/ATGT18/AtDPE1/XTH6",125
