"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","Description","Entrez"
"1","AT1G01010",242.003549859587,0.96968882025793,0.176458885806767,0.000886394501857352,0.0043448347248317,"NAC001","NAC domain containing protein 1(NAC001)",839580
"2","AT1G01030",95.2575797622245,-0.927746622365978,0.204945590356276,0.00676325124170776,0.0270775518517387,"NGA3","AP2/B3-like transcriptional factor family protein(NGA3)",839321
"3","AT1G01100",4603.85883483329,-0.69531173895386,0.0937521762564334,0.00186311767719518,0.00845594063327317,"RPP1A","60S acidic ribosomal protein family(AT1G01100)",839410
"4","AT1G01120",1434.15058989334,0.898184603420393,0.108978936084267,4.89299764079135e-06,3.48436183058505e-05,"KCS1","3-ketoacyl-CoA synthase 1(KCS1)",839395
"5","AT1G01200",31.0014715489715,-2.07041917703434,0.520702385668205,0.000337635308751063,0.0017836538032425,"RABA3","RAB GTPase homolog A3(RABA3)",839493
"6","AT1G01230",615.459690911602,0.686278577590325,0.0986163522998222,0.00396262355464262,0.0167599369441841,"AT1G01230","ORMDL family protein(AT1G01230)",839331
"7","AT1G01250",26.3423410523678,-2.20919777646297,0.900077297123612,0.00891662659396639,0.0347032350553144,"ERF023","Integrase-type DNA-binding superfamily protein(AT1G01250)",839322
"8","AT1G01320",9493.01679261062,-0.628332165822565,0.0875113023591989,0.0120948883430817,0.0454613156689094,"AT1G01320","Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G01320)",839293
"9","AT1G01380",13.5564513457996,-3.02387324692115,1.08285765532868,0.00404974809971135,0.0170909846474428,"ETC1","Homeodomain-like superfamily protein(ETC1)",838096
"10","AT1G01390",30.2620182263865,-2.77887895574955,0.512790179435341,7.97115618400534e-07,6.32802717623316e-06,"UGT72B2","UDP-Glycosyltransferase superfamily protein(AT1G01390)",837790
"11","AT1G01470",2353.25308975101,2.76366500148617,0.130126401029671,5.2160286136439e-74,1.05990616521983e-71,"LEA14","Late embryogenesis abundant protein(LEA14)",837071
"12","AT1G01480",61.4838772031427,3.47455434967147,0.477275620750355,1.60742959522963e-11,2.18265571943109e-10,"ACS2","1-amino-cyclopropane-1-carboxylate synthase 2(ACS2)",837082
"13","AT1G01490",2156.02588014589,0.722900890280487,0.0879846817295482,0.000307804268465851,0.00163839289499344,"AT1G01490","Heavy metal transport/detoxification superfamily protein(AT1G01490)",839440
"14","AT1G01550",3518.02563395241,0.811192968327022,0.0670709500930748,1.58717061181608e-09,1.73756177801132e-08,"BPS1","BPS1-like protein (DUF793)(BPS1)",839536
"15","AT1G01560",51.7411142815374,4.46850500304107,0.565497605540514,1.30495002839289e-13,2.1500119066658e-12,"MPK11","MAP kinase 11(MPK11)",839523
"16","AT1G01570",40.191227380881,-1.54290405823912,0.374548846207479,0.000765735973343441,0.00378699270335201,"AT1G01570","transferring glycosyl group transferase (DUF604)(AT1G01570)",837183
"17","AT1G01580",94.0181556443191,-1.50616272511013,0.49152853509188,0.00704617522855327,0.0281082571326738,"FRO2","ferric reduction oxidase 2(FRO2)",839411
"18","AT1G01620",18021.1933710678,1.4483997814925,0.0923147277551517,9.65306357695245e-30,4.35045170739501e-28,"PIP1-3","plasma membrane intrinsic protein 1C(PIP1C)",839235
"19","AT1G01680",67.5968605962451,5.18140655583319,0.868658648709026,3.02776025951033e-09,3.20411450029953e-08,"PUB54","plant U-box 54(PUB54)",839251
"20","AT1G01720",1382.06170887778,1.52467181329392,0.144140641468163,3.53309136529937e-15,6.5475249181728e-14,"NAC002","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein(ATAF1)",839265
"21","AT1G01730",669.803583682175,0.680926172460467,0.0894097052516867,0.00194947967663078,0.00881508817278002,"AT1G01730","hypothetical protein(AT1G01730)",839260
"22","AT1G01750",171.047414069236,-2.1105780572082,0.241552615453088,4.14091062480516e-13,6.48824277228967e-12,"ADF10","actin depolymerizing factor 11(ADF11)",839281
"23","AT1G01770",652.914274051889,0.84370106274886,0.0993918798982718,8.66540943607145e-06,5.92485860645204e-05,"AT1G01770","propionyl-CoA carboxylase(AT1G01770)",837323
"24","AT1G01780",260.365329212383,0.80632203383627,0.133518273547798,0.00207106924499296,0.00931398156867831,"PLIM2B","GATA type zinc finger transcription factor family protein(PLIM2b)",839267
"25","AT1G01790",2313.09532115924,-1.03620695656698,0.100147662887706,2.72351230439656e-10,3.26047351583185e-09,"KEA1","K+ efflux antiporter 1(KEA1)",837332
"26","AT1G01900",90.4726551317531,-2.82100451523737,0.383121236152543,6.26056972942959e-11,8.06148403458791e-10,"SBTI1.1","subtilase family protein(SBTI1.1)",839318
"27","AT1G01920",351.418289675569,-0.959725370137324,0.145809519976848,9.5505295888184e-05,0.000557696037118675,"AT1G01920","SET domain-containing protein(AT1G01920)",839313
"28","AT1G02000",455.603407654334,0.75486058326217,0.12527978431218,0.00449716852105539,0.0187638524478112,"GAE2","UDP-D-glucuronate 4-epimerase 2(GAE2)",839289
"29","AT1G02065",50.737369513463,-2.79130322119922,0.438063261006758,8.36589357944002e-09,8.37493192600381e-08,"SPL8","squamosa promoter binding protein-like 8(SPL8)",839275
"30","AT1G02110",735.742810166314,-1.3033500321119,0.123136592311808,1.6283714330968e-13,2.64710345597807e-12,"AT1G02110","bZIP domain class transcription factor (DUF630 and DUF632)(AT1G02110)",839234
"31","AT1G02170",648.017309092648,0.806667127865956,0.0950721920945043,2.13278134493966e-05,0.000137238555154243,"AMC1","metacaspase 1(MC1)",839561
"32","AT1G02190",6.94775699178939,-3.65491173847584,2.35463473120288,0.0045698072254676,0.0190326473171444,"AT1G02190","Fatty acid hydroxylase superfamily(AT1G02190)",839541
"33","AT1G02220",285.084967065239,1.64888333604022,0.210254256354212,1.03357994038115e-09,1.15777946416487e-08,"NAC003","NAC domain containing protein 3(NAC003)",839476
"34","AT1G02230",27.9025233269722,2.79500395424106,0.825147700297994,0.000434256487532978,0.00224894959394175,"NAC004","NAC domain containing protein 4(NAC004)",837630
"35","AT1G02270",413.404618215614,0.788390876359416,0.114934547819212,0.000705182050065697,0.00350698630093857,"AT1G02270","Calcium-binding endonuclease/exonuclease/phosphatase family(AT1G02270)",839381
"36","AT1G02280",1546.04105154169,-0.70698537071874,0.122099401886339,0.0113619820034818,0.0429574527681829,"TOC33","translocon at the outer envelope membrane of chloroplasts 33(TOC33)",839248
"37","AT1G02305",2610.13778348272,0.59464705379752,0.0661355947203202,0.0037360126713679,0.0158943495926974,"AT1G02305","Cysteine proteinases superfamily protein(AT1G02305)",839538
"38","AT1G02335",20.7357072355953,-2.62056618011383,0.918789579824514,0.00386690469312677,0.0163910058950195,"GL22","germin-like protein subfamily 2 member 2 precursor(GL22)",3766642
"39","AT1G02340",195.581942343883,0.957773768253406,0.187665136342969,0.00202340800541305,0.00911556718113446,"HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein(HFR1)",839300
"40","AT1G02360",391.088330680604,1.75796495207202,0.219405301346911,2.09718010073238e-10,2.54618328267639e-09,"AT1G02360","Chitinase family protein(AT1G02360)",837724
"41","AT1G02450",21.5662377222734,2.89919601812256,1.05882634269571,0.0022940801950123,0.0102354329193875,"NIMIN-1","NIM1-interacting 1(NIMIN1)",837800
"42","AT1G02460",26.2737251966026,-2.06037108841958,0.575815001616174,0.00079754348408646,0.00393729615898474,"AT1G02460","Pectin lyase-like superfamily protein(AT1G02460)",839443
"43","AT1G02470",54.5283766046146,1.8128625656971,0.391969138085115,8.31464836140852e-05,0.000490973309436728,"AT1G02470","Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G02470)",837812
"44","AT1G02520",477.684046626835,1.01524641427829,0.192296637323863,0.000890925462855808,0.0043623522187814,"ABCB11","P-glycoprotein 11(ABCB11)",839353
"45","AT1G02580",24.8197439948987,3.34055110848798,0.539038471417401,8.12662658766521e-09,8.15302316601406e-08,"MEA","SET domain-containing protein(MEA)",839422
"46","AT1G02640",1382.83659838007,-1.61420338704046,0.160207099445172,1.68683629874262e-14,2.99429600462626e-13,"BXL2","beta-xylosidase 2(BXL2)",837940
"47","AT1G02690",457.793046715341,-1.26704021574615,0.123831788841827,1.7964604869245e-12,2.66250845678862e-11,"IMPA6","importin alpha isoform 6(IMPA-6)",839517
"48","AT1G02700",126.199529877054,-1.76412557104435,0.335051733732901,1.3545398747583e-05,8.96768110853842e-05,"AT1G02700","GATA transcription factor-like protein(AT1G02700)",839492
"49","AT1G02710",29.2658362043575,-1.33600458155389,0.420203183238629,0.00918417667889987,0.0356248246427856,"AT1G02710","glycine-rich protein(AT1G02710)",839483
"50","AT1G02720",247.057229635916,-1.25197441648369,0.140035301175414,7.97964430813144e-10,9.07009128546932e-09,"GATL5","galacturonosyltransferase 5(GATL5)",839475
"51","AT1G02730",887.673048416205,-1.63978558951112,0.140942117142087,7.8088121984466e-19,1.8981231330222e-17,"CSLD5","cellulose synthase-like D5(CSLD5)",839467
"52","AT1G02770",54.2517040992702,1.06650971921042,0.284046398296783,0.0102069054652053,0.0391461862750797,"AT1G02770","hypothetical protein(AT1G02770)",839421
"53","AT1G02780",13569.416731595,-0.713727125859729,0.0734630213394565,2.70507309723884e-05,0.000171257224098218,"RPL19A","Ribosomal protein L19e family protein(emb2386)",839407
"54","AT1G02800",73.5528871670807,-1.83979954365573,0.438463280340761,0.000278263906596872,0.00149212578618438,"CEL2","cellulase 2(CEL2)",839385
"55","AT1G02816",430.812713211484,1.12670109218852,0.121559500562751,2.05081680934343e-09,2.21581956102801e-08,"AT1G02816","pectinesterase (Protein of unknown function, DUF538)(AT1G02816)",839308
"56","AT1G02850",1157.90447667443,1.60003701329456,0.20634681705008,2.25925532077589e-09,2.43195397331662e-08,"BGLU11","beta glucosidase 11(BGLU11)",839435
"57","AT1G02860",483.691315751382,0.729119825281049,0.105830253394833,0.00190484024353055,0.00862671050662469,"BAH1","SPX (SYG1/Pho81/XPR1) domain-containing protein(NLA)",839559
"58","AT1G02870",443.971516159016,-0.818362620833602,0.112253059175556,0.000194416997792099,0.00107230232234619,"AT1G02870","nucleolar-like protein(AT1G02870)",839496
"59","AT1G02920",2142.07939838808,2.59595170569109,0.293910883365101,1.43754156252966e-14,2.56553546194142e-13,"GSTF7","glutathione S-transferase 7(GSTF7)",839295
"60","AT1G02930",3311.92388237326,3.64004451180876,0.174853866089974,4.28100555018914e-77,9.62810617185742e-75,"GSTF6","glutathione S-transferase 6(GSTF6)",839515
"61","AT1G02940",15.8185925899819,2.54762147384686,0.999571929905684,0.00587227602032435,0.0238525818009493,"GSTF5","glutathione S-transferase (class phi) 5(GSTF5)",839479
"62","AT1G03010",31.0685568023542,-1.28713999108246,0.392460732536227,0.0093028934988145,0.0360370447993375,"AT1G03010","Phototropic-responsive NPH3 family protein(AT1G03010)",839556
"63","AT1G03090",3453.5637212688,1.16236279124296,0.121339253482044,2.37266532009069e-10,2.8596666045734e-09,"MCCA","methylcrotonyl-CoA carboxylase alpha chain(MCCA)",838362
"64","AT1G03106",662.233021567027,-2.59068614130875,0.539822610720274,7.27768728399059e-06,5.05207149935996e-05,"AT1G03106","hypothetical protein(AT1G03106)",2745740
"65","AT1G03220",4008.49389869629,0.960509144983153,0.0907815955530564,7.92992732366323e-10,9.02243450160406e-09,"AT1G03220","Eukaryotic aspartyl protease family protein(AT1G03220)",838517
"66","AT1G03260",254.841386669417,0.821315248515714,0.13736330546806,0.00186936703954513,0.00848098070330259,"AT1G03260","SNARE associated Golgi protein family(AT1G03260)",839546
"67","AT1G03270",66.3709299145251,-1.56115731679394,0.358601570836367,0.00038745980877484,0.00202561644555837,"CBSDUF4","CBS domain protein with a domain protein (DUF21)(AT1G03270)",838595
"68","AT1G03310",904.137510344299,-0.778340367469282,0.118397492259899,0.00133579972971203,0.00627790641890428,"ISA2","debranching enzyme 1(DBE1)",839531
"69","AT1G03340",77.5112224639326,-1.32380404560394,0.312201907393505,0.00123226807533995,0.00583752351027606,"AT1G03340","hypothetical protein(AT1G03340)",839525
"70","AT1G03350",1141.04968900978,0.661524044350313,0.0778564408001591,0.00101362582762307,0.00488772737237477,"AT1G03350","BSD domain-containing protein(AT1G03350)",838679
"71","AT1G03370",992.978291165281,0.856854650107251,0.123245376859421,0.00019075029578981,0.00105333268223384,"AT1G03370","C2 calcium/lipid-binding and GRAM domain containing protein(AT1G03370)",839519
"72","AT1G03530",596.969223391585,-0.770299891120451,0.0949067275026782,0.000108812406754506,0.000630002350029527,"ATNAF1","nuclear assembly factor 1(NAF1)",839468
"73","AT1G03590",1312.20810965972,1.27152974651129,0.0807107918339807,6.18915399513489e-27,2.43002969995423e-25,"PPC6-6","Protein phosphatase 2C family protein(AT1G03590)",839447
"74","AT1G03610",1204.13047625315,1.3347238198572,0.0836688780134826,1.04633529682108e-28,4.40697402742917e-27,"AT1G03610","plant/protein (DUF789)(AT1G03610)",838961
"75","AT1G03630",2218.00192006654,-1.02167579841455,0.133622890568459,2.60478694161178e-06,1.92042932853077e-05,"PORC","protochlorophyllide oxidoreductase C(POR C)",839009
"76","AT1G03687",258.258156716715,-0.863144277739123,0.124905249373107,0.000185703770790112,0.00102717952491713,"AT1G03687","DTW domain-containing protein(AT1G03687)",839052
"77","AT1G03780",279.926675166489,-1.56481965132888,0.175277638302697,1.46766219109107e-11,2.00462232645193e-10,"TPX2","targeting protein for XKLP2(TPX2)",839140
"78","AT1G03790",1827.36330819796,3.94829002624297,0.163010416009136,2.25207290135278e-105,8.5523391409569e-103,"SOM","Zinc finger C-x8-C-x5-C-x3-H type family protein(SOM)",839408
"79","AT1G03800",33.2393451731594,1.37166351638871,0.407066510004529,0.00587486139221067,0.0238588997458906,"ERF10","ERF domain protein 10(ERF10)",839173
"80","AT1G03820",157.353421199618,1.72301266446835,0.299598995658113,3.27866432058054e-06,2.37939407851655e-05,"AT1G03820","E6-like protein(AT1G03820)",839400
"81","AT1G03840",93.6430940865211,-1.31147462331622,0.284064724798578,0.000568945856801697,0.00288142343087261,"MGP","C2H2 and C2HC zinc fingers superfamily protein(MGP)",839396
"82","AT1G03850",733.895619813066,1.56946914417247,0.162610718233834,3.03314415894025e-13,4.81912101795959e-12,"GRXS13","Glutaredoxin family protein(GRXS13)",839392
"83","AT1G03870",6945.11758178203,1.67050187503122,0.106779399663483,1.22397176696228e-32,6.30073466259582e-31,"FLA9","FASCICLIN-like arabinoogalactan 9(FLA9)",839384
"84","AT1G03900",2457.13953453976,0.700730325333894,0.0742558791441349,7.12634061059737e-05,0.000424702033044734,"ATNAP4","non-intrinsic ABC protein 4(ABCI18)",839378
"85","AT1G03920",47.5659763944491,-1.48025769255768,0.402497975497463,0.0023264912251198,0.0103660644796884,"AT1G03920","Protein kinase family protein(AT1G03920)",839369
"86","AT1G04020",219.376717646546,-0.94624303592747,0.18085505619674,0.00176584402949239,0.00806184015435379,"BARD1","breast cancer associated RING 1(BARD1)",839329
"87","AT1G04110",31.8182492983893,-3.39884607444698,0.895430864110152,0.000242702137702069,0.00131667330676076,"SBT1.2","Subtilase family protein(SDD1)",839287
"88","AT1G04180",41.2068377067998,-2.79034119601381,0.648644557224623,6.79407243578577e-05,0.000406049246581469,"YUC9","YUCCA 9(YUC9)",837024
"89","AT1G04240",596.419261658646,-1.7265430046324,0.160768062027461,7.00045845447325e-17,1.47557434119994e-15,"IAA3","AUX/IAA transcriptional regulator family protein(SHY2)",839570
"90","AT1G04250",2278.22062735164,0.993628776795353,0.0689402605268851,1.2735649988563e-17,2.8204716250962e-16,"IAA17","AUX/IAA transcriptional regulator family protein(AXR3)",839568
"91","AT1G04270",6884.30624989955,-0.797162428652021,0.0728438775747462,7.46331293573229e-08,6.70627013794563e-07,"RPS15A","cytosolic ribosomal protein S15(RPS15)",839564
"92","AT1G04310",516.217711154032,1.14559153223482,0.10783669047174,4.45401064074982e-12,6.38472503050554e-11,"ERS2","ethylene response sensor 2(ERS2)",839549
"93","AT1G04360",162.089161582856,0.861774312246734,0.190051879733085,0.0110398942687122,0.041896977512241,"ATL1","RING/U-box superfamily protein(AT1G04360)",839540
"94","AT1G04410",15787.4110426332,0.749053802204136,0.059146173616171,8.11949671745844e-09,8.1493995433243e-08,"MDH1","Lactate/malate dehydrogenase family protein(c-NAD-MDH1)",839527
"95","AT1G04425",45.8678357183273,-2.39774436068893,0.448189361191263,2.19580909828319e-06,1.63872157737532e-05,"AT1G04425","ncRNA(AT1G04425)",6240819
"96","AT1G04440",2127.52797835605,1.32978763793252,0.0788800386698984,8.7552428444631e-32,4.2969322138133e-30,"CKL13","casein kinase like 13(CKL13)",839520
"97","AT1G04520",387.119570848389,-1.34727789649389,0.138454043729379,5.12261872233863e-12,7.29799893622229e-11,"CRRSP3","plasmodesmata-located protein 2(PDLP2)",839502
"98","AT1G04540",44.7847618829942,-1.19375099035067,0.341551849008228,0.0090134352881574,0.0350388032304357,"AT1G04540","Calcium-dependent lipid-binding (CaLB domain) family protein(AT1G04540)",839498
"99","AT1G04600",23.4287705560753,-1.81610766521615,0.488790051598745,0.000980723654894879,0.00475082883012126,"XI-A","myosin XI A(XIA)",839480
"100","AT1G04610",44.4435754500839,-2.3102664887553,0.386851709077906,1.82653394047935e-07,1.56189216431171e-06,"YUC3","YUCCA 3(YUC3)",839474
"101","AT1G04620",897.004533103932,1.24097041935188,0.127910623957032,3.50687245027519e-11,4.63151085009263e-10,"HCAR","coenzyme F420 hydrogenase family / dehydrogenase, beta subunit family(HCAR)",839472
"102","AT1G04670",5.32788925039466,6.00790547975598,2.47843882373945,6.43589870255008e-05,0.000386437515408431,"AT1G04670","hypothetical protein(AT1G04670)",839451
"103","AT1G04680",2250.01809512088,1.42873632820389,0.0987603120276098,2.03845937752153e-25,7.37826741879473e-24,"AT1G04680","Pectin lyase-like superfamily protein(AT1G04680)",839452
"104","AT1G04690",2190.39917745142,0.659949895527753,0.076514461658663,0.000888717029454606,0.00435429991271488,"KAB1","potassium channel beta subunit 1(KAB1)",839450
"105","AT1G04800",539.830572604626,-3.29760759804338,0.235451379964628,1.76938868234131e-35,1.03244052459538e-33,"AT1G04800","glycine-rich protein(AT1G04800)",839406
"106","AT1G04830",483.30522493621,0.746302015403993,0.133999731987325,0.00886293463310176,0.0345174648244456,"AT1G04830","Ypt/Rab-GAP domain of gyp1p superfamily protein(AT1G04830)",839404
"107","AT1G04870",925.534776702865,-0.757150475805582,0.0944301181085693,0.000174350517496769,0.00097087253312804,"PRMT10","protein arginine methyltransferase 10(PRMT10)",839393
"108","AT1G04960",571.013687321093,0.867577241397409,0.1112037681281,2.41583937152662e-05,0.000154508335288278,"AT1G04960","golgin family A protein (DUF1664)(AT1G04960)",839346
"109","AT1G04970",931.186590230619,1.13174262245781,0.0839967774984354,5.03794854554877e-18,1.15434300749394e-16,"AT1G04970","lipid-binding serum glycoprotein family protein(AT1G04970)",839357
"110","AT1G04980",515.327602067318,1.41850852444925,0.116362690634161,1.61557511660329e-18,3.82666641882569e-17,"PDIL2-2","PDI-like 2-2(PDIL2-2)",839355
"111","AT1G05010",4657.89550235242,-1.00626294422822,0.103790662254106,5.5391540673841e-09,5.68266182333714e-08,"ACO4","ethylene-forming enzyme(EFE)",839345
"112","AT1G05020",65.3883897479629,-1.27677401486819,0.354865624297736,0.00529185401486724,0.0217312175597234,"AP180","ENTH/ANTH/VHS superfamily protein(AT1G05020)",839343
"113","AT1G05100",85.0242916989859,4.30014050727683,0.363859553212543,2.55524421538617e-27,1.02586191073519e-25,"MAPKKK18","mitogen-activated protein kinase kinase kinase 18(MAPKKK18)",839324
"114","AT1G05170",673.173019257282,2.30373926671319,0.128233697481878,4.81814086851539e-50,4.50049327496609e-48,"B3GALT2","Galactosyltransferase family protein(AT1G05170)",839292
"115","AT1G05210",99.2785850029582,-1.01549773267647,0.262026780991729,0.0109374449666846,0.0415490181458264,"AT1G05210","Transmembrane protein 97, Putative(AT1G05210)",839261
"116","AT1G05230",287.517304603646,-1.19516981232515,0.136548927142077,4.12008960702135e-09,4.27606970191082e-08,"HDG2","homeodomain GLABROUS 2(HDG2)",839256
"117","AT1G05240",291.801869725765,-2.44864586156057,1.22509271315888,0.00708547369831277,0.0282455684428524,"PER1","Peroxidase superfamily protein(AT1G05240)",839237
"118","AT1G05260",882.668143834513,-1.33720457412946,0.161689611579913,3.73847368391631e-09,3.91331870257213e-08,"PER3","Peroxidase superfamily protein(RCI3)",837028
"119","AT1G05280",65.7825830873591,-1.9177753989167,0.41673711520239,6.6329880385088e-05,0.00039693404265579,"AT1G05280","ERV-F (C)1 provirus ancestral Env polyprotein, putative (DUF604)(AT1G05280)",837026
"120","AT1G05300",753.94309005895,2.38326323025809,0.178618626838324,4.00455466848576e-29,1.73718181452196e-27,"ZIP5","zinc transporter 5 precursor(ZIP5)",837029
"121","AT1G05340",694.59835041021,2.96019593655729,0.194988660697141,5.99936053714594e-40,4.0399763617147e-38,"AT1G05340","cysteine-rich TM module stress tolerance protein(AT1G05340)",837033
"122","AT1G05420",41.9114695823064,1.98266009950911,0.399030325630294,1.6756808353543e-05,0.000109591040516608,"OFP12","ovate family protein 12(OFP12)",837043
"123","AT1G05440",55.1539985830094,-1.88085449463785,0.430126742543721,0.000154707553587829,0.000869010785369076,"AT1G05440","C-8 sterol isomerase(AT1G05440)",837045
"124","AT1G05450",11.9052226809835,7.02617205641724,2.40743203325949,6.04695661952918e-07,4.87905782275839e-06,"AT1G05450","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G05450)",837046
"125","AT1G05460",352.917238081818,-0.73846612346542,0.110896708705079,0.00235451679969428,0.0104788437396576,"SDE3","P-loop containing nucleoside triphosphate hydrolases superfamily protein(SDE3)",837047
"126","AT1G05470",292.095765609615,-1.12273594756039,0.134373702070578,5.58365479406231e-08,5.07037880456501e-07,"CVP2","DNAse I-like superfamily protein(CVP2)",837048
"127","AT1G05560",904.114506085735,1.51937304795207,0.150000394437749,4.52460193109433e-14,7.69547751349488e-13,"UGT75B1","UDP-glucosyltransferase 75B1(UGT75B1)",837058
"128","AT1G05630",447.800807458045,-0.86774216643213,0.127085971629521,0.000179281780815963,0.000995366435163602,"5PTASE13","Endonuclease/exonuclease/phosphatase family protein(5PTASE13)",837069
"129","AT1G05640",100.379664215847,-1.03662391498343,0.21195410862969,0.00158610428979697,0.00732644184908209,"AT1G05640","Ankyrin repeat family protein(AT1G05640)",837070
"130","AT1G05660",808.268455784001,3.70625015539382,0.200590418862573,1.38043191927518e-61,1.914832659282e-59,"AT1G05660","Pectin lyase-like superfamily protein(AT1G05660)",837073
"131","AT1G05675",27.2647656051826,1.70909799405473,0.660030079161188,0.00951483645083854,0.0367597042000792,"UGT74E1","UDP-Glycosyltransferase superfamily protein(AT1G05675)",10723139
"132","AT1G05680",588.981976475103,4.10702152634205,0.224270423200775,5.15863310069932e-62,7.376526899858e-60,"UGT74E2","Uridine diphosphate glycosyltransferase 74E2(UGT74E2)",837075
"133","AT1G05710",237.937728766467,0.939738875894633,0.166724803877782,0.000869287258320138,0.0042654182035556,"AT1G05710","basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT1G05710)",837078
"134","AT1G05835",231.544680857893,-1.82418799427692,0.237221768911397,6.75291157101717e-10,7.73645878054464e-09,"AT1G05835","PHD finger protein(AT1G05835)",5007665
"135","AT1G05850",15628.1464114079,1.09379810850206,0.0763614330235155,1.61996644103548e-19,4.16498586088646e-18,"CTL1","Chitinase family protein(POM1)",837095
"136","AT1G05880",23.4486308854711,3.99456805646347,0.844756949291736,4.17633519479353e-06,2.9970509537606e-05,"ARI12","RING/U-box superfamily protein(ARI12)",837098
"137","AT1G06040",2520.14581793279,1.16053745095472,0.0713040309132322,3.50719170987454e-26,1.31038864450393e-24,"BBX24","B-box zinc finger family protein(STO)",837113
"138","AT1G06050",145.236056905399,1.07964845626601,0.254209810546471,0.00409357196869972,0.0172570690909789,"AT1G06050","ENHANCED DISEASE RESISTANCE-like protein (DUF1336)(AT1G06050)",837114
"139","AT1G06060",525.3643684284,0.977812894010646,0.0937322394910928,8.41112004330345e-10,9.5231473999572e-09,"AT1G06060","LisH and RanBPM domains containing protein(AT1G06060)",837115
"140","AT1G06080",269.251562671859,-2.39567162694365,0.338502935755401,1.07375562164061e-09,1.2010405106376e-08,"ADS1","delta 9 desaturase 1(ADS1)",837117
"141","AT1G06240",306.293798808874,-0.9189508428364,0.128110939422337,4.45044616159796e-05,0.000273387921860029,"AT1G06240","diiron containing four-helix bundle family ferritin protein, putative (Protein of unknown function DUF455)(AT1G06240)",837134
"142","AT1G06310",36.4144269651926,-2.23477408250755,0.422143410921302,3.19308753137643e-06,2.32311157865374e-05,"ACX3.2","acyl-CoA oxidase 6(ACX6)",837141
"143","AT1G06330",8.77534335349423,-4.94824255904825,2.47201725936697,0.000573318989099764,0.00290230209407693,"AT1G06330","Heavy metal transport/detoxification superfamily protein(AT1G06330)",837144
"144","AT1G06360",514.111752910342,-2.83611690320303,0.245926385223993,8.17096733809723e-24,2.71564502707349e-22,"AT1G06360","Fatty acid desaturase family protein(AT1G06360)",837147
"145","AT1G06420",58.6160747324052,-1.92835439282014,0.369732080404561,9.64425028053092e-06,6.54774495159727e-05,"AT1G06420","DNA ligase-like protein(AT1G06420)",837153
"146","AT1G06490",87.431711182605,-1.17337574069315,0.273712983656306,0.00225591363950044,0.0100806789079915,"CALS7","glucan synthase-like 7(CalS7)",837160
