"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","BP","GO:0015979","photosynthesis","125/3067","224/22026",2.26686931004956e-49,4.74909120455383e-46,3.84413311419983e-46,"ATKEA1/LPA1/PSB27/LPA19/OE23/PSAO/GAPA-2/PnsL2/CP24/NDF1/HCF173/NDF6/LHCA2*1/ATLFNR2/NA/PYG7/AB180/AB165/AB140/RSH4/PRK/ATNSI/GAPB/AtcFBP/Lhca5/AtTLP18.3/NDF5/PSAG/ABC4/ATFD2/LHCA3/ATGPT2/NDF2/RPOD1/RBCS1A/PSBY/STN7/PHYLLO/CRR23/LIL8/LQY1/NA/NA/CP12-3/NA/PSBR/CRR3/PQL3/LHCB2/LHCB2/AtPGR5/PSB29/NA/PSBW/PSBP-2/LHB1B2/LHB1B1/EDA3/NA/PnsL1/ATFER4/TKL2/CPFTSY/CURT1B/CP12/DEG2/ATCYP38/ATBCA1/ATAB2/LHCB4.2/ADS3/NDF4/GAPA/LHCB2/DEG1/CAB4/CGR2/OEC33/SIG3/cfbp1/LHCA1/PDE329/PPL1/SBPASE/PPD6/NA/LHCA2/CP12/TROL/AGY1/MPH2/PETC/MEE51/ATPC1/PSBQ/ATPD/LHCB5/PPD1/DEG5/PAM68/PSBQ/PGR5-LIKE/CRR31/ATCNFU3/PPH1/HCF244/LHCB4.1/OHP/FTRA2/PPD5/ATHMA8/NA/RBCS3B/DEG8/NA/ATFRO7/FUM2/CRR1/LHCB3/LUT2/NA/EMB2728/PSAN/ATLFNR1/MSP-1",125
"GO:0019684","BP","GO:0019684","photosynthesis, light reaction","89/3067","147/22026",2.1298064387697e-39,2.23097224461126e-36,1.80585166992525e-36,"LPA1/PSB27/LPA19/OE23/PSAO/PnsL2/CP24/NDF1/HCF173/NDF6/LHCA2*1/PYG7/AB180/AB165/AB140/RSH4/ATNSI/Lhca5/AtTLP18.3/NDF5/PSAG/ABC4/ATFD2/LHCA3/NDF2/PSBY/STN7/PHYLLO/CRR23/LIL8/LQY1/PSBR/CRR3/PQL3/LHCB2/LHCB2/AtPGR5/PSB29/PSBW/LHB1B2/LHB1B1/EDA3/NA/CPFTSY/CURT1B/DEG2/ATCYP38/ATAB2/LHCB4.2/ADS3/NDF4/LHCB2/DEG1/CAB4/OEC33/cfbp1/LHCA1/PDE329/NA/LHCA2/TROL/MPH2/PETC/ATPC1/PSBQ/ATPD/LHCB5/PPD1/DEG5/PAM68/PSBQ/PGR5-LIKE/CRR31/ATCNFU3/PPH1/HCF244/LHCB4.1/OHP/ATHMA8/DEG8/NA/ATFRO7/CRR1/LHCB3/LUT2/NA/PSAN/ATLFNR1/MSP-1",89
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","141/3067","398/22026",1.13011786917667e-27,7.89198978641708e-25,6.38813995524076e-25,"LPA1/PSB27/c-NAD-MDH1/LPA19/OE23/PSAO/iPGAM1/PGL1/PnsL2/CP24/NDF1/GAPCP-2/HCF173/NDF6/LHCA2*1/PYG7/G6PD3/AB180/AB165/AB140/RSH4/ATNSI/Lhca5/AtTLP18.3/NDF5/PSAG/ABC4/ATFD2/LHCA3/NDF2/PSBY/STN7/PHYLLO/CRR23/LIL8/ENO1/LQY1/PGM/PSBR/PGK/CRR3/PQL3/LHCB2/LHCB2/AtPGR5/ACO3/AtPNP-A/PSB29/AtFBA1/APL4/ATFD3/PSBW/LHB1B2/LHB1B1/EDA3/NA/ATCS/TKL2/CPFTSY/CURT1B/DEG2/ATCYP38/AtUGP1/GAPC/ATAB2/LHCB4.2/NA/ATPPC3/PIFI/ADS3/NDF4/LHCB2/DEG1/CAB4/NA/OEC33/AtFBA8/cfbp1/LHCA1/PDE329/NA/LHCA2/TROL/MPH2/PETC/ATPC1/NDB2/PSBQ/ATPD/CYTC-2/LHCB5/FdC1/PPD1/DEG5/PAM68/PSBQ/PGR5-LIKE/CRR31/ATCNFU3/AtFBA7/AtFBA5/PPH1/ATHXK1/HCF244/IDH-I/AtFBA2/LHCB4.1/OHP/PMDH2/ATFD4/TRA2/AtVDAC-3/ADG2/ATHMA8/G6PD1/DEG8/PGD3/c-NAD-MDH2/NA/NA/PFK2/ATFRO7/FUM2/SDHAF2/ATRBOHC/CRR1/LHCB3/LUT2/NA/EMB2728/PSAN/AOX2/SDH2-3/NA/ATLFNR1/MSP-1/SDH1-1/NAD9/NAD7/NAD5/ORF291",141
"GO:0006979","BP","GO:0006979","response to oxidative stress","138/3067","468/22026",9.59418131281446e-19,5.02495246258658e-16,4.06742791972213e-16,"ATGST1/ATHM1/ATGRXS13/UGT74E2/CDI3/ATCCS/AtPCR2/ATCAT3/NA/EX2/RSH4/PER7/ABCG14/LOL1/NA/ANN1/PRX9/NA/NA/NA/GRI/AtGolS2/AtGolS4/NA/SAQR/TPX2/NA/NA/ATKTI1/ATCDSP32/NA/TAPX/NA/ACO3/NA/NA/AtOZF1/ATGPX1/AtSOD2/NA/NA/ATPAL1/NA/NA/NA/ATFER4/ATWRKY54/ATCYSA/NTRC/AtGolS1/NA/ALPHA-DOX1/GAPC/NA/ATFER2/F6'H1/NA/NA/NA/AGC2/NA/GATL10/AT-POX/ATMAPK3/ZAT7/ATHSP17.4/ATEDS1/ATBT2/ATPCB/NA/AIK1/ATWRKY70/CYP20-3/AtSTS/ATMSRB4/ATMSRB5/ATCRY1/APX4/ATHSP22.0/NDPK3/RMG1/NA/PLDGAMMA2/CLPR4/ATERF6/AtBBE19/ATMSRB8/CRK6/CRK7/ATFSD1/NA/ATMEK1/NA/APX6/Prx47/ADC2/ATSEN1/NA/NA/DREB2/2-Cys/ATPA2/AHK5/HSP17.6II/AT-HSP17.6A/ATCHS/PER57/CSD3/RAP2.11/NA/ATBCB/DIN10/NA/RHS18/DES1/NA/NA/ANAC092/RS5/PER64/NDH18/AtBBE28/NA/ATWRKY8/COR78/NA/ATOXS3/AtOxR/NA/GRXC1/NA/NA/AtPRX71/abc1k8/PRX72/RHS19/ATBT4/ATP1",138
"GO:0009765","BP","GO:0009765","photosynthesis, light harvesting","29/3067","42/22026",5.22894886724388e-16,2.18248710092963e-13,1.76660556191315e-13,"PSB27/PSAO/CP24/LHCA2*1/AB180/AB165/AB140/Lhca5/AtTLP18.3/LHCA3/LQY1/LHCB2/LHCB2/LHB1B2/LHB1B1/DEG2/LHCB4.2/LHCB2/DEG1/CAB4/LHCA1/LHCA2/MPH2/LHCB5/DEG5/LHCB4.1/DEG8/LHCB3/LUT2",29
"GO:0009767","BP","GO:0009767","photosynthetic electron transport chain","35/3067","59/22026",6.25055971626625e-16,2.18248710092963e-13,1.76660556191315e-13,"PSAO/PnsL2/NDF1/NDF6/NDF5/PSAG/ABC4/ATFD2/NDF2/PSBY/CRR23/CRR3/PQL3/AtPGR5/CPFTSY/CURT1B/ADS3/NDF4/OEC33/cfbp1/TROL/PETC/ATPC1/PSBQ/ATPD/PSBQ/PGR5-LIKE/CRR31/PPH1/ATHMA8/ATFRO7/NA/PSAN/ATLFNR1/MSP-1",35
"GO:0009642","BP","GO:0009642","response to light intensity","59/3067","150/22026",1.10392895971417e-14,3.30390167228742e-12,2.67433015654065e-12,"AtLEA14/FBI1/PSB27/AtMYB60/NA/Lhca5/FLAP1/ABS4/ATFD2/LHCA3/ATGPT2/PSBY/STN7/ATMYBL2/LHCB2/LHCB2/AtPGR5/AtSOD2/ATCAL4/AtPIF4/BEN1/CAO/ATF1/DIN4/ADS3/ELIP/LHCB2/ASN1/CAB4/OEC33/AtMYB27/LHCA1/A-PUT2/ATPIRIN1/LHCA2/CYP20-3/AGY1/ATCRY1/ELIP2/FdC1/ABS1/ATERF6/ACBP3/ATFSD1/OHP/ATF2/CSD3/ATBCB/ATCHIA/ATSCP2/HRT/APE2/KUA1/ATHB52/PORA/LHCB3/MRF1/abc1k8/MSP-1",59
"GO:0009409","BP","GO:0009409","response to cold","119/3067","429/22026",3.19778538851021e-14,8.37420048616111e-12,6.77846350117098e-12,"KCS1/CIPK9/ATHM1/ATGLR3.4/KCS3/AtMYB60/CRB/GLP5/iPGAM1/GWD/ICE2/ACR11/ATCAT3/DREB26/RAP2.4/AtSUN3/STMP2/NA/COR413-TM1/PRK/RPL21C/ANN1/GAPB/RAP2.6/Lhca5/LEA7/mMDH1/CPN60B/AtGolS2/LHCA3/RBCS1A/ATICS1/TAPX/AtOCT5/PQL3/LHCB2/LHCB2/ATSYP112/ABX45/LEA/AtCLO3/EMB3113/AKR4C8/ATCAX1/ANNAT4/RCA/ATCYSA/AGL20/AtGolS1/ATBCA1/NA/ATCSLD3/RCI2A/LTI6b/NA/BGLU23/JAL33/AtSWEET16/AtSAMS3/ATRH9/ELIP/SRRP1/GAPA/OLE3/LHCB2/ATMAPK3/CAB4/ATBT2/AIK1/LTI30/XERO1/PSRP2/CP29/cfbp1/LHCA1/AtBG2/LHCA2/CP12/AtPME41/ATGSTF2/AtRbcX1/ATPD/emb2448/ARCK1/ACD6/RPP4/ATRBP31/OLE1/ADC2/SHM1/NA/ATPLAT1/2-Cys/AtLEA4-5/Rap2.6L/AtVDAC-3/AtCor6.6/ATCSLD2/ATBCB/DIN10/TUB8/ATCHIA/AATP1/OLE2/KCS20/MAP18/ATERF-5/FUM2/LTI65/COR78/HCF106/VIN3/AtXTH22/GR-RBP3/EMB2728/TUB3/ANNAT2/AGL68/ATDI8",119
"GO:0009768","BP","GO:0009768","photosynthesis, light harvesting in photosystem I","20/3067","24/22026",4.29715095408841e-14,1.00028124986836e-11,8.09673706086132e-12,"PSAO/CP24/LHCA2*1/AB180/AB165/AB140/Lhca5/LHCA3/LHCB2/LHCB2/LHB1B2/LHB1B1/LHCB4.2/LHCB2/CAB4/LHCA1/LHCA2/LHCB5/LHCB4.1/LHCB3",20
"GO:0036294","BP","GO:0036294","cellular response to decreased oxygen levels","79/3067","241/22026",5.73526332440845e-14,1.09230696951234e-11,8.84163561303541e-12,"ANAC002/NA/ARI12/MAPKKK13/NA/FMO1/NA/AtBBE3/AtBBE6/MPSR1/ATGA2OX2/AtBBE10/EXL1/NA/ATPME1/UCK3/NA/NA/NA/AtPERK9/SAUR78/NA/AtPPsPase1/ATHSP101/CP12-3/ATOPR1/GAL1/RHA2B/ATSERK4/NA/CBP1/AHB1/NA/ATPUMP5/PLA/ATCAMBP25/ATCAL4/NA/NA/NA/HRA1/BTS/ETR2/PRP/HCR1/AGC2/AT-POX/ZAT7/ATHSP17.4/ATPSK3/ATWRKY70/NA/CP12/ATHSP22.0/NA/SGT1A/NA/ACBP3/DIC2/NA/ATXTH18/GAE1/CYP82C2/UGT73B3/DREB2/HSP17.6II/AT-HSP17.6A/NA/ATBCB/DIN10/FLOT1/CBP60G/NA/CYP81F2/AtXTH22/NA/ANAC102/NA/cMCU",79
