"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046906","MF","GO:0046906","tetrapyrrole binding","145/3153","407/22005",2.07364769127476e-27,1.50754187155675e-24,1.29875829085103e-24,"CYP87A2/CP24/BUS1/ATCAT3/AB180/AB165/AB140/PER7/CYP76C6/CYP76C5/NA/ATNR2/CP22/PRX9/NA/LHCA3/CYP89A7/CYP89A6/CYP89A5/CYP96A3/NA/HO3/ADTO1/NA/TAPX/GNR1/LHCB2/LHCB2/ATHNIR/AHB1/NA/NA/PLAT2/CYP96A1/CYP81D7/CYP82F1/CYP707A2/ATC4H/LHB1B2/LHB1B1/CYP710A2/NA/AtHBP2/NA/NA/CYP98A3/CYP718/CYP78A6/CYP709B2/ATTSPO/NA/ALPHA-DOX1/CYP94B2/CYP89A9/LHCB4.2/CYP90D1/CYP72A7/CYP72A8/CYP72A14/NA/CYP705A20/CYP705A22/NA/CYP71B19/CYP71B20/CYP71B22/CYP71B23/CYP71B3/CYP71B24/CYP71B4/CYP71B35/CYP71B37/LHCB2/NA/CYP81D11/NA/CAB4/CYP71A26/CYP71A25/CYP71A24/CYP71A22/ATPCB/NA/AtDWF4/CYP97C1/LHCA1/GUN4/CYP76C7/LHCA2/ATT1/APX4/CYTC-2/LHCB5/NA/CYP706A7/CYP71A19/CYP97B3/CYP702A2/CYP705A2/CYP702A5/NA/AtCLO1/CYP709B3/NA/CYP82C2/APX6/Prx47/ROT3/NA/CYP81D3/CYP81F3/CYP81F4/CYP81F1/NA/CYP96A11/ATPLAT1/LHCB4.1/CYP79A2/CBB3/ATPA2/CYP75B1/PER57/NA/RHS18/CYP714A1/CYP71A15/CYP71B12/CYP71B13/CYP71B14/CYP81D1/ATBR6OX/NA/PER64/CYP71A16/CYTC6A/CYP705A5/CYP708/CYP81F2/CYP71B10/CYP94B1/NA/NA/AtPRX71/PRX72/RHS19",145
"GO:0020037","MF","GO:0020037","heme binding","127/3153","377/22005",1.075725212174e-21,3.91026114625251e-19,3.36871842759754e-19,"CYP87A2/BUS1/ATCAT3/PER7/CYP76C6/CYP76C5/NA/ATNR2/PRX9/NA/CYP89A7/CYP89A6/CYP89A5/CYP96A3/NA/HO3/ADTO1/NA/TAPX/GNR1/ATHNIR/AHB1/NA/NA/PLAT2/CYP96A1/CYP81D7/CYP82F1/CYP707A2/ATC4H/CYP710A2/NA/AtHBP2/NA/NA/CYP98A3/CYP718/CYP78A6/CYP709B2/ATTSPO/NA/ALPHA-DOX1/CYP94B2/CYP89A9/CYP90D1/CYP72A7/CYP72A8/CYP72A14/NA/CYP705A20/CYP705A22/NA/CYP71B19/CYP71B20/CYP71B22/CYP71B23/CYP71B3/CYP71B24/CYP71B4/CYP71B35/CYP71B37/NA/CYP81D11/NA/CYP71A26/CYP71A25/CYP71A24/CYP71A22/ATPCB/NA/AtDWF4/CYP97C1/CYP76C7/ATT1/APX4/CYTC-2/NA/CYP706A7/CYP71A19/CYP97B3/CYP702A2/CYP705A2/CYP702A5/NA/AtCLO1/CYP709B3/NA/CYP82C2/APX6/Prx47/ROT3/NA/CYP81D3/CYP81F3/CYP81F4/CYP81F1/NA/CYP96A11/ATPLAT1/CYP79A2/CBB3/ATPA2/CYP75B1/PER57/NA/RHS18/CYP714A1/CYP71A15/CYP71B12/CYP71B13/CYP71B14/CYP81D1/ATBR6OX/NA/PER64/CYP71A16/CYTC6A/CYP705A5/CYP708/CYP81F2/CYP71B10/CYP94B1/NA/NA/AtPRX71/PRX72/RHS19",127
"GO:0046527","MF","GO:0046527","glucosyltransferase activity","71/3153","192/22005",4.6301678817858e-15,1.12204401668609e-12,9.66649084092124e-13,"ATSPS3F/UGT1/NSH2/UGT74E2/XET/XTH8/ATSS3/AtUGT85A7/AtUGT85A2/AtUGT85A5/ATUGT85A1/XTH30/ATCSLE1/ATXTH17/XTH10/UGT73B5/UGT73B4/ATXTH21/GCS/UGT76D1/UGT71D1/UGT71C2/ATCSLB03/ATSAGT1/ATRGP1/ATCSLD3/ATCSLC06/UGT76B1/UGT88A1/BRT1/UGT71B1/UGT71B8/ATCSLC04/AtXTH31/NA/UGT76E12/NA/NA/NA/ATSUS3/ATCSLC12/ATSPS4F/NA/UGT84A1/UGT84A3/UGT84A4/XTH23/ATXTH14/ATXTH26/MERI-5/ATXTH18/ATXTH19/ANY1/UGT73B3/XTH7/ATCESA3/UGT76C4/CESA5/EXGT-A4/ATCSLD2/UGT78D2/NA/ATXTH20/AtXTH12/AtXTH13/XTH25/AtXTH22/UGT76E2/CESA6/XTH6/UGT72E2",71
"GO:0016684","MF","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","49/3153","118/22005",5.05333972815569e-13,9.18444495592297e-11,7.91246615329642e-11,"ATCAT3/PER7/NA/ANN1/PRX9/ATPER1/NA/NA/TPX2/NA/TAPX/NA/NA/PLAT2/ATGPX1/AtCLO3/NA/NA/NA/NA/NA/NA/NA/ATPCB/NA/APX4/NA/NA/AtCLO1/NA/APX6/Prx47/NA/NA/ATPLAT1/2-Cys/ATPA2/PER57/NA/RHS18/ATPAP26/NA/PER64/ATPXG2/NA/NA/AtPRX71/PRX72/RHS19",49
"GO:0016209","MF","GO:0016209","antioxidant activity","54/3153","139/22005",8.53987378999072e-13,1.15262565555244e-10,9.92995388479986e-11,"ATCAT3/NA/PER7/NA/ANN1/PRX9/ATPER1/NA/NA/TPX2/NA/TAPX/NA/NA/PLAT2/ATGPX1/AtSOD2/NA/NA/NA/NTRC/NA/NA/NA/ATGR1/NA/ATPCB/NA/NA/APX4/NA/ATFSD1/NA/NA/APX6/Prx47/NA/NA/ATPLAT1/2-Cys/ATPA2/PER57/CSD3/NA/RHS18/ATPAP26/NA/PER64/GRXC1/NA/NA/AtPRX71/PRX72/RHS19",54
"GO:0005506","MF","GO:0005506","iron ion binding","96/3153","325/22005",9.51272893165701e-13,1.15262565555244e-10,9.92995388479986e-11,"CER1/CYP87A2/MIOX1/BUS1/NA/CYP76C6/CYP76C5/ATCAO/CYP89A7/CYP89A6/CYP89A5/CYP96A3/NA/ADTO1/P4H5/MIOX2/CYP96A1/CYP81D7/CYP82F1/CYP707A2/ATSMO2/ATC4H/CYP710A2/NA/ATFER4/CYP98A3/CYP718/CYP78A6/CYP709B2/CYP94B2/CYP89A9/ATFER2/CYP90D1/CYP72A7/CYP72A8/CYP72A14/BTS/CYP705A20/CYP705A22/CYP71B19/CYP71B20/CYP71B22/CYP71B23/CYP71B3/CYP71B24/CYP71B4/CYP71B35/CYP71B37/CYP81D11/NA/CYP71A26/CYP71A25/CYP71A24/CYP71A22/AtDWF4/CYP97C1/CYP76C7/ATT1/CYP706A7/CYP71A19/CYP97B3/CYP702A2/CYP705A2/CYP702A5/ATCNFU3/CYP709B3/NA/CYP82C2/NA/ROT3/CYP81D3/CYP81F3/CYP81F4/CYP81F1/CYP96A11/CYP79A2/CBB3/CYP75B1/ENH1/AAO1/CYP714A1/CYP71A15/CYP71B12/CYP71B13/CYP71B14/CYP81D1/ATBR6OX/CYP71A16/CYP705A5/CYP708/NA/B2/CYP81F2/CYP71B10/CLB4/CYP94B1",96
"GO:0005199","MF","GO:0005199","structural constituent of cell wall","22/3153","31/22005",1.38620625464328e-12,1.43967421017952e-10,1.24028980678609e-10,"LRX1/ATEXT3/NA/NA/EXT18/AT-EXP10/LRX2/ATEXT1/LRX10/EXT6/ATEPR1/NA/NA/NA/NA/NA/ATHRGP1/NA/LRX3/EXT12/EXT10/EXT13",22
"GO:0016705","MF","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","109/3153","392/22005",2.07421105081344e-12,1.88493929242672e-10,1.62388891478158e-10,"CER1/NA/FMOGS-OX6/CYP87A2/ATGA3OX1/BUS1/FMO1/ATGA2OX2/CYP76C6/CYP76C5/DRY2/CYP89A7/CYP89A6/CYP89A5/CYP96A3/FMO/NA/HO3/ADTO1/P4H5/CYP96A1/CYP81D7/CYP82F1/CYP707A2/ATSMO2/ATC4H/CYP710A2/NA/CYP98A3/CYP718/CYP78A6/CYP709B2/CYP94B2/AAD2/CYP89A9/S8H/CYP90D1/CYP72A7/CYP72A8/CYP72A14/ADS3/CYP705A20/CYP705A22/CYP71B19/CYP71B20/CYP71B22/CYP71B23/CYP71B3/CYP71B24/CYP71B4/CYP71B35/CYP71B37/CYP81D11/NA/CYP71A26/CYP71A25/CYP71A24/CYP71A22/AtDWF4/F3'H/CYP97C1/ACSF/CYP76C7/ATT1/AOP3/DES-1-LIKE/CYP706A7/CYP71A19/CYP97B3/CYP702A2/CYP705A2/CYP702A5/ANS/AtCLO1/CYP709B3/NA/CYP82C2/NA/ROT3/CYP81D3/CYP81F3/CYP81F4/CYP81F1/CYP96A11/CYP79A2/CBB3/ATGA20OX3/CYP75B1/ATFLS1/SQE5/CYP714A1/CYP71A15/CYP71B12/CYP71B13/CYP71B14/CYP716A2/CYP81D1/ATBR6OX/CYP71A16/NA/CYP705A5/CYP708/AT2353/ATPXG2/LUT2/CYP81F2/CYP71B10/CYP94B1/ABA1",109
"GO:0004601","MF","GO:0004601","peroxidase activity","46/3153","112/22005",4.12168698340363e-12,3.32940715214937e-10,2.8683084855265e-10,"ATCAT3/PER7/NA/ANN1/PRX9/ATPER1/NA/NA/TPX2/NA/TAPX/NA/NA/PLAT2/ATGPX1/NA/NA/NA/NA/NA/NA/NA/ATPCB/NA/APX4/NA/NA/NA/APX6/Prx47/NA/NA/ATPLAT1/2-Cys/ATPA2/PER57/NA/RHS18/ATPAP26/NA/PER64/NA/NA/AtPRX71/PRX72/RHS19",46
"GO:0016762","MF","GO:0016762","xyloglucan:xyloglucosyl transferase activity","21/3153","32/22005",4.6654476591742e-11,3.39178044821964e-09,2.92204353390384e-09,"XET/XTH8/XTH30/ATXTH17/XTH10/ATXTH21/AtXTH31/XTH23/ATXTH14/ATXTH26/MERI-5/ATXTH18/ATXTH19/XTH7/EXGT-A4/ATXTH20/AtXTH12/AtXTH13/XTH25/AtXTH22/XTH6",21
