"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","Description","Entrez"
"1","AT1G01020",251.531568496912,-0.866718165992604,0.15137467348834,0.00137357570139029,0.0102103446323586,"ARV1","ARV1 family protein(ARV1)",839569
"2","AT1G01120",1434.15058989334,1.20868862749291,0.111064908974413,2.20698363650901e-13,5.57886679496618e-12,"KCS1","3-ketoacyl-CoA synthase 1(KCS1)",839395
"3","AT1G01140",1403.43436492962,-0.727801025582855,0.112620703701739,0.0031331806936513,0.0215445865229868,"CIPK9","CBL-interacting protein kinase 9(CIPK9)",839349
"4","AT1G01170",963.573352364677,-0.755804968045386,0.127043254597745,0.00404902126221044,0.0271952884442961,"AT1G01170","ozone-responsive stress-like protein (DUF1138)(AT1G01170)",839263
"5","AT1G01240",780.324152824132,-1.42109606424713,0.109833874468986,9.6905077288745e-21,4.4101847415439e-19,"AT1G01240","transmembrane protein(AT1G01240)",839274
"6","AT1G01300",1809.3662365255,1.00264313409661,0.0992551387893985,1.09678907532288e-09,1.99435701988358e-08,"AT1G01300","Eukaryotic aspartyl protease family protein(AT1G01300)",839375
"7","AT1G01320",9493.01679261062,-0.688206531326605,0.0884595038691626,0.00116210425799801,0.0087651097062359,"AT1G01320","Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G01320)",839293
"8","AT1G01340",168.445067704462,-1.34213242871045,0.265920594233827,0.000127511288447973,0.0011756725664379,"CNGC10","cyclic nucleotide gated channel 10(CNGC10)",838832
"9","AT1G01390",30.2620182263865,-1.4992367929034,0.359879215428566,0.00054695977428675,0.00443105259987047,"UGT72B2","UDP-Glycosyltransferase superfamily protein(AT1G01390)",837790
"10","AT1G01470",2353.25308975101,0.986700887053565,0.127450966265638,2.5943549946324e-06,3.15685713999429e-05,"LEA14","Late embryogenesis abundant protein(LEA14)",837071
"11","AT1G01480",61.4838772031427,2.91566737166322,0.427605878838309,5.37167305174773e-10,1.00629341836074e-08,"ACS2","1-amino-cyclopropane-1-carboxylate synthase 2(ACS2)",837082
"12","AT1G01520",73.880798833873,1.22331061686232,0.243422626838438,0.000273808110448745,0.00236908227608463,"RVE3","Homeodomain-like superfamily protein(ASG4)",839337
"13","AT1G01680",67.5968605962451,-2.42966575050417,0.83682724804859,0.00138205955918315,0.0102639370950276,"PUB54","plant U-box 54(PUB54)",839251
"14","AT1G01720",1382.06170887778,1.15879990048295,0.145125081807493,9.22376298796187e-08,1.35584827473897e-06,"NAC002","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein(ATAF1)",839265
