"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"ath03010","ath03010","Ribosome",319,0.603294912548697,1.99829291369201,1e-10,1.15e-08,9.15789473684211e-09,7573,"tags=75%, list=29%, signal=54%","AT5G40040/AT3G28500/AT5G59240/AT5G09500/AT1G23410/AT2G40205/AT3G09680/AT1G17560/AT4G30800/AT3G06320/AT4G23620/AT5G15520/AT3G06680/AT3G55750/AT1G77750/AT2G18400/AT2G19720/AT3G44590/AT2G40010/AT1G64880/AT1G70600/AT5G22440/AT4G36420/AT5G23535/AT1G09590/AT5G18790/AT3G11120/AT4G31700/AT3G56020/AT2G39390/AT1G18540/AT3G23390/AT5G45775/AT3G18760/AT5G64670/AT5G61170/AT5G47700/AT3G52580/AT3G11250/AT1G59359/AT5G53070/AT4G00810/AT2G27710/AT3G53020/AT2G36620/AT3G55280/AT5G60670/AT3G48930/AT3G60245/AT3G53890/AT2G45710/AT4G37660/AT4G28360/AT3G06700/AT3G10610/AT4G14320/AT2G07734/AT4G34555/AT5G66860/AT1G77940/AT3G62250/AT3G04840/AT1G27400/AT2G32060/AT2G42740/AT3G55170/AT5G39740/AT5G59850/AT5G16130/AT5G58420/AT4G17390/AT3G04230/AT1G23290/AT1G41880/AT1G26740/AT5G56670/AT3G49010/AT1G26880/AT2G20450/AT2G18020/AT2G37190/AT4G29410/AT1G07070/AT3G28900/AT5G57290/AT1G22780/AT4G15000/AT5G02870/AT2G25210/AT5G56710/AT3G04920/AT2G32220/AT5G20180/AT1G26910/AT3G05560/AT1G04270/AT3G16080/AT2G39460/AT4G18100/AT3G09200/AT4G25890/AT3G16780/AT2G43460/AT1G02780/AT3G57490/AT2G47610/AT3G07110/AT5G67510/AT1G58380/AT2G01250/AT2G47110/AT2G19730/AT3G09630/AT2G21580/AT1G09690/AT3G53430/AT3G05590/AT1G48830/AT3G12370/AT5G52650/AT3G47370/AT4G36130/AT1G57660/AT3G25520/AT3G49910/AT4G29390/AT1G16740/AT3G52590/AT5G27850/AT3G03600/AT5G47930/AT2G31610/AT2G44120/AT3G22230/AT2G37270/AT1G80750/AT5G09770/AT1G72370/AT3G61111/AT5G48760/AT5G64140/AT5G39850/AT3G02190/AT2G40590/AT5G46160/AT2G27530/AT5G02960/AT4G16720/AT4G30930/AT3G45030/AT1G14320/AT4G13170/AT4G26230/AT2G19750/AT1G33140/AT3G06040/AT4G00100/AT1G52300/AT5G02450/AT3G56340/AT3G53870/AT3G62870/AT3G49080/AT1G67430/AT2G20060/AT1G33120/AT1G34030/AT1G01100/AT3G01790/AT2G34480/AT1G70190/AT5G07090/AT1G29965/AT2G33370/AT4G29430/AT3G44010/AT5G20290/AT2G27720/AT4G18730/AT2G40510/AT3G60770/AT3G08520/AT3G11510/AT4G10450/AT2G44860/AT5G23740/AT5G15200/AT3G61110/AT1G56045/AT3G13882/AT3G10090/AT5G03850/AT3G59540/AT1G04480/AT4G31985/AT3G18740/AT3G51190/AT1G43170/AT1G57860/AT2G07675/AT3G53740/AT2G04390/AT5G56940/AT4G31460/AT5G35530/AT1G08360/AT3G22300/AT1G49400/AT1G69620/AT4G39880/AT1G58684/AT3G04770/AT5G47320/AT5G09510/AT1G74060/AT3G43980/AT1G74270/AT5G27770/AT5G02610/AT2G41840/AT4G39200/AT2G09990/AT2G37600/AT5G04800/AT2G34520/AT3G09500/AT4G27090/AT3G04400/AT4G25740/AT3G11940/AT4G33865/AT3G24830/AT2G36160/AT3G02560/AT2G05220/AT5G64650/AT2G17360/AT5G27700/AT3G18880"
"ath00196","ath00196","Photosynthesis - antenna proteins",22,-0.84248721568896,-2.34567470926947,4.20299897823355e-08,2.41672441248429e-06,1.92453111108589e-06,2263,"tags=82%, list=9%, signal=75%","AT1G19150/AT3G27690/AT5G54270/AT4G10340/AT3G08940/AT1G45474/AT1G76570/AT2G05070/AT1G61520/AT5G01530/AT3G61470/AT3G47470/AT3G54890/AT2G05100/AT2G34420/AT1G29920/AT1G29930/AT2G34430"
"ath00073","ath00073","Cutin, suberine and wax biosynthesis",33,0.804268036295995,2.05150433388225,3.93175827529053e-07,1.50717400552803e-05,1.20022094719395e-05,2147,"tags=39%, list=8%, signal=36%","AT5G55240/AT4G26740/AT1G63710/AT1G02190/AT5G37300/AT4G33790/AT1G72970/AT1G02205/AT3G10570/AT1G11600/AT1G01600/AT5G22500/AT3G44550"
"ath00940","ath00940","Phenylpropanoid biosynthesis",171,0.54745123884168,1.74387301501245,4.18810217272337e-06,0.000120407937465797,9.58854971123507e-05,3365,"tags=33%, list=13%, signal=29%","AT1G77100/AT3G21370/AT1G48130/AT4G21760/AT1G34510/AT5G28510/AT3G49960/AT5G09640/AT5G22410/AT1G55290/AT5G67400/AT4G22100/AT1G30870/AT1G45191/AT1G24735/AT1G65060/AT2G24800/AT5G58390/AT4G26010/AT3G62740/AT2G43480/AT5G51890/AT2G39040/AT1G66270/AT1G49570/AT4G31760/AT4G37970/AT5G26310/AT3G13610/AT4G39330/AT5G66690/AT4G08780/AT3G49110/AT2G38390/AT4G11290/AT1G05240/AT2G39420/AT2G44450/AT1G74550/AT5G17820/AT2G41480/AT5G40150/AT1G14550/AT1G05260/AT4G21960/AT3G21240/AT4G36220/AT2G34790/AT1G66280/AT3G21230/AT3G21560/AT5G19880/AT5G15180/AT3G47050/AT3G18080/AT4G33870"
"ath00966","ath00966","Glucosinolate biosynthesis",26,0.787297823669587,1.91109958456906,1.63913845398628e-05,0.000360043294661172,0.000286716399409812,1681,"tags=54%, list=6%, signal=50%","AT1G16410/AT3G58990/AT1G16400/AT3G19710/AT5G23010/AT2G43100/AT4G13770/AT5G14200/AT5G23020/AT1G50090/AT5G05260/AT1G18590/AT4G39950/AT1G50110"
"ath01210","ath01210","2-Oxocarboxylic acid metabolism",72,0.635295979979875,1.83883004207226,1.87848675475394e-05,0.000360043294661172,0.000286716399409812,1681,"tags=19%, list=6%, signal=18%","AT1G16410/AT3G58990/AT1G16400/AT3G02020/AT3G19710/AT5G23010/AT2G43100/AT4G13770/AT5G14200/AT5G23020/AT1G50090/AT5G05260/AT4G39950/AT1G50110"
"ath00195","ath00195","Photosynthesis",46,-0.589455685845631,-1.95277474050635,0.00020152294155924,0.0033107340399018,0.00263646555122615,4146,"tags=76%, list=16%, signal=64%","AT4G28660/AT4G14890/AT1G67740/AT1G52230/AT3G01440/AT4G02770/AT1G76100/AT4G21280/AT1G08380/AT4G05180/AT1G30380/AT4G09650/AT3G16140/AT4G12800/AT1G06680/AT2G20260/AT5G66570/AT1G20020/AT1G55670/AT5G66190/AT4G32260/AT1G03600/AT4G28750/AT2G30570/AT4G04640/AT3G50820/AT1G20340/AT1G03130/AT1G79040/AT4G03280/AT3G55330/AT1G31330/AT1G60950/AT1G14150/AT5G64040"
"ath04136","ath04136","Autophagy - other",41,-0.613130436103688,-1.98881654388398,0.000238335795178941,0.00342607705569727,0.00272831765533787,8447,"tags=76%, list=32%, signal=51%","AT2G05630/AT3G06420/AT3G61710/AT5G45900/AT1G10430/AT3G59950/AT1G60490/AT1G50030/AT5G61500/AT2G42500/AT3G15580/AT5G66930/AT1G62040/AT2G31260/AT5G50230/AT3G58500/AT3G08850/AT1G54210/AT4G30790/AT4G21980/AT1G59830/AT4G29380/AT3G53930/AT4G16520/AT3G49590/AT2G44140/AT5G17290/AT2G37840/AT3G19190/AT4G04620/AT2G45170"
"ath03030","ath03030","DNA replication",47,0.656484560631331,1.79361043176989,0.000301177932455784,0.00384838469249058,0.00306461755832202,6079,"tags=64%, list=23%, signal=49%","AT1G07370/AT3G52630/AT5G61000/AT5G08020/AT1G23750/AT1G44900/AT5G44635/AT5G46280/AT2G16440/AT3G18580/AT2G29570/AT2G07690/AT4G02060/AT1G67630/AT2G42120/AT2G24490/AT5G67100/AT5G26680/AT4G20325/AT5G41880/AT1G63160/AT1G67320/AT3G02920/AT2G39440/AT2G27470/AT5G45400/AT1G08130/AT5G22110/AT5G63960/AT1G08260"
"ath03050","ath03050","Proteasome",61,0.587112743696198,1.67546874730436,0.00119218412202191,0.0137101174032519,0.0109178966964112,9422,"tags=84%, list=36%, signal=54%","AT5G42040/AT5G64760/AT4G14800/AT1G09100/AT4G19006/AT3G26340/AT1G67250/AT3G27430/AT4G29040/AT5G43010/AT2G20140/AT1G56450/AT3G11270/AT5G20000/AT5G45010/AT4G28470/AT2G20580/AT2G27020/AT4G31300/AT1G47250/AT1G21720/AT5G19990/AT1G64750/AT3G51260/AT1G13060/AT1G53850/AT5G23540/AT4G38630/AT4G24820/AT1G20200/AT3G22630/AT5G45620/AT3G14290/AT1G79210/AT5G35590/AT1G77440/AT2G05840/AT5G05780/AT1G16470/AT1G53750/AT5G09900/AT1G75990/AT1G64520/AT2G32730/AT5G58290/AT5G40580/AT1G45000/AT5G42790/AT3G53970/AT3G60820/AT4G15165"
