"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","BP","GO:0015979","photosynthesis","154/7774","224/22026",1.48016746361897e-24,3.60124743898495e-21,2.78271483160366e-21,"ATKEA1/LPA1/PSB27/LPA19/OE23/PSAO/NA/GAPA-2/PnsL2/CP24/NDF1/HCF173/NDF6/LHCA2*1/ATLFNR2/NA/AB165/AB140/PRK/ATNSI/OHP2/GAPB/AtcFBP/Lhca5/FTSH1/NA/AtTLP18.3/NDF5/ZKT/PSAG/ATFD2/LHCA3/ATGPT2/NDF2/APO1/RPOD1/RBCS1A/PSBY/CSK/STN7/CRR23/LIL8/LPA3/AtBBX21/LQY1/NA/NA/CP12-3/AtLHCB7/NA/PSBR/CRR3/LHCB2/LHCB2/AtPGR5/PSB29/SEP2/NA/PSBW/FTSH2/LHB1B2/LHB1B1/EDA3/NA/PnsL1/LHCB4.3/ATFER4/TKL2/VCCN2/CURT1B/CP12/PnsL3/ATCYP38/ATBCA1/DEG7/EMB3119/ATAB2/LHCB4.2/PGK1/MAT1/ADS3/GAPA/LHCB2/DEG1/LPE1/CAB4/CGR2/OEC33/SIG3/cfbp1/ATPUMP1/LHCA1/PDE329/PPL1/SBPASE/PPD6/NA/AtTKL1/LHCA2/CP12/NA/NA/TROL/AGY1/AT-RSH1/MPH2/PETC/MEE51/ATPC1/ATKEA3/PSBQ/ATPD/LHCB5/PGRL1B/PPD1/DEG5/NA/PSBQ/PGR5-LIKE/CRR31/ATCNFU3/NARA5/PPH1/FAD6/ABC1K1/HCF244/LTO1/TAAC/LHCB4.1/ATFER1/STN8/OHP/FTRA2/PPD5/ATHMA8/FTRA1/ATSIG5/AMOS1/RBCS3B/FTSH5/AtCEST/NA/ATFRO7/FUM2/CRR1/LHCB3/NA/EMB2728/PSAN/CGR3/ATLFNR1/MSP-1/PSBA/YCF9",154
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","233/7774","398/22026",1.36904713606771e-21,1.66544584102637e-18,1.28690430790364e-18,"LPA1/AtBE2/PSB27/LPA19/OE23/PSAO/SDH6/iPGAM1/GAPC-2/PGL1/PnsL2/NA/NA/CP24/NDF1/GAPCP-2/NA/HCF173/NDF6/LHCA2*1/NA/NA/ATCYTC-A/G6PD3/APL2/AB165/AB140/ATNSI/OHP2/Lhca5/FTSH1/ATHKL1/NA/ATPEPC1/NA/AtTLP18.3/NDF5/ZKT/PSAG/ATFD2/LHCA3/PGD1/NDF2/PSBY/STN7/CRR23/LIL8/NA/LPA3/ENO1/LQY1/AtLHCB7/ADH/PGM/PSBR/GAPCP-1/PGK/NA/AtFBA3/RPI2/CRR3/LHCB2/LHCB2/AtPGR5/ACO3/ATHXK2/NA/PSB29/AtFBA1/APL4/SEP2/PFK5/NA/ATFD3/PSBW/FTSH2/LHB1B2/LHB1B1/EDA3/NA/ENO2/NA/LHCB4.3/ETFQO/ATCS/TKL2/VCCN2/SDH8/SDH4/CURT1B/FUM1/PnsL3/ATCYP38/NA/PGD2/AtUGP1/DEG7/GAPC/EMB3119/NA/ATAB2/iPGAM2/LHCB4.2/IDH-VI/NA/PGK1/ATPPC3/NA/PIFI/ADS3/BE1/NA/PKP-ALPHA/NA/NA/G6PD5/LHCB2/DEG1/PHS1/AtKIN14h/LPE1/ATPHS2/CAB4/SDH7/NA/OEC33/NA/AtFBA8/NA/cfbp1/ASML1/LHCA1/PDE329/NA/ATCTIMC/NA/AtTKL1/LHCA2/NA/TROL/MPH2/NA/PETC/ATPC1/NDB2/PSBQ/ATPD/LHCB5/PGRL1B/FdC1/PPD1/DEG5/NA/PSBQ/IM/PGR5-LIKE/CRR31/PGI/ATCNFU3/PFK3/AtFBA5/PPH1/ATHXK1/FAD6/ABC1K1/SDH3-2/NA/PFK6/AtCIB22/HCF244/IDH-I/LTO1/AtFBA2/APL3/TAAC/LHCB4.1/STN8/OHP/IDH-V/NA/NA/NA/NA/SDH3-1/PMDH2/ATFD4/NA/G6PD2/TRA2/RISP/ATP5/AtVDAC-3/PCO1/NA/ADG2/ATHMA8/NA/ATSIG5/PGL5/AMOS1/G6PD1/CI76/G6PD6/PGD3/FTSH5/c-NAD-MDH2/ADH2/NA/AtCEST/NA/ATFRO7/FUM2/ATRBOHC/CRR1/NA/LHCB3/NA/PFK7/NA/EMB2728/SDH7/NA/PSAN/AOX2/SDH2-3/NA/ATLFNR1/MSP-1/SDH1-1/PSBA/YCF9/AthCF1beta/NAD7",233
"GO:0019684","BP","GO:0019684","photosynthesis, light reaction","104/7774","147/22026",1.84887315798726e-18,1.49943613112767e-15,1.15862717900535e-15,"LPA1/PSB27/LPA19/OE23/PSAO/PnsL2/CP24/NDF1/HCF173/NDF6/LHCA2*1/AB165/AB140/ATNSI/OHP2/Lhca5/FTSH1/NA/AtTLP18.3/NDF5/ZKT/PSAG/ATFD2/LHCA3/NDF2/PSBY/STN7/CRR23/LIL8/LPA3/LQY1/AtLHCB7/PSBR/CRR3/LHCB2/LHCB2/AtPGR5/PSB29/SEP2/PSBW/FTSH2/LHB1B2/LHB1B1/EDA3/NA/LHCB4.3/VCCN2/CURT1B/PnsL3/ATCYP38/DEG7/ATAB2/LHCB4.2/ADS3/LHCB2/DEG1/LPE1/CAB4/OEC33/cfbp1/LHCA1/PDE329/NA/LHCA2/NA/TROL/MPH2/PETC/ATPC1/PSBQ/ATPD/LHCB5/PGRL1B/PPD1/DEG5/NA/PSBQ/PGR5-LIKE/CRR31/ATCNFU3/PPH1/FAD6/ABC1K1/HCF244/LTO1/TAAC/LHCB4.1/STN8/OHP/ATHMA8/ATSIG5/AMOS1/FTSH5/AtCEST/NA/ATFRO7/CRR1/LHCB3/NA/PSAN/ATLFNR1/MSP-1/PSBA/YCF9",104
"GO:0019748","BP","GO:0019748","secondary metabolic process","205/7774","363/22026",9.03555873905831e-17,5.49587860303222e-14,4.2467126073574e-14,"ATGSTF5/ATGSTF4/DAISY/AtHMGB15/ATCTL1/APX1/ATGSTU18/FMOGS-OX6/NA/KFB01/ATCCR1/CYP79F2/BUS1/ATGSTU25/ATGSTU26/AtMYB51/ATSOT17/ATPUB44/IGMT1/ATMYB3/UGT74B1/ATGSTU13/ATGSTU14/NA/ATPRR1/AtGXMT1/BGLU34/ATE2F2/ATGSTF14/BCAT6/ABA2/ATBG1/ATGSTU28/ESP/ATMYB72/ATGSTU16/ABCG36/BGLU46/FMO/FMO/BDG1/4CL3/FMO/AtMYB20/BGLU21/BGLU22/CCOAMT/GIS3/ATMYBL2/scpl6/scpl2/scpl4/ATSOT18/ATSOT16/IGMT5/DF1/ATGSTU23/ATGSTU22/ATGSTU20/ATGSTU19/KFB20/ATHB21/ATNRP1/AKN1/ALF1/ATCAD2/CYP79B3/PRX17/AtGRF1/FPT1/SCPL13/SCPL8/scpl10/SCPL9/GSL-OH/ATGSTU7/ATGSTU6/AT103-1A/ATGSTU2/WRKY21/CYP71A13/ATGSTF7/ATGSTF10/BGLU33/ATNSP2/ATPAL1/ATLMCO4/ATBZIP12/AtPRX25/ATLEUD1/ATMAPK6/ATHOL1/KFB39/BGLU15/BGLU28/BGLU26/ANAC043/ATGSTF5/CLI1/ATGSTF11/ATGSTU8/SCPL7/ATGPAT5/scpl16/SCPL15/F6'H1/ESM1/ATMLP-470/NSP4/ATCTL2/AtSAMS3/ABF4/BCAT4/CBB1/4CL5/4CL2/BGLU19/BRT1/FUS3/CLE25/ATGSTU27/AtNIT3/FAR5/ATPAD4/TCF1/ATWRKY70/IPMI1/AtKFB50/BGLU16/BGLU30/ATGSTF13/ATBZIP54/AOP3/AOP/AtTT8/BASS5/scpl20/CYP83A1/ATB'/MYB39/ATCESA8/AtMYB85/ANS/AR1/GH3.5/GGP1/ATH1/CER4/CCoAOMT1/CER9/CYP84A1/ATMYB73/CYP81F3/CYP81F4/CYP81F1/ANT/ATCAD6/ATCAD7/AtPCBER1/ATCAD9/AKN2/CYP79B2/LAC11/DIV2/CYP79A2/AtTudor1/ATMYB29/AtMYB76/MYBS2/SCPL19/Rap2.6L/TRA2/ATCHS/ATIMD1/AtMYB43/ATGSTF12/ATBCB/FAR1/GSM1/IMS2/BGLU37/BGLU24/scpl1/BGLU42/ATGSTT1/ATERF-9/ATLAC15/AtNSP5/ATSDI1/NA/bHLH105/CYP81F2/ATLAC17/AtATR1/AtMYB28/DEWAX/AtTudor2/ATGSTU9/FACT/ANAC102/AtPRX71/ATHB25/bHLH093/PRX72/UGT72E2",205
"GO:0009415","BP","GO:0009415","response to water","225/7774","408/22026",1.19145338669014e-16,5.7976121796342e-14,4.47986473395491e-14,"PIP1;3/CER1/ATCSLD5/AtLEA3/AT-PHH1/RCI3/ATCTL1/AtMYB60/ESL1/ERD6/CRB/AtNPF6.3/AFP2/ADAP/UBC34/LRK10L1.1/AtCOR47/ERD10/RAP2.4/STMP2/AHK3/NA/ATNCED5/ATCIPK23/AtLrgB/ATP8/AtLEA4-1/AT-GTL1/ANN1/TG/RAP2.6/RD21/ATPER1/ABA2/ATBG1/LEA7/ANAC019/ALDH7B4/NF-YA5/ATDI19/AtGolS2/ABCG36/VI1/ATMGL/BDG1/STMP3/STMP4/STMP6/LDAP1/ATHPR1/PPRT1/ATWRKY57/ATHVA22C/ATDR4/ATHVA22A/ATCDSP32/ERD14/ADH/AtWIND1/ATGSTU19/AtOCT5/ABC1K3/DRS1/AHK4/AtMYB88/LHCB2/LHCB2/ATGRP-3/AtPGR5/HIS1-3/PSB29/LEA/ATSEH/HIS4/ATLAC2/ATGSTF10/YUC7/AtLEA4-2/AtPUB23/ABI5/ATPAL1/AKR4C8/AtLtpI-5/ANNAT4/ANN3/ATP5CS/ABI4/ATWRKY54/ATCYSA/ATBZIP12/BHLH100/CID1/GPDHC1/AtCOR15A/AtMAX2/LEA26/ATHH2/LEA27/ATHB-7/ATMYB2/LDAP2/CLI1/ABR/ANAC047/EGR1/RECQI1/ATBPM2/AtLtpI-6/AtMDAR3/AIF/ATCYS6/SAP5/AtEWR1/ANAC055/AtTCTP1/ARR1/UBC32/CARK1/ASPG1/ABF4/AZF2/APUM5/ATERF-7/AtOCT4/ATRH9/AXR2/AtGRP4/FMA/ATMBF1C/AOC1/LHCB2/AFL1/CLE25/PHS1/AT-POX/ATLOX2/Raf43/ATPHS2/ATMYB94/ALDH10A9/SNRK2-2/ATCML9/AtPUB22/AtPIP2;1/AtSDIR1/ATWRKY70/AtREM4.1/ATPIP1/EDL3/ATCCD1/RHS13/MASP1/AtRbcX1/MPC2L/ATCRY1/ARCK1/ATGRP2/ATDI21/ATCESA8/ATPCAP1/PIP1;5/AIRP1/NLP7/AtHsp90-7/ATHVA22D/ATCBF3/ATCBF1/ANAC072/AtTYDC/AtHSPR/ABC1K1/ARR10/CER9/ALDH3/ATXDH1/ABIG1/NA/RD19/ATPLAT1/CYP79B2/DREB2/UGT76C2/AtLEA4-5/ATMYB29/AtMYB76/MYBS2/ANN7/ATCYS1/Rap2.6L/RGLG2/KIN1/AtCor6.6/GSM1/ATRD22/ATSTP13/CBP60G/EGR2/AHK2/PDH2/AATP1/RS5/AtCEST/ATBI-1/AtLSM5/AAP6/AtDTX50/LTI65/COR78/HCF106/SPCH/AtHsp90.2/ATTIL/ATPLC/HAI1/AtLtpI-11/LTP3/DEWAX/AAP4/ALX8/ANNAT2/XTH6/ATDI8/SNRK2-3/ABA1/ATMYB44",225
"GO:0001101","BP","GO:0001101","response to acid chemical","239/7774","440/22026",1.49739973895966e-16,6.07195594148144e-14,4.69185251540695e-14,"PIP1;3/CER1/ATCSLD5/AtLEA3/AT-PHH1/ATGLR3.4/RCI3/ATCTL1/AtMYB60/ESL1/ERD6/CRB/AtNPF6.3/AFP2/ADAP/UBC34/LRK10L1.1/AtCOR47/ERD10/RAP2.4/STMP2/AHK3/NA/ATNCED5/ATCIPK23/AtLrgB/ATP8/AtLEA4-1/AT-GTL1/ANN1/TG/ATGLR3.3/RAP2.6/RD21/ATPER1/ABA2/ATBG1/LEA7/ANAC019/ALDH7B4/NF-YA5/ATDI19/AtGolS2/ABCG36/VI1/ATMGL/BDG1/STMP3/STMP4/STMP6/LDAP1/ATHPR1/PPRT1/ATWRKY57/ATHVA22C/ATDR4/ATHVA22A/ATCDSP32/ERD14/ADH/AtWIND1/ATGSTU19/AtOCT5/ABC1K3/DRS1/AHK4/AtMYB88/LHCB2/LHCB2/ATGRP-3/AtPGR5/HIS1-3/PSB29/LEA/ATSEH/HIS4/ATGLR2.9/ATGLR2.7/ATLAC2/ATGSTF10/ATGLR3.7/YUC7/AtLEA4-2/AtPUB23/ABI5/ATPAL1/AKR4C8/AtLtpI-5/ANNAT4/ANN3/ATP5CS/ABI4/ATWRKY54/ATCYSA/ATBZIP12/BHLH100/CID1/GPDHC1/AtCOR15A/AtMAX2/ATMAPK6/LEA26/ATHH2/LEA27/ATHB-7/ATMYB2/LDAP2/CLI1/ABR/ANAC047/ATGLR1.1/EGR1/RECQI1/ATBPM2/AtLtpI-6/ATRAPTOR1B/AtMDAR3/AIF/ATCYS6/SAP5/AtEWR1/ANAC055/AtTCTP1/ARR1/UBC32/CARK1/ASPG1/ABF4/AZF2/APUM5/ATERF-7/AtOCT4/ATRH9/AXR2/AtGRP4/FMA/ATMBF1C/AOC1/LHCB2/AFL1/CLE25/PHS1/AT-POX/ATLOX2/Raf43/ATPHS2/ATMYB94/ALDH10A9/SNRK2-2/ATCML9/AtPUB22/AtPIP2;1/ATMKP1/AtSDIR1/ATWRKY70/AtREM4.1/ATPIP1/EDL3/ATCCD1/RHS13/MASP1/AtRbcX1/MPC2L/MAPKKK9/ARAKIN/ATCRY1/ARCK1/ATGRP2/ATDI21/ATCESA8/ATPCAP1/PIP1;5/AIRP1/NLP7/AtHsp90-7/ATHVA22D/ATCBF3/ATCBF1/ANAC072/AtTYDC/AtHSPR/ABC1K1/ARR10/CER9/ALDH3/ATXDH1/ABIG1/NA/RD19/ATPLAT1/CYP79B2/DREB2/UGT76C2/AtLEA4-5/ATMYB29/AtMYB76/MYBS2/ANN7/ATCYS1/Rap2.6L/RGLG2/KIN1/AtCor6.6/GSM1/ATRD22/ATSTP13/CBP60G/EGR2/AHK2/PDH2/AATP1/RS5/AtCEST/AtNPF5.2/ATBI-1/ATGLR1.2/ATGLR1.3/AtLSM5/AAP6/AtDTX50/LTI65/COR78/HCF106/SPCH/AtHsp90.2/ATTIL/ATPLC/HAI1/AtLtpI-11/LTP3/DEWAX/AAP4/ALX8/ANNAT2/XTH6/ATDI8/SNRK2-3/ABA1/ATMYB44",239
"GO:0009414","BP","GO:0009414","response to water deprivation","219/7774","398/22026",4.22824704654325e-16,1.46961786631996e-13,1.13558634964304e-13,"PIP1;3/CER1/ATCSLD5/AtLEA3/AT-PHH1/RCI3/ATCTL1/AtMYB60/ESL1/ERD6/CRB/AtNPF6.3/AFP2/ADAP/UBC34/LRK10L1.1/AtCOR47/ERD10/RAP2.4/STMP2/AHK3/NA/ATNCED5/ATCIPK23/AtLrgB/ATP8/AtLEA4-1/AT-GTL1/ANN1/RAP2.6/RD21/ATPER1/ABA2/ATBG1/LEA7/ANAC019/ALDH7B4/NF-YA5/ATDI19/AtGolS2/ABCG36/VI1/ATMGL/BDG1/STMP3/STMP4/STMP6/LDAP1/ATHPR1/PPRT1/ATWRKY57/ATHVA22C/ATDR4/ATHVA22A/ATCDSP32/ERD14/ADH/AtWIND1/ATGSTU19/AtOCT5/ABC1K3/DRS1/AHK4/AtMYB88/LHCB2/LHCB2/ATGRP-3/AtPGR5/HIS1-3/PSB29/LEA/ATSEH/HIS4/ATLAC2/ATGSTF10/YUC7/AtLEA4-2/AtPUB23/ABI5/ATPAL1/AKR4C8/AtLtpI-5/ANNAT4/ANN3/ATP5CS/ABI4/ATWRKY54/ATCYSA/ATBZIP12/BHLH100/CID1/AtCOR15A/AtMAX2/LEA26/ATHH2/LEA27/ATHB-7/ATMYB2/LDAP2/CLI1/ABR/EGR1/RECQI1/ATBPM2/AtLtpI-6/AtMDAR3/AIF/ATCYS6/SAP5/AtEWR1/ANAC055/AtTCTP1/ARR1/UBC32/CARK1/ASPG1/ABF4/AZF2/APUM5/ATERF-7/AtOCT4/ATRH9/AXR2/AtGRP4/ATMBF1C/AOC1/LHCB2/AFL1/CLE25/PHS1/AT-POX/ATLOX2/Raf43/ATPHS2/ATMYB94/ALDH10A9/SNRK2-2/ATCML9/AtPUB22/AtPIP2;1/AtSDIR1/ATWRKY70/AtREM4.1/ATPIP1/EDL3/ATCCD1/MASP1/AtRbcX1/MPC2L/ATCRY1/ARCK1/ATGRP2/ATDI21/ATCESA8/ATPCAP1/PIP1;5/AIRP1/NLP7/AtHsp90-7/ATHVA22D/ATCBF3/ATCBF1/ANAC072/AtTYDC/AtHSPR/ABC1K1/ARR10/CER9/ALDH3/ATXDH1/ABIG1/NA/RD19/ATPLAT1/CYP79B2/DREB2/UGT76C2/AtLEA4-5/ATMYB29/AtMYB76/MYBS2/ANN7/ATCYS1/Rap2.6L/RGLG2/KIN1/AtCor6.6/GSM1/ATRD22/ATSTP13/CBP60G/EGR2/AHK2/PDH2/AATP1/RS5/AtCEST/ATBI-1/AtLSM5/AAP6/AtDTX50/LTI65/COR78/HCF106/AtHsp90.2/ATTIL/ATPLC/HAI1/AtLtpI-11/LTP3/DEWAX/AAP4/ALX8/ANNAT2/XTH6/ATDI8/SNRK2-3/ABA1/ATMYB44",219
"GO:0036294","BP","GO:0036294","cellular response to decreased oxygen levels","145/7774","241/22026",2.46238239284152e-15,6.65664040198158e-13,5.14364322060229e-13,"ANAC002/SAP2/NA/ARI12/MAPKKK13/(AT)SRC2/NA/AtRAV1/NA/NA/NA/FMO1/NA/NA/AUF2/HHO3/AtTEM1/NA/AtBBE3/AtBBE6/MPSR1/AtBBE10/NA/AtSTOP1/EXL1/AAD6/NA/ATPME1/NA/UCK3/NA/DRAL/AtPP2-A11/STMP5/NA/LDAP1/NA/HHO2/AtPERK9/AtRAV2/NA/SAUR78/NA/AtPPsPase1/CP12-3/NA/CML39/ATOPR1/ADH/NA/GAL1/RHA2B/ATSERK4/NA/CBP1/AHB1/NA/ATPUMP5/NA/IQM4/PLA/NA/DOGT1/ATHSPRO2/ATCAL4/CID1/ATPI4K/AtERF71/ATGSTF5/AtGDPD1/LBD41/HRU1/NA/NA/NA/HRA1/DJC66/BTS/NA/ATMBF1C/NA/AT-POX/ATSUS4/NA/ZAT7/ATHSP17.4/SRO4/ATPSK3/ATMES10/ATWRKY70/CP12/AtWRKY22/ATHSP22.0/WIP3/AT-HSFB2B/NA/AtBBE22/SGT1A/NA/ACBP3/PFK3/CBSX5/ATRMA3/ATXTH18/NA/AtPDC1/WIP5/UGT73B3/NA/STY46/NA/AtZAT6/DREB2/AT-HSP17.6A/PCO1/NA/NA/NA/AAT2/ATSPX1/ATBCB/DIN10/NA/AtDMR6/FLOT1/CBP60G/ATL31/PCO2/AtGDPD2/NA/NA/NA/ATRBOHD/NA/CYP81F2/AtXTH22/ATTIL/NA/SRO5/NA/ANAC102/EXL2/NA/cMCU/NA",145
"GO:0071453","BP","GO:0071453","cellular response to oxygen levels","145/7774","241/22026",2.46238239284152e-15,6.65664040198158e-13,5.14364322060229e-13,"ANAC002/SAP2/NA/ARI12/MAPKKK13/(AT)SRC2/NA/AtRAV1/NA/NA/NA/FMO1/NA/NA/AUF2/HHO3/AtTEM1/NA/AtBBE3/AtBBE6/MPSR1/AtBBE10/NA/AtSTOP1/EXL1/AAD6/NA/ATPME1/NA/UCK3/NA/DRAL/AtPP2-A11/STMP5/NA/LDAP1/NA/HHO2/AtPERK9/AtRAV2/NA/SAUR78/NA/AtPPsPase1/CP12-3/NA/CML39/ATOPR1/ADH/NA/GAL1/RHA2B/ATSERK4/NA/CBP1/AHB1/NA/ATPUMP5/NA/IQM4/PLA/NA/DOGT1/ATHSPRO2/ATCAL4/CID1/ATPI4K/AtERF71/ATGSTF5/AtGDPD1/LBD41/HRU1/NA/NA/NA/HRA1/DJC66/BTS/NA/ATMBF1C/NA/AT-POX/ATSUS4/NA/ZAT7/ATHSP17.4/SRO4/ATPSK3/ATMES10/ATWRKY70/CP12/AtWRKY22/ATHSP22.0/WIP3/AT-HSFB2B/NA/AtBBE22/SGT1A/NA/ACBP3/PFK3/CBSX5/ATRMA3/ATXTH18/NA/AtPDC1/WIP5/UGT73B3/NA/STY46/NA/AtZAT6/DREB2/AT-HSP17.6A/PCO1/NA/NA/NA/AAT2/ATSPX1/ATBCB/DIN10/NA/AtDMR6/FLOT1/CBP60G/ATL31/PCO2/AtGDPD2/NA/NA/NA/ATRBOHD/NA/CYP81F2/AtXTH22/ATTIL/NA/SRO5/NA/ANAC102/EXL2/NA/cMCU/NA",145
"GO:0071456","BP","GO:0071456","cellular response to hypoxia","143/7774","239/22026",7.30140740655464e-15,1.77643242201474e-12,1.37266459243227e-12,"ANAC002/SAP2/NA/ARI12/MAPKKK13/(AT)SRC2/NA/AtRAV1/NA/NA/NA/FMO1/NA/NA/AUF2/HHO3/AtTEM1/NA/AtBBE3/AtBBE6/MPSR1/AtBBE10/NA/AtSTOP1/EXL1/AAD6/NA/ATPME1/NA/UCK3/NA/DRAL/AtPP2-A11/STMP5/NA/LDAP1/NA/HHO2/AtPERK9/AtRAV2/NA/SAUR78/NA/AtPPsPase1/NA/CML39/ATOPR1/ADH/NA/GAL1/RHA2B/ATSERK4/NA/CBP1/AHB1/NA/ATPUMP5/NA/IQM4/PLA/NA/DOGT1/ATHSPRO2/ATCAL4/CID1/ATPI4K/AtERF71/ATGSTF5/AtGDPD1/LBD41/HRU1/NA/NA/NA/HRA1/DJC66/BTS/NA/ATMBF1C/NA/AT-POX/ATSUS4/NA/ZAT7/ATHSP17.4/SRO4/ATPSK3/ATMES10/ATWRKY70/AtWRKY22/ATHSP22.0/WIP3/AT-HSFB2B/NA/AtBBE22/SGT1A/NA/ACBP3/PFK3/CBSX5/ATRMA3/ATXTH18/NA/AtPDC1/WIP5/UGT73B3/NA/STY46/NA/AtZAT6/DREB2/AT-HSP17.6A/PCO1/NA/NA/NA/AAT2/ATSPX1/ATBCB/DIN10/NA/AtDMR6/FLOT1/CBP60G/ATL31/PCO2/AtGDPD2/NA/NA/NA/ATRBOHD/NA/CYP81F2/AtXTH22/ATTIL/NA/SRO5/NA/ANAC102/EXL2/NA/cMCU/NA",143
