"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome","187/7882","318/22005",3.98596133263842e-17,3.22862867943712e-14,2.69367071110933e-14,"RPP1.1/emb2386/RPS15/NA/EMB2394/NA/NA/NA/NA/NA/RPL10/DECOY/NA/NA/NA/HLL/NA/RPL27A/NA/NA/NA/RPL10B/NA/PRPL34/RPL18AA/NFD3/PGY2/NA/ARP1/NA/NA/NA/XW6/NA/NA/NA/NA/NA/AP40/NA/RPS9/NA/NA/NA/RPL7A/RPL7B/NA/EMB2296/NA/rps15ab/NA/NA/NA/NA/NA/NA/NA/L18aB/RPL24A/NA/ATRPS5B/ATRPL23A/NA/NA/NA/NA/RPL16A/PRPL3/NA/NA/NA/NA/NA/RPS2/NA/NA/RPL18/NA/NA/NA/NA/NA/NA/SAC56/NA/NA/NA/NA/NA/NA/NA/RPL19B/NA/NA/NA/NA/NA/ATL5/GHS1/NA/NA/EMB1080/ATBBC1/RPS9M/NA/NA/EMB2167/RPL24/NA/NA/NA/EVR1/NA/RPL23A2/NA/NA/RPS26e/NA/NA/NA/ARS27A/EMB3126/ATRPS13A/RPP1.2/NA/NA/API2/NA/NA/NA/NA/NA/NA/rps15ae/NA/NFD1/NA/AtRPS6/NA/SSR16/NA/NA/NA/NA/NA/RPL4/NA/NA/NA/NA/NA/NA/NA/NA/NA/NA/NA/RPS11-BETA/NA/RPL18C/NA/NA/NA/NA/RPL27/NA/NA/RPP1.3/NA/NA/NA/NA/NA/NA/AtP3B/NA/NA/RPL12C/NA/RPS28/NA/PRPL29/NA/NA/RPL32/RPL16/RPS3",187
"GO:0005198","MF","GO:0005198","structural molecule activity","234/7882","442/22005",8.8318806996468e-14,3.57691168335695e-11,2.98424600482802e-11,"RPP1.1/emb2386/RPS15/NA/EMB2394/NA/NA/NA/NA/ATCPISCA/LRX1/NA/RPL10/DECOY/NA/NA/NA/HLL/NA/SEC31A/ATEXT3/RPL27A/NA/NA/NUP54/NA/AT-EXP10/NA/RPL10B/NA/PRPL34/RPL18AA/NA/NFD3/PGY2/NA/ARP1/NA/NA/NA/XW6/NA/DRAL/TUA1/NA/NA/NA/NA/AP40/NA/RPS9/TUB1/ATEXT1/NA/NA/NA/RPL7A/RPL7B/NUP133/NA/LRX10/NA/HMGB4/EMB2296/NA/rps15ab/NA/NA/EXT6/ATEPR1/NA/NA/TBB7/NA/NA/NA/NA/L18aB/RPL24A/NA/ATRPS5B/AAc1/ATRPL23A/NA/NA/NA/NA/RPL16A/PRPL3/NA/NA/NA/NA/NA/RPS2/NA/NA/RPL18/NA/NA/NA/NA/NA/NA/SAC56/NA/NA/NA/NA/ACT11/NA/NA/NA/RPL19B/NA/NA/NA/NA/ACT2/NA/ATL5/GHS1/NA/NA/NA/EMB1080/ATBBC1/RPS9M/NA/AtHMGB1/CLC3/NA/EMB2167/RPL24/NA/NA/ACT3/NA/EVR1/NA/ATHRGP1/NA/RPL23A2/NA/NA/RPS26e/NA/NA/NA/ARS27A/TUBG1/EMB3126/ATRPS13A/RPP1.2/NA/NA/NA/NA/LRX3/EXT12/API2/NA/NA/NA/LRX5/NA/NA/ATCNFU3/NA/NA/rps15ae/NA/NFD1/NA/AtRPS6/NA/SSR16/NA/NA/NA/NA/NA/RPL4/NA/ATGCP2/NA/EXT10/NA/NA/NA/NA/NA/TUB6/NA/NA/NA/NA/NA/RPS11-BETA/TUB8/NA/RPL18C/EXT13/NA/NA/NA/NA/RPL27/NA/NA/RPP1.3/NA/NA/ATCNFU2/NA/NA/ARP8/NA/NA/AtP3B/NA/NA/ACT4/RPL12C/NA/TUB3/RPS28/NA/PRPL29/NA/NA/RPL32/RPL16/RPS3",234
"GO:0005507","MF","GO:0005507","copper ion binding","111/7882","193/22005",5.95117565894842e-10,1.3860997601829e-07,1.15643410791088e-07,"MT1C/NA/ATCCS/GAPC-2/CPN10/FNRL/ATLAC1/ATDHAR1/DRT112/ATCOX6B2/ATCYTC-A/ATRFNR2/NA/NA/ANN1/SKS6/ACT8/mMDH1/TIM13/cICDH/RBCS1A/LPR2/PETE1/sks5/CP12-3/GAPCP-1/MLP328/MLP329/ACO3/ALDH6B2/NA/MGP1/sks16/NA/AtSOD2/ATLAC2/ATGSTF7/ATGSTF10/ASP1/HSP60-2/CUTA/ENO2/MAT3/NA/ATLMCO4/CP12/GAPC/AAC1/HCC1/NA/ADK1/ATMSD1/mtE2-2/mMDH2/ATCOX17/mtLPD2/ATGSKB6/HSP60/AtSDR4/NA/ATPQ/AtFBA8/ATGR2/ATPURM/ATCTIMC/CCH/NA/CP12/AtSAM2/ATRFNR1/NA/ATGRP2/ATSAHH1/AO1/ATPCAP1/sks4/NA/SKS1/AR192/AGD2/sks15/sks9/ATFP6/AO/NA/LAC10/LAC11/ADK2/LAC12/GDH2/NA/NA/NA/NA/AAC2/ATCIMS/GDH1/AAT2/NA/NA/NA/HMA7/ATLAC15/SKS3/NA/NA/SKS2/MGE1/ATLAC17/GR-RBP3/ADK1",111
"GO:0016614","MF","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","115/7882","202/22005",6.84493708732299e-10,1.3860997601829e-07,1.15643410791088e-07,"NA/NA/HPPR3/NA/ATCCR1/NA/AtGLYR2/PGDH/GER2/E-4PDHase/RUBY/NA/NA/G6PD3/ATUGD1/ATIMD3/AK-HSDH/ABA2/mMDH1/ATMUM4/ICDH/NA/NA/NRS/ER/PGD1/NA/cICDH/NA/ATHPR1/NA/EDA17/NA/NA/AtHMGR1/ADH/NA/HMG2/ATNADP-ME1/NA/ATCAD2/PMDH1/NA/SAG13/AtBBE-like/AKR4C8/AKR4C10/GPDHC1/HPPR4/AtGulLO5/AtGulLO2/AtGulLO6/PGD2/NA/ATMFP2/IDH-VI/HAOX1/GOX2/GOX1/mMDH2/3-PGDH/ATFAO3/ATGHBDH/G6PD5/UGD2/MDH/ATGLDH/AKR4C11/NA/SDR1/NAD-ME2/NYC1/NA/GOX3/AtBBE21/NA/NA/NA/NA/FLDH/EDA9/IDH-I/DRL1/D2HGDH/ATCAD6/ATCAD7/AtPCBER1/ATCAD9/NA/IDH-V/PMDH2/AtGulLO3/G6PD2/ATIMD1/NA/NA/AtFDH1/UGD3/NA/ATNADP-ME3/G6PD1/UDG4/G6PD6/PGD3/NA/DFR/c-NAD-MDH2/ADH2/ATHSD1/NA/NA/ATSDH/AtPLR1/AtGulLO4/NA/NA",115
"GO:0016616","MF","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","96/7882","168/22005",1.31584865484872e-08,2.13167482085493e-06,1.77847333981659e-06,"NA/HPPR3/ATCCR1/NA/AtGLYR2/PGDH/GER2/E-4PDHase/NA/NA/G6PD3/ATUGD1/ATIMD3/AK-HSDH/ABA2/mMDH1/ATMUM4/ICDH/NA/NA/NRS/ER/PGD1/NA/cICDH/NA/ATHPR1/NA/NA/NA/AtHMGR1/ADH/NA/HMG2/ATNADP-ME1/NA/ATCAD2/PMDH1/NA/SAG13/AtBBE-like/AKR4C8/AKR4C10/GPDHC1/HPPR4/PGD2/NA/ATMFP2/IDH-VI/mMDH2/3-PGDH/ATGHBDH/G6PD5/UGD2/MDH/AKR4C11/NA/SDR1/NAD-ME2/NYC1/NA/NA/NA/NA/NA/FLDH/EDA9/IDH-I/DRL1/ATCAD6/ATCAD7/AtPCBER1/ATCAD9/NA/IDH-V/PMDH2/G6PD2/ATIMD1/NA/NA/AtFDH1/UGD3/NA/ATNADP-ME3/G6PD1/UDG4/G6PD6/PGD3/NA/DFR/c-NAD-MDH2/ADH2/ATHSD1/ATSDH/AtPLR1/NA/NA",96
"GO:0046906","MF","GO:0046906","tetrapyrrole binding","194/7882","407/22005",4.95750681406684e-07,6.69263419899024e-05,5.58371820110686e-05,"CYP86A4/PR9/RCI3/APX1/CYP77B1/CYP87A2/CYP71B2/CYP71B29/NA/CP24/CYP79F2/BUS1/CYP722A1/CAT1/ATCYTC-A/AB165/AB140/PER7/CYP97A3/CYP76C6/NA/CYP94D1/ATNR2/CYP96A8/NA/LHCA3/CYP86A7/CYP89A5/CYP96A3/NA/CYP735A2/HO3/CYP98A9/AtLHCB7/NA/TAPX/CYP708A3/LHCB2/LHCB2/NA/ATHNIR/AHB1/SEP2/CYP79B3/PRX17/CYP81D7/NA/CYP82F1/ATHO1/CYP705A9/CYP71A13/NA/ATCB5-B/LHB1B2/LHB1B1/CYP710A2/CYP710A1/NA/AtHBP2/NA/NA/NA/ATHSPRO2/LHCB4.3/AtPRX25/AtPP5/NA/ATCB5-C/CYP78A6/CYP709B2/ATTSPO/CYP89A9/LHCB4.2/NA/AHB2/CYP77A6/CYP72A7/CYP72A8/CYP72A13/CYP72A14/CYP72A15/CYP705A15/CYP705A20/CYP705A21/CYP705A23/CYP705A30/NA/CYP71B19/CYP71B20/CYP71B23/CYP71B3/CYP71B24/CYP71B4/CYP71B35/CYP71B36/CYP71B37/NA/LHCB2/NA/CYP81D11/NA/CAB4/CYP71A26/CYP71A25/CYP71A22/CYP71A21/CYP94B3/ATPCA/NA/AtDWF4/CYP71B5/LHCA1/NA/CYP94D2/GUN4/CYP76C7/LHCA2/NA/APX4/LHCB5/NA/CYP706A4/CYP706A5/CYP706A6/CYP71A19/CYP71A20/CYP83A1/CYP97B3/CYP705A2/CYP705A4/CYP702A5/CYP702A6/CYP74B2/CYP707A1/CYP71A27/PRXR1/NA/AtCLO1/CYP709B3/NA/NA/APX6/Prx47/SEP1/CAT2/CYP84A1/ROT3/CYP81D5/CYP81D4/CYP81F3/CYP81F4/CYP81F1/NA/CYP96A9/CYP96A11/CYP96A12/ATPLAT1/CYP79B2/LHCB4.1/CYP79A2/CBB3/CYP75B1/CYP78A7/PRX56/PER57/NA/AtHBP5/RHS18/CYP714A1/CYP71A15/CYP71B11/CYP71B12/CYP71B13/CYP71B14/CYP81D1/NA/NA/CYP705A12/CYP71A16/CYP705A5/CYP708/Prx66/CYP96A4/CYP81F2/CYP71B10/NA/ULI3/CYP94B1/NA/NA/AtPRX71/PRX72/RHS19/PSBA",194
"GO:0071949","MF","GO:0071949","FAD binding","48/7882","76/22005",1.11135602192217e-06,0.000128599768250994,0.000107291814447223,"AT-PHH1/ACX3/ACX6/EMB2421/AtBBE3/AtBBE4/AtBBE6/AtBBE7/AtBBE8/AtBBE10/AtBBE11/ATNR2/ATCKX5/ATCKX2/AAO3/CTF2B/AtBBE-like/CTF2A/ATCKX1/MTHFR2/AtGulLO5/AtGulLO2/AtGulLO6/UVR3/CBB1/AT-POX/ATGLDH/MTHFR1/ATCRY1/MO1/AtBBE18/AtBBE21/AtBBE22/ATXDH1/ATXDH2/D2HGDH/NA/NA/AtGulLO3/PDH2/AtBBE23/AtBBE25/AtBBE26/NA/AtGulLO4/ATCKX3/ACX2/ABA1",48
"GO:0003777","MF","GO:0003777","microtubule motor activity","42/7882","65/22005",2.15646613386891e-06,0.000201498444629299,0.000168111762770643,"NA/ATNACK1/NA/NA/NA/ZCF125/NA/NA/NA/NA/RSW7/NA/NA/NA/NA/NA/POK1/POK2/NA/KINESIN-12B/NA/AtKIN14h/NA/ARK1/ATK5/KINESIN-12A/PAKRP2/ATK1/NA/ATK2/NA/Kin7.4/Kin7.5/KAC1/NA/NA/NA/NA/ATK3/NA/NA/NA",42
"GO:0008509","MF","GO:0008509","anion transmembrane transporter activity","162/7882","337/22005",2.23887160699221e-06,0.000201498444629299,0.000168111762770643,"UMAMIT28/ATKEA1/ACH1/ACH2/ALMT1/AtNPF6.3/ATBOR4/ATNTT2/CAT8/AtNPF2.9/SULTR1;3/NPF5.16/AST91/NA/ABCC1/PUT1/AtNPF7.3/SAMC2/NA/SIAR1/NA/NA/NA/ATNHX5/AtCAT2/AAP1/ATGPT2/SLAH4/NA/PHO1;H1/NA/AIT1/AtNPF2.13/NPF5.11/NA/NA/AAP3/NA/LAX3/NA/NIP6/ATUTR1/NA/NA/NA/ALMT6/LAX2/ATPUMP5/ATNRAMP3/UXT1/ATOEP16-1/ANTR1/PHT1;5/NA/NIP2;1/SAMTL/ATPROT3/PHT4;2/NPF5.5/ATPT2/UMAMIT14/NA/NA/ABCA1/FEX/AtAVT3B/NA/AtBOR1/ATNDT1/ATVDAC1/ATPPT2/LHT6/NA/ATFRD3/AAC1/ATGPAT5/ANT1/SULTR4;2/SULTR3;4/PUT5/NA/NA/AtNPF6.4/ATPHO1/ORF02/ATCLC-B/NA/NA/ATNRT2.6/NPF2.3/NPF2.4/NPF2.5/AtNPF2.10/NA/AST12/NA/ATPUMP1/NA/NA/NA/ATMTPA1/BOR2/UMAMIT29/SULTR3;2/ATKEA3/SULTR1;1/AtNIP5;1/BASS5/ATOEP16-2/ALMT12/AT-NLM1/AAT1/AtNPF7.2/AtSWEET14/SHB1/NA/LHT7/ATCLC-E/At4g38250/AtmSFC1/TAAC/NA/UUAT1/ATCAT6/NA/AAP2/AST68/UAFT2/AAC2/AtVDAC-3/NA/ER-ANT1/SULTR3;5/AAP7/NA/ATCLC-D/ARAPPT/AtCAT3/NA/ATPT1/APE2/ATSDAT/AAP6/ATNRT3.1/AtSWEET13/APC2/ATKEA5/AtDTX50/ATGPT1/ATNHX3/NA/ATUCP2/ATNRT2.4/ATNRT2.3/APC1/AtNPF2.11/AAP4/DiT2.2/NA/AtAVT3/ATNRAMP4/ATVDAC2",162
"GO:0050660","MF","GO:0050660","flavin adenine dinucleotide binding","84/7882","157/22005",4.23025372853884e-06,0.000342650552011646,0.000285876094075993,"NA/YUC9/AT-PHH1/YUC3/ACX3/ACX6/FMOGS-OX6/NA/FMO1/EMB2421/AtBBE3/AtBBE4/AtBBE6/AtBBE7/AtBBE8/AtBBE10/AtBBE11/ATNR2/FMO/FMO/NA/NA/MDAR6/FMO/EDA17/ATCKX5/ATCKX2/AAO3/CTF2B/YUC7/AtBBE-like/CTF2A/ATCKX1/MTHFR2/AtGulLO5/AtGulLO2/AtGulLO6/AtMDAR3/UVR3/mtLPD2/CBB1/ATFAO3/ATMDAR4/AT-POX/ATIVD/ATGLDH/AHAS/ACX4/ATGR2/MTHFR1/ATCRY1/MO1/NA/AtBBE18/AtBBE21/AtBBE22/AR1/ATXDH1/ATXDH2/D2HGDH/SQE3/NA/NA/NA/NA/AtGulLO3/APAO/NA/SQE6/PDH2/SUPER1/AtBBE23/AtBBE25/AtBBE26/NA/NA/NA/GLT1/AtGulLO4/ATCKX3/NA/ACX2/SDH1-1/ABA1",84
