"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","Description","Entrez"
"1","AT1G01060",3356.76585335273,-1.28724950080723,0.0741406910298981,1.44809212884937e-32,2.66321114046986e-31,"LHY","Homeodomain-like superfamily protein(LHY)",839341
"2","AT1G01070",128.739732384272,1.61903467988835,0.238689534971615,1.70197568805308e-07,7.9294282779045e-07,"AT1G01070","nodulin MtN21 /EamA-like transporter family protein(UMAMIT28)",839550
"3","AT1G01100",4603.85883483329,0.828168064817779,0.0935962263295223,6.3483603858642e-06,2.5484132406112e-05,"RPP1A","60S acidic ribosomal protein family(AT1G01100)",839410
"4","AT1G01140",1403.43436492962,-1.43325723008271,0.112283895493815,3.84705931376597e-20,3.98662244324479e-19,"CIPK9","CBL-interacting protein kinase 9(CIPK9)",839349
"5","AT1G01180",426.577028226424,-1.87447607881517,0.141119571073408,1.0407749057218e-25,1.40825119662223e-24,"AT1G01180","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G01180)",839239
"6","AT1G01200",31.0014715489715,3.37557582831323,0.495114339174234,5.93318974879536e-10,3.37288787272145e-09,"RABA3","RAB GTPase homolog A3(RABA3)",839493
"7","AT1G01240",780.324152824132,-1.3361985637412,0.110495307416167,3.15881307396623e-17,2.81059929107025e-16,"AT1G01240","transmembrane protein(AT1G01240)",839274
"8","AT1G01250",26.3423410523678,3.81998798372651,0.845870263365859,1.58760956477595e-05,6.13760562188061e-05,"ERF023","Integrase-type DNA-binding superfamily protein(AT1G01250)",839322
"9","AT1G01300",1809.3662365255,0.961009033639158,0.0995257995974998,2.15376685652632e-08,1.07871357212052e-07,"AT1G01300","Eukaryotic aspartyl protease family protein(AT1G01300)",839375
"10","AT1G01320",9493.01679261062,-1.39654034022174,0.0884193985844508,3.64357356348426e-29,5.78899399968182e-28,"AT1G01320","Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G01320)",839293
"11","AT1G01340",168.445067704462,-2.7028106648495,0.258061243287062,1.26457922425477e-19,1.27173622693885e-18,"CNGC10","cyclic nucleotide gated channel 10(CNGC10)",838832
"12","AT1G01355",2.45106994020212,2.80151242922254,1.69284209015845,0.0162186418676731,0.0414181231506064,"AT1G01355","Putative endonuclease or glycosyl hydrolase(AT1G01355)",6241268
"13","AT1G01360",479.345344809141,-0.740224419781083,0.103904376285669,0.00122534059484696,0.0037492505463499,"PYL9","regulatory component of ABA receptor 1(RCAR1)",838452
"14","AT1G01370",85.2526037821926,1.83351345283398,0.25667855874367,9.93305762782287e-09,5.1203556022604e-08,"HTR12","Histone superfamily protein(HTR12)",839104
"15","AT1G01380",13.5564513457996,4.10384496169577,1.04337227204971,0.000182479907162464,0.00062391191800907,"ETC1","Homeodomain-like superfamily protein(ETC1)",838096
"16","AT1G01390",30.2620182263865,1.76026502349884,0.517488403770921,0.00338648082595464,0.00968264264553004,"UGT72B2","UDP-Glycosyltransferase superfamily protein(AT1G01390)",837790
"17","AT1G01430",1720.04668759109,-1.11877516618139,0.0924333942748539,1.10628427163639e-14,8.64913157824818e-14,"TBL25","TRICHOME BIREFRINGENCE-LIKE 25(TBL25)",837247
"18","AT1G01440",587.531598072141,-1.01172032451079,0.103462857582845,4.16177076556421e-09,2.20652374551612e-08,"AT1G01440","hypothetical protein (DUF3133)(AT1G01440)",837155
"19","AT1G01448",416.656815344076,-1.48042856187779,0.133659467752546,5.44846642776001e-16,4.55439777562257e-15,"AT1G01448","ncRNA(AT1G01448)",5007657
"20","AT1G01490",2156.02588014589,-1.16785528152976,0.0882890993833304,5.36023465479915e-18,4.97830248531423e-17,"AT1G01490","Heavy metal transport/detoxification superfamily protein(AT1G01490)",839440
"21","AT1G01520",73.880798833873,1.44535319388013,0.252577682197053,1.96588707632368e-05,7.51940916214593e-05,"RVE3","Homeodomain-like superfamily protein(ASG4)",839337
"22","AT1G01540",2619.74918963963,-0.872860673665965,0.0695764190155841,2.23100387834133e-11,1.39819605093352e-10,"AT1G01540","Protein kinase superfamily protein(AT1G01540)",839533
"23","AT1G01550",3518.02563395241,-0.774072118116056,0.0666258433526232,3.80874225932877e-08,1.87191509942931e-07,"BPS1","BPS1-like protein (DUF793)(BPS1)",839536
"24","AT1G01560",51.7411142815374,-1.76060268035086,0.411532314553629,0.000338939094146745,0.00111636938110266,"MPK11","MAP kinase 11(MPK11)",839523
"25","AT1G01570",40.191227380881,2.39774576515851,0.358279522607593,7.87052489004089e-09,4.09153191427273e-08,"AT1G01570","transferring glycosyl group transferase (DUF604)(AT1G01570)",837183
"26","AT1G01580",94.0181556443191,3.27492967812333,0.46810026977333,1.4489565648998e-10,8.61601484925411e-10,"FRO2","ferric reduction oxidase 2(FRO2)",839411
"27","AT1G01600",175.6452081402,2.22425324988282,0.196761671425726,7.37667404334799e-21,7.91583947298168e-20,"CYP86A4","cytochrome P450, family 86, subfamily A, polypeptide 4(CYP86A4)",839347
"28","AT1G01620",18021.1933710678,-2.25064784208764,0.0924000163365401,6.39058092874156e-89,5.96273276926519e-87,"PIP1-3","plasma membrane intrinsic protein 1C(PIP1C)",839235
"29","AT1G01630",785.977214841361,1.34314663323968,0.115927793266494,4.42798929999923e-16,3.71809553244549e-15,"AT1G01630","Sec14p-like phosphatidylinositol transfer family protein(AT1G01630)",839231
"30","AT1G01650",1259.47026656483,-1.05744677036721,0.0916942238180152,1.10317654451112e-12,7.55650917648972e-12,"SPPL4","SIGNAL PEPTIDE PEPTIDASE-LIKE 4(SPPL4)",839499
"31","AT1G01680",67.5968605962451,-3.65317431392476,0.790880914993462,4.1963823765634e-06,1.71420342437893e-05,"PUB54","plant U-box 54(PUB54)",839251
"32","AT1G01690",135.740226946242,1.34568638518995,0.201789255073027,1.89659290694393e-06,8.03243326134018e-06,"ATPRD3","putative recombination initiation defects 3(PRD3)",839243
"33","AT1G01700",31.7121411846252,1.84832057583881,0.374663344745265,4.3602530648246e-05,0.000160968340306372,"ROPGEF2","RHO guanyl-nucleotide exchange factor 2(ROPGEF2)",839250
"34","AT1G01720",1382.06170887778,-0.776738359008194,0.141709839354787,0.00770657716989896,0.0207993236416996,"NAC002","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein(ATAF1)",839265
"35","AT1G01750",171.047414069236,3.55405231616687,0.233266367332183,4.22870720636414e-42,1.13419465426188e-40,"ADF10","actin depolymerizing factor 11(ADF11)",839281
"36","AT1G01770",652.914274051889,-1.75987278730826,0.102378248820607,4.0781467677108e-40,1.01705360978843e-38,"AT1G01770","propionyl-CoA carboxylase(AT1G01770)",837323
"37","AT1G01780",260.365329212383,-1.28411963325458,0.134903277102268,5.07518668132125e-11,3.1104986391278e-10,"PLIM2B","GATA type zinc finger transcription factor family protein(PLIM2b)",839267
"38","AT1G01790",2313.09532115924,-1.57130556070323,0.103203011368102,7.99552480788625e-30,1.31531553783104e-28,"KEA1","K+ efflux antiporter 1(KEA1)",837332
"39","AT1G01820",1487.64545372758,-0.865018539205197,0.0728776868826852,3.32419663915033e-10,1.92413259836423e-09,"PEX11C","peroxin 11c(PEX11C)",839257
"40","AT1G01900",90.4726551317531,4.04156644835725,0.372466460446923,4.76286285688958e-23,5.68953750863042e-22,"SBTI1.1","subtilase family protein(SBTI1.1)",839318
"41","AT1G01920",351.418289675569,0.838483681820752,0.144608300042289,0.00235885060190505,0.00691460257710304,"AT1G01920","SET domain-containing protein(AT1G01920)",839313
