"","gene","symbol","Description","Entrez"
"1","AT5G27860","AT5G27860","hypothetical protein(AT5G27860)",832849
"2","AT3G44670","AT3G44670","Disease resistance protein (TIR-NBS-LRR class) family(AT3G44670)",823593
"3","AT1G65800","SD16","receptor kinase 2(RK2)",842891
"4","AT4G11900","AT4G11900","S-locus lectin protein kinase family protein(AT4G11900)",826797
"5","AT3G26280","CYP71B4","cytochrome P450, family 71, subfamily B, polypeptide 4(CYP71B4)",822231
"6","AT5G19140","ATAILP1","aluminum induced protein with YGL and LRDR motifs(AILP1)",832034
"7","AT1G30610","EMB2279","pentatricopeptide (PPR) repeat-containing protein(EMB2279)",839941
"8","AT4G16870","AT4G16870","hypothetical protein(AT4G16870)",3770172
"9","AT3G57170","AT3G57170","N-acetylglucosaminyl transferase component family protein / Gpi1 family protein(AT3G57170)",824884
"10","AT3G57470","AT3G57470","Insulinase (Peptidase family M16) family protein(AT3G57470)",824914
"11","AT1G70620","AT1G70620","cyclin-like protein(AT1G70620)",843399
"12","AT4G36980","AT4G36980","CLK4-associating serine/arginine-rich protein(AT4G36980)",829852
"13","AT1G26580","AT1G26580","ELM2 domain protein(AT1G26580)",839198
"14","AT5G23955","AT5G23955","hypothetical protein(AT5G23955)",3770716
"15","AT2G21730","CAD2","cinnamyl alcohol dehydrogenase homolog 2(CAD2)",816710
"16","AT5G02150","Fes1C","Fes1C(Fes1C)",831805
"17","AT5G27730","AT5G27730","heparan-alpha-glucosaminide N-acetyltransferase-like protein (DUF1624)(AT5G27730)",832835
"18","AT4G00970","CRK41","cysteine-rich RLK (RECEPTOR-like protein kinase) 41(CRK41)",827936
"19","AT4G28150","AT4G28150","hypothetical protein (DUF789)(AT4G28150)",828930
"20","AT2G40960","AT2G40960","Single-stranded nucleic acid binding R3H protein(AT2G40960)",818696
"21","AT5G47900","AT5G47900","heparan-alpha-glucosaminide N-acetyltransferase-like protein (DUF1624)(AT5G47900)",834841
"22","AT1G60160","POT12","Potassium transporter family protein(AT1G60160)",842311
"23","AT4G36060","BHLH11","basic helix-loop-helix (bHLH) DNA-binding superfamily protein(bHLH11)",829762
"24","AT2G33810","SPL3","squamosa promoter binding protein-like 3(SPL3)",817948
"25","AT4G13572","AT4G13572","hypothetical protein(AT4G13572)",7922478
"26","AT3G18890","TIC62","NAD(P)-binding Rossmann-fold superfamily protein(Tic62)",821422
"27","AT3G01370","ATCFM2","CRM family member 2(CFM2)",821288
"28","AT4G33000","CBL10","calcineurin B-like protein 10(CBL10)",829437
"29","AT1G35612","AT1G35612","hypothetical protein(AT1G35612)",3766952
"30","AT5G58140","PHOT2","phototropin 2(PHOT2)",835926
"31","AT1G21130","AT1G21130","O-methyltransferase family protein(IGMT4)",838709
"32","AT1G66980","GDPDL2","suppressor of npr1-1 constitutive 4(SNC4)",843016
"33","AT3G43540","AT3G43540","initiation factor 4F subunit (DUF1350)(AT3G43540)",823446
"34","AT2G42190","AT2G42190","rho GTPase-activating gacO-like protein(AT2G42190)",818819
"35","AT3G49140","AT3G49140","Pentatricopeptide repeat (PPR) superfamily protein(AT3G49140)",824075
"36","AT4G23550","WRKY29","WRKY family transcription factor(WRKY29)",828455
"37","AT4G01593","AT4G01593","ncRNA(AT4G01593)",5008112
"38","AT4G35420","TKPR1","dihydroflavonol 4-reductase-like1(DRL1)",829695
"39","AT4G13570","HTA4","histone H2A 4(HTA4)",826990
"40","AT4G04570","CRK40","cysteine-rich RLK (RECEPTOR-like protein kinase) 40(CRK40)",825789
"41","AT5G46260","AT5G46260","disease resistance protein (TIR-NBS-LRR class) family(AT5G46260)",834668
"42","AT3G51760","AT3G51760","hypothetical protein (DUF688)(AT3G51760)",824339
"43","AT1G63350","AT1G63350","Disease resistance protein (CC-NBS-LRR class) family(AT1G63350)",842641
"44","AT1G11350","SD113","S-domain-1 13(SD1-13)",837677
"45","AT1G73310","SCPL4","serine carboxypeptidase-like 4(scpl4)",843665
"46","AT2G26215","AT2G26215","hypothetical protein(AT2G26215)",7922409
"47","AT5G17880","CSA1","disease resistance protein (TIR-NBS-LRR class)(CSA1)",831656
"48","AT5G39190","GLP5A","germin-like protein 2(GER2)",833914
"49","AT1G15290","AT1G15290","Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G15290)",838097
"50","AT1G19715","JAL3","Mannose-binding lectin superfamily protein(AT1G19715)",838560
"51","AT3G14680","CYP72A14","cytochrome P450, family 72, subfamily A, polypeptide 14(CYP72A14)",820696
"52","AT1G58602","AT1G58602","LRR and NB-ARC domains-containing disease resistance protein(AT1G58602)",842220
"53","AT2G01530","MLP329","MLP-like protein 329(MLP329)",814682
"54","AT1G08810","MYB60","myb domain protein 60(MYB60)",837403
"55","AT3G24140","FAMA","basic helix-loop-helix (bHLH) DNA-binding superfamily protein(FMA)",822000
"56","AT3G52840","BGAL2","beta-galactosidase 2(BGAL2)",824450
"57","AT5G16715","EMB2247","protein EMBRYO DEFECTIVE 2247(EMB2247)",831533
"58","AT2G37025","TRFL8","TRF-like 8(TRFL8)",818277
"59","AT3G46130","MYB48","myb domain protein 48(MYB48)",823756
"60","AT1G15825","AT1G15825","hydroxyproline-rich glycoprotein family protein(AT1G15825)",838152
