"","gene","symbol","Description","Entrez"
"1","AT2G42340","AT2G42340","hypothetical protein(AT2G42340)",818835
"2","AT4G11521","CRK34","Receptor-like protein kinase-related family protein(AT4G11521)",7922527
"3","AT4G36850","AT4G36850","PQ-loop repeat family protein / transmembrane family protein(AT4G36850)",829838
"4","AT1G14730","CYB561C","Cytochrome b561/ferric reductase transmembrane protein family(AT1G14730)",838038
"5","AT2G31305","INH3","inhibitor-3(INH3)",817688
"6","AT1G51640","ATEXO70G2","exocyst subunit exo70 family protein G2(EXO70G2)",841589
"7","AT1G16840","AT1G16840","hypothetical protein(AT1G16840)",838255
"8","AT4G13615","AT4G13615","Uncharacterized protein family SERF(AT4G13615)",826995
"9","AT4G22920","SGR1","non-yellowing 1(NYE1)",828391
"10","AT2G40340","DREB2C","Integrase-type DNA-binding superfamily protein(DREB2C)",818627
"11","AT1G02270","AT1G02270","Calcium-binding endonuclease/exonuclease/phosphatase family(AT1G02270)",839381
"12","AT1G16420","AMC8","metacaspase 8(MC8)",838212
"13","AT5G02810","APRR7","pseudo-response regulator 7(PRR7)",831793
"14","AT2G29650","ANTR1","phosphate transporter 4;1(PHT4;1)",817515
"15","AT5G57660","COL5","CONSTANS-like 5(COL5)",835872
"16","AT3G59940","SKIP20","Galactose oxidase/kelch repeat superfamily protein(AT3G59940)",825164
"17","AT4G27410","NAC072","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein(RD26)",828849
"18","AT5G22270","AT5G22270","hypothetical protein(AT5G22270)",832287
"19","AT3G45260","IDD9","C2H2-like zinc finger protein(AT3G45260)",823664
"20","AT5G06980","AT5G06980","hypothetical protein(AT5G06980)",830589
"21","AT5G47240","NUDT8","nudix hydrolase homolog 8(NUDT8)",834771
"22","AT2G45170","ATG8E","AUTOPHAGY 8E(ATG8E)",819125
"23","AT4G36040","ATJ11","Chaperone DnaJ-domain superfamily protein(J11)",829760
"24","AT2G28720","AT2G28720","Histone superfamily protein(AT2G28720)",817421
"25","AT2G39380","ATEXO70H2","exocyst subunit exo70 family protein H2(EXO70H2)",818523
"26","AT4G21450","PVA42","PapD-like superfamily protein(AT4G21450)",826300
"27","AT2G04690","AT2G04690","Pyridoxamine 5'-phosphate oxidase family protein(AT2G04690)",815012
"28","AT3G61198","AT3G61198","ncRNA(AT3G61198)",5008103
"29","AT5G56180","ARP8","actin-related protein 8(ARP8)",835717
"30","AT1G79380","AT1G79380","Ca(2)-dependent phospholipid-binding protein (Copine) family(RGLG4)",844276
"31","AT3G26100","AT3G26100","Regulator of chromosome condensation (RCC1) family protein(AT3G26100)",822208
"32","AT1G70530","CRK3","cysteine-rich RLK (RECEPTOR-like protein kinase) 3(CRK3)",843390
"33","AT2G27150","AAO3","abscisic aldehyde oxidase 3(AAO3)",817257
"34","AT1G22280","PAPP2C","phytochrome-associated protein phosphatase type 2C(PAPP2C)",838835
"35","AT3G50480","HR4","homolog of RPW8 4(HR4)",824212
"36","AT5G08240","AT5G08240","transmembrane protein(AT5G08240)",830720
"37","AT5G61010","ATEXO70E2","exocyst subunit exo70 family protein E2(EXO70E2)",836222
"38","AT2G42890","ML2","MEI2-like 2(ML2)",818890
"39","AT5G03490","UGT89A2","UDP-Glycosyltransferase superfamily protein(AT5G03490)",831823
"40","AT4G21534","SPHK2","Diacylglycerol kinase family protein(SPHK2)",10723114
"41","AT1G18470","AT1G18470","Transmembrane Fragile-X-F-associated protein(AT1G18470)",838427
"42","AT2G20960","pEARLI4","phospholipase-like protein (PEARLI 4) family protein(pEARLI4)",816630
