"","gene","symbol","Description","Entrez"
"1","AT1G73270","SCPL6","serine carboxypeptidase-like 6(scpl6)",843661
"2","AT3G45060","NRT2.6","high affinity nitrate transporter 2.6(NRT2.6)",823641
"3","AT3G50470","HR3","homolog of RPW8 3(HR3)",824211
"4","AT1G31540","AT1G31540","Disease resistance protein (TIR-NBS-LRR class) family(AT1G31540)",840044
"5","AT5G36930","AT5G36930","Disease resistance protein (TIR-NBS-LRR class) family(AT5G36930)",833662
"6","AT1G24148","AT1G24148","hypothetical protein(AT1G24148)",6241475
"7","AT4G13040","AT4G13040","Integrase-type DNA-binding superfamily protein(AT4G13040)",826918
"8","AT3G18500","CCR4-3","DNAse I-like superfamily protein(AT3G18500)",821380
"9","AT5G16180","CRS1","maize chloroplast splicing factor-like protein(CRS1)",831476
"10","AT1G69572","AT1G69572","ncRNA(AT1G69572)",6241025
"11","AT2G22800","HAT9","Homeobox-leucine zipper protein family(HAT9)",816811
"12","AT5G22050","AT5G22050","Protein kinase superfamily protein(AT5G22050)",832266
"13","AT3G26240","AT3G26240","Cysteine/Histidine-rich C1 domain family protein(AT3G26240)",822226
"14","AT5G59780","MYB59","myb domain protein 59(MYB59)",836099
"15","AT2G29400","TOPP1","type one protein phosphatase 1(TOPP1)",817489
"16","AT5G44870","LAZ5","Disease resistance protein (TIR-NBS-LRR class) family(LAZ5)",834517
"17","AT5G38850","AT5G38850","Disease resistance protein (TIR-NBS-LRR class)(AT5G38850)",833876
"18","AT4G16890","SNC1","TIR-NBS-LRR class disease resistance protein(SNC1)",827397
"19","AT4G16950","RPP5","Disease resistance protein (TIR-NBS-LRR class) family(RPP5)",827403
"20","AT5G49640","AT5G49640","hypothetical protein(AT5G49640)",835026
"21","AT1G56510","WRR4","Disease resistance protein (TIR-NBS-LRR class)(WRR4)",842104
"22","AT3G13065","SRF4","STRUBBELIG-receptor family 4(SRF4)",820494
"23","AT1G75460","AT1G75460","ATP-dependent protease La (LON) domain protein(AT1G75460)",843882
"24","AT1G75690","LQY1","DnaJ/Hsp40 cysteine-rich domain superfamily protein(LQY1)",843903
"25","AT1G68830","STN7","Serine/Threonine kinase domain protein(STN7)",843215
"26","AT1G76080","CDSP32","chloroplastic drought-induced stress protein of 32 kD(CDSP32)",843940
