"","gene","symbol","Description","Entrez"
"1","AT3G10280","KCS14","3-ketoacyl-CoA synthase 14(KCS14)",820190
"2","AT3G47030","AT3G47030","F-box and associated interaction domains-containing protein(AT3G47030)",823856
"3","AT2G07835","AT2G07835","hypothetical protein(AT2G07835)",6240645
"4","AT3G49055","AT3G49055","ATP-binding protein(AT3G49055)",824067
"5","AT2G26370","AT2G26370","MD-2-related lipid recognition domain-containing protein(AT2G26370)",817177
"6","AT4G21400","CRK28","cysteine-rich RLK (RECEPTOR-like protein kinase) 28(CRK28)",827892
"7","AT1G76892","AT1G76892","ncRNA(AT1G76892)",28717431
"8","AT2G29060","SCL33","GRAS family transcription factor(AT2G29060)",817454
"9","AT3G12980","HAC5","histone acetyltransferase of the CBP family 5(HAC5)",820484
"10","AT3G12590","AT3G12590","hypothetical protein(AT3G12590)",820439
"11","AT3G42640","AHA8","H[+]-ATPase 8(HA8)",823281
"12","AT3G43670","AT3G43670","Copper amine oxidase family protein(AT3G43670)",823469
"13","AT3G63500","OBE4","fibronectin type III domain protein (DUF1423)(TTA2)",825525
"14","AT1G29179","AT1G29179","cysteine/histidine-rich C1 domain protein(AT1G29179)",3766838
"15","AT5G55370","AT2","MBOAT (membrane bound O-acyl transferase) family protein(AT5G55370)",835630
"16","AT5G48100","TT10","Laccase/Diphenol oxidase family protein(TT10)",834862
"17","AT1G43850","SEU","SEUSS transcriptional co-regulator(SEU)",840981
"18","AT5G07620","AT5G07620","Protein kinase superfamily protein(AT5G07620)",830655
"19","AT4G16110","ARR2","response regulator 2(RR2)",827297
"20","AT1G71010","FAB1C","FORMS APLOID AND BINUCLEATE CELLS 1C(FAB1C)",843440
"21","AT5G19820","emb2734","ARM repeat superfamily protein(emb2734)",832102
"22","AT4G21410","CRK29","cysteine-rich RLK (RECEPTOR-like protein kinase) 29(CRK29)",827893
"23","AT5G41790","CIP1","COP1-interactive protein 1(CIP1)",834184
"24","AT1G72650","TRFL6","TRF-like 6(TRFL6)",843597
"25","AT3G50700","IDD2","indeterminate(ID)-domain 2(IDD2)",824234
"26","AT5G56210","WIP2","WPP domain interacting protein 2(WIP2)",835720
"27","AT1G27370","SPL10","squamosa promoter binding protein-like 10(SPL10)",839626
"28","AT1G58807","RDL5","Disease resistance protein (CC-NBS-LRR class) family(AT1G58807)",842225
"29","AT4G01915","AT4G01915","hypothetical protein(AT4G01915)",2745599
"30","AT5G43270","SPL2","squamosa promoter binding protein-like 2(SPL2)",834345
"31","AT5G53490","AT5G53490","Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G53490)",835431
